GODKJENNINGSNUMMER,VIRKSOMHETSNAVN,BEDRIFTSNUMMER,ADRESSE,POSTNR,POSTSTED,PRODUKSJONSFORM
T1192,Bioform As,981549147,Bjørgaveien 2,9310,Sørreisa,"FFPP-P, PP-MA"
H57,Biomega Norway As,983090842,Skaganeset 15,5382,Skogsvåg,PP-MA
T1185,Bjørg Solveig Johansen,,Vorterøy,9189,Skjervøy,PP-ST
F759,Bjørg Sølvi Pettersen,,Hovedveien 29,9760,Nordvågen,PP-ST
N439,Bjørn Gjertsen As,873261072,Fredvang,8387,Fredvang,"FFPP, PP, PP-SA, PP-ST"
F710,Bjørn Gunnvald Kristensen,997604954,Postboks 1,9846,Tana,PP-ST
N51,Bleik Fisk As,917136750,Fiskeværsveien 118,8481,Bleik,FFPP
TL3,Blåfjell As,816514932,Jule Industriområde,7884,Sørli,"FFPP-P, FFPP-SA"
N905,Bofisk As,984154208,Prinsens Gate 148 A,8003,Bodø,"FFPP, FFPP-P, PP"
R950,Bokn Sjømat As,924386320,Jøsenvågen 44,5561,Bokn,"FFPP, FFPP-P, PP-C"
3031,Bordgleder Kinn Kommune Kf,986836136,Hjellegata 2,6905,Florø,PP
M2227,Boreas Seafood As,928854620,Kildehaugen 10,6037,Eidsnes,FFPP-P
F689,Borg Kurt Arnold,974815761,Lamvikveien 69,9536,Korsfjorden,PP-ST
H81,Brandasund Fiskemottak As,984375514,Kvarven,5423,Brandasund,FFPP
T436,Breivoll Marine Produkter As,972330965,Breivollveien 12,9450,Hamnvik,"FFPP-P, FFPP-SA"
N2347,Brimo Fiskeforedling As,925227390,Foreveien 135,8146,Reipå,"FFPP, FFPP-P, PP-SA"
M363,Brødr Aarseth As,999236162,Lyngholmvegen 96,6057,Ellingsøy,"FFPP, PP-KL, PP-SA"
VF60,Brødr Berggren As,974073420,Brygga 11,3210,Sandefjord,"FFPP, FFPP-P, PP"
VF58,Brødr Berggren As,974073420,Tollbodgt. 1,3290,Stavern,FFPP
VF64,Brødr Berggren As,974073420, Fynveien 1,3148,Hvasser,"FFPP, FFPP-P"
M343,Brødr Remø As,972066265,Fiskarstrandvegen 168,6035,Fiskarstrand,"FFPP-P, PP, PP-C, PP-KL, PP-M"
N533,Brødrene Andreassen Værøy As,980618943,Vågen 6,8063,Værøy,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N528,Brødrene Berg As,972321788,Nedre Vågen 16,8063,Værøy,"FFPP, PP, PP-SA, PP-ST"
N523,Brødrene Hardy As,989830058,Venes,8063,Værøy,"FFPP, PP, PP-SA, PP-ST"
H217,Brødrene Hjønnevåg As,971706694,Børnes 20,5463,Uskedalen,"FFPP-P, PP"
N994,Brødrene Jtb Olsen As,972002224,Postboks 13,8193,Rødøy,"FFPP, PP, PP-SA, PP-ST"
T308,Brødrene Karlsen Senja,973134868,Husøy,9389,Husøy I Senja,"FFPP, FFPP-P, PP, PP-MA, PP-SA, PP-ST"
ØF55,Brødrene Skogen Fiskehandel As,971612487,Engelsvikenveien 6,1628,Engelsviken,FFPP
M369,Brødrene Sperre As,974103540,Ellingsøyvegen 680,6057,Ellingsøy,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
M2005,Brødrene Sperre As  Avd Hoff,997674197,Ellingsøyvegen 172,6057,Ellingsøy,"FFPP, PP-KL, PP-SA"
M327,Brødrene Sperre As  Avd Vest,971655518,Aarsæthervegen 17,6006,Ålesund,PP-KL
M359,Brødrene Sperre As Avd Fiskarstrand,971783583,Tranvågen 6,6035,Fiskarstrand,"FFPP, FFPP-P, PP-KL, PP-SA"
T273,Brødrene Sperre As Avd Sommarøy,934940245,Hamnevegen 17,9110,Sommarøya,"FFPP, FFPP-P, PP"
TF48,Budiak Natalia Sin Fiskelykke,925469394,Rådhusveien 3,9790,Kjøllefjord,PP-ST
SF920,Bulandet Fiskemottak As,819907722,Nikøy,6987,Bulandet,FFPP
SF244,Byrknes Servicesenter As,993488704,Byrknesøy,5970,Byrknesøy,FFPP
N220,Bø Fiskemottak As,929384946,Straumsjøveien 30,8475,Straumsjøen,FFPP
H92,Bømlo Edelfisk As,972208671,,5443,Bømlo,"PP, PP-C"
H88,Bømlo Fersk Fisk As,920240895,Hillesdalen 21,5427,Urangsvåg,FFPP
VA2,Båly Fisk As,990629897,Båly,4521,Spangereid,"FFPP, FFPP-P"
F162,Båtsfjordbruket As,973235885,Fomavegen 7,9990,Båtsfjord,"FFPP, FFPP-P, PP, PP-C"
N2349,Calanus As Avd Produksjon,912404668,Lilandveien 20,8407,Sortland,PP-MA
F780,Carina Prytz-Wallmann,,Hasfjordveien 65,9590,Hasvik,PP-ST
F480,Cermaq Norway As Avd Lakseslakteri,999068723,Kvenvikveien 99,9541,Alta,"FFPP-P, FFPP-SA"
F430,Cermaq Norway As Avd Slakteri Rypefjord,981487575,Havneveien 36,9610,Rypefjord,"FFPP-P, FFPP-SA"
N2284,Cermaq Norway As Avd Slakteri Steigen,920248063,Bogøyveien 153,8288,Bogøy,"FFPP-P, FFPP-SA"
M2238,Charvest As,922700931,Grøthaugvegen 12,6037,Eidsnes,FFPP-SA
M2177,Charvest As,922700931,Myrane 26,6094,Leinøy,FFPP-SA
T1276,Chitinor As,932508427,Ringveien 100,9018,Tromsø,PP-MA
N524,Christensen Kjell P,978242103,,8063,Værøy,"FFPP, PP, PP-ST"
F201,Coast Berlevåg As,889886102,Samfunnsgata 12,9981,Berlevåg,"FFPP, PP, PP-C"
F810,Coast Kjøllefjord As,916092946,Moloveien 10,9790,Kjøllefjord,"FFPP, FFPP-P, PP-ST"
T317,Coldwater Prawns Production As,985094349,Mefjordveien 1529,9386,Senjahopen,"FFPP, PP-C"
ØF477,Constellation Cln Fredrikstad,993937819,Borg Havnevei 12,1630,Gamle Fredrikstad,RW
ST137,Coop Vallersund Sa,971787244,,7167,Vallersund,FFPP
M460,Cryonor As,889477202,"Fiskerihavna Rovde, Co/ Volda Fiskemat As",6100,Volda,"FFPP, MSM"
M2035,Dalen Og Helland Fiskemat As,999517331,Geilereset 7,6055,Godøya,PP
M2158,Demari As,920676871,Bytesteinen 1,6517,Kristiansund N,FFPP
VL114,Domstein Fish As,985152012,Sjøgata 44,6700,Måløy,"FFPP, FFPP-P"
H77,Domstein Sjømat As Avd Espehaugen,891342632,Espehaugen 55,5258,Blomsterdalen,"FFPP-P, PP"
AG20,Domstein Sjømat As Avd Kristiansand,979195095,Østerøya 242,4625,Flekkerøy,FFPP
VA 204,Domstein Sjømat As Avd Kristiansand,979195095,Østerøya 242,4625,Flekkerøy,"FFPP, FFPP-P"
VI17,Domstein Sjømat As Avd Oslo,996339025,Brennaveien 20b,1481,Hagan,"FFPP-P, RW"
R51,Domstein Sjømat As Avd Stavanger,875969692,Tangen 6,4072,Randaberg,"FFPP, FFPP-P, PP-C, RW"
T 1160,Domstein Sjømat As Avd Tromsø,972186104,Ropnesvegen 69,9107,Kvaløya,"FFPP, FFPP-P, PP, PP-C"
ST860,Domstein Sjømat As Avd Trondheim,980513475,Trondheim Havn - Pir 1. Nr.7,7010,Trondheim,"FFPP-P, PP"
VI19,Domstein Sjømat Produksjon As,999105467,Brenneaveien 20b,1481,Hagan,PP
T222,Dragøy Grossist As,918486879,Huldervegen 18,9016,Tromsø,"FFPP, FFPP-P, PP, PP-C"
TF66,Dragøy Grossist As,918486879,"Norge, Troms, Tromsø, Huldervegen 18,",9016,Tromsø,"FFPP, FFPP-P, PP-SA"
M2032,Drågen Smokehouse As,993778575,Prestegardsvegen 146 ,6430,Bud,PP
N2297,Dybos Fisk As,882927512,Strandveien 30,8904,Brønnøysund,"FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST"
N891,Dyping Og Omegn Fiskemottak Sa,872572732,Dyping,8288,Bogøy,FFPP
N1084,Dønna Fiskemottak As,989576232,Hølaveien 48,8820,Dønna,"FFPP, PP-SA"
AA415,Eco Marine As,993907367,Langodden 14,4816,Kolbjørnsvik,PP-MA
N1303,Eddie Even Kildal,,Skogmo 9,8178,Halsa,PP-ST
F656,Edgar Olsen,993710253,Njidgogáddi 36,9840,Varangerbotn,PP-ST
F713,Edmar Persen,981645316,,9716,Børselv,PP-ST
M158,Edward Johnsen As,971715979,Reksundveien 133,6533,Averøy,"FFPP, FFPP-P, PP"
T1176,Egil Andersen,,Badderen,9162,Sørstraumen,PP-ST
T1110,Egil Antonsen,923907769,Tovikstrand,9445,Tovik,PP-ST
N234,Egil Kristoffersen & Sønner As Avd Produksjon,973186655,Jennskarveien 52,8475,Straumsjøen,"FFPP-S, FFPP-SA"
