GODKJENNINGSNUMMER,VIRKSOMHETSNAVN,BEDRIFTSNUMMER,ADRESSE,POSTNR,POSTSTED,PRODUKSJONSFORM
T1081,Havbruksstasjonen I Tromsø As,980913147,,9131,Kårvik,"FFPP, FFPP-P"
NT815,Havfruene.  As,888173552,Sundsøya 20,7670,Inderøy,PP-MA
TF70,Havøysund Fisk As,928521400,Strandgata 157,9690,Havøysund,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
TL15,Hbc Berkåk As,899098382,Postmyrveien 20,7391,Rennebu,PP-MA
VI4,Healthpack As,918863737,Nypeveien 15,3032,Drammen,RW
T1165,Helge Magne Pedersen,,Langnes,9147,Birtavarre,PP-ST
N893,Helligvær Sjømat As,987004053,Sørværveien 2,8095,Helligvær,"FFPP, FFPP-P, PP, PP-ST"
F746,Helmer Olsen,,,,,PP-ST
2860,Helse Førde Hf Førde Sentralsjukehus,974744570,Svanehaugvegen 2,6812,Førde,PP
VA69,Hidra Fiskemottak As,971785896,Kirkehamnveien 154,4432,Hidrasund,"FFPP, FFPP-S, PP-C"
N2368,Hilde Stensen,920214568,Nymo Gård,8647,Bleikvasslia,FFPP-SA
TK243,Hima Seafood Rjukan As Avd Prod Av Matfisk,915331823,Svaddeveien 129,3660,Rjukan,FFPP-SA
TL16,Hitra Salmon As,920841554,Svenesveien 3,7250,Melandsjø,"PP, PP-C"
ST343,Hitramat As,974079682,Knarrlagsundveien 325,7241,Ansnes,"FFPP, FFPP-P, MSM, PP, PP-C, PP-M"
R945,Hoa Nhu,918911855,Skasvegen 160 (V/Driftsbygning,4354,Voll,"PP, PP-MA"
M2092,Hofseth Aalesund As,916053916,Havnegata 11,6005,Ålesund,FFPP-P
M303,Hofseth Aqua Avd 31 Slakteri Ålesund,930296473,Fjordgata 52,6005,Ålesund,"FFPP-P, FFPP-S, FFPP-SA, PP-MA"
M480,Hofseth As,983860524,Syvdefjordvegen 432,6140,Syvde,FFPP-P
M946,Hofseth Biocare Asa Avd Midsund,996267911,Stormyrvegen 52,6475,Midsund,"PP, PP-MA"
N445,Holmøy Produkter As,927212587,Lilandveien 10,8407,Sortland,"FFPP-P, FFPP-SA"
N645,Hopen Fisk As,975792455,Hopsveien 42,8310,Kabelvåg,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
M89,Hopmark Fisk As,932406519,Vikan Industriområde 98,6570,Smøla,FFPP
M269,Horsgaard & Co A/S,974085925,Hamnegata 43,6413,Molde,"FFPP, PP, PP-C"
AA447,Hos Oss Lillesand As,919335068,Havnegata 3,4790,Lillesand,"FFPP, PP"
N235,Hovden Fiskeindustri As,829932822,Handkleppveien 8,8475,Straumsjøen,"FFPP, PP-ST"
TL49,Hubert Weigold,994349775,Vingvågen 41,7255,Sundlandet,PP
VI16,Hvaler Krabbe As,825359532,Greåkerveien 145,1718,Greåker,PP-C
TL42,Hyra Shellfish As,931707795,Eidshaugvegen 1650,7940,Ottersøy,"FFPP, PP-C"
N2157,Håvard Reløy,993914177,Håvard Reløy,8766,Lurøy,PP-ST
F677,Idun Karine Pedersen,,Smalfjordveien 111,9841,Tana,PP-ST
ST845,Ila Fiskemottak As,995836602,Nedre Ila 68,7018,Trondheim,FFPP
F692,Ingebrigtsen Roger,878136462,Nyvollveien 236,9519,Kviby,PP-ST
M449,Ingolf Engeset As,974170809,Grytafjordvegen 926,6265,Vatne,"FFPP, PP-KL, PP-SA"
F770,Ingolv Jenvald Kvivesen,,Nuvsvågveien 1357,9582,Nuvsvåg,PP-ST
H84,Inka As,984816162,Røtingavegen 244,5216,Lepsøy,FFPP-P
N2337,Isaksen Arnleik,998982456,Oddaveien 22,8762,Sleneset,PP-ST
F251,Isanlegget As,982123224,Industriveien,9770,Mehamn,"FFPP, PP"
ST204,Isfjord Norway As,981662180,Grønørveien 30,7300,Orkanger,"FFPP-P, PP"
N2376,J. M. Nilsen Fisk As,973186876,Hamnegt 87,8480,Andenes,FFPP
N112,J. M. Nilsen Fisk As,973186876,,8489,Nordmela,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
M361,Jacob Bjørge As,871667012,Bjørge Industriveg 7,6057,Ellingsøy,"FFPP, PP-KL, PP-SA"
TF77,Jacobsens Fisk Og Fangst,827235482,Laukøyveien 801,9193,Nikkeby,PP-ST
M425,Jakob Og Johan Dybvik As,971679026,Tingstadvika 5,6035,Fiskarstrand,"PP, PP-KL, PP-SA"
F744,Jan Erik Gundersen,,,9586,Loppa,PP-ST
TF83,Jan Gunnar Nilsen,,Sørstraumvegen 679,9045,Lakselvbukt,PP-ST
T1131,Jan Hansen,977966779,Spellemannsdalen 20,9180,Skjervøy,PP-ST
F749,Jan Harald Lorentzen,991179585,Langstrand,9600,Hammerfest,PP-ST
F756,Jan Inge Nilsen,985669996,Kvenvikveien 88,9541,Alta,PP-ST
ST203,Jan Inge Standahl,978375626,Vardesvingen 13,7165,Oksvoll,FFPP
T1144,Jan Johansen Fiskebåt,976119800,Vorterøyveien 92,9180,Skjervøy,PP-ST
T1188,Jan Kåre Karlsen,978115098,Skarpsno 14,9151,Storslett,PP-ST
N69,Jangaard Export As   Avd Sjøanlegget,972315109,,8480,Andenes,"FFPP, FFPP-P, PP-SA"
N75,Jangaard Export As Avd Framnes,971690313,Hamnegata 2a,8480,Andenes,"FFPP, FFPP-P, PP-SA"
F343,Jangaard Export As Avd Gjesvær,980122247,Kobbenesvegen 27,9765,Gjesvær,"FFPP, FFPP-P, PP, PP-SA"
M310,Jangaard Export As Avd Kleivane,971805730,Aarsæthervegen 41,6006,Ålesund,PP-KL
M161,Jangaard Export As Avd Nordmøre,972002003,,6530,Averøy,"FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST"
M157,Jangaard Export As Avd Nordmøre,972002003,,6530,Averøy,"FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST"
N575,Jangaard Export As Avd Røst,990127670,Gleaveien 12,8064,Røst,"FFPP, FFPP-P, PP-SA"
N631,Jangaard Export As Henningsvær,973118692,,8312,Henningsvær,"FFPP, PP-SA, PP-ST"
N411,Jangaard Export As Stamsund,973118676,Buøyveien 27,8340,Stamsund,"FFPP, PP, PP-SA"
N2181,Jann Breivik,,Breivik,8186,Tjongsfjorden,PP-ST
T1115,Jarle Cedly Johansen,,Navaren 81,9321,Moen,PP-ST
T1068,Jarle Kiil,874063762,Slottet,9153,Rotsund,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N2412,Jarle Kristiansen,913603656,Møllnesveien 2,8752,Konsvikosen,PP-ST
T1162,Jarle Myrhaug,977539293,,9147,Birtavarre,PP-ST
T1157,Jarle Olsen Inngår I Dødsbo,878135172,,9185,Spildra,PP-ST
N1000,Jensen Benjamin As,972253952,Napp,8382,Napp,"FFPP, PP-ST, RW"
T181,Jensen Fisk As,976469143,Resset 4,9303,Silsand,PP-ST
T1273,Jensen Paul Oddgeir,978189261,Dalvegen 6,9107,Kvaløya,FFPP
N289,Jentoft As,998271096,C/O Vestvågøy Regnskap As,8370,Leknes,"FFPP, PP, PP-ST"
N1310,Jim Lorentzen,986688269,Vikran 11,8198,Nordnesøya,"FFPP, PP, PP-ST"
N1005,Jim Roger Monsen ,981000684,Lyngvågen,8195,Gjerøy,"FFPP, FFPP-P, PP-SA, PP-ST, RW"
N458,Jm Langaas Drift As,971725419,Sundveien 86,8384,Sund I Lofoten,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
T251,Joh H Pettersen As,974136384,Kvaløyvågvegen 1422,9103,Kvaløya,"FFPP, FFPP-P, PP-SA, PP-ST"
M435,Johan Giskeødegård As,971693312,Sætrehamna 15,6050,Valderøya,"FFPP, PP-KL, PP-SA"
F421,Johan Kvalsvik As,873190272,Akkarfjord 36,9650,Akkarfjord,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
T1065,Johansen Jan Ivar,978562086,Ibestadveien 917,9453,Kråkrøhamn,PP-ST
T1139,John E Olsen,993664375,Vorterøy,9180,Skjervøy,PP-ST
N554,John Greger As,871801622,Gleaveien 4b,8064,Røst,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N566,John Greger As,871801622,Tyvsøyveien 15,8064,Røst,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
T119,Johs H Giæver As Avd Havnnes,973067427,Postboks 1,9159,Havnnes,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
F714,Josefsen Hedly,978343589,,9710,Indre Billefjord,PP-ST
M2103,Juvikprodukt As,919979062,Juvikvegen 34,6480,Aukra,PP
SF813,Jølsterlia Finn Årdal,973298739,,6843,Skei I Jølster,"FFPP, FFPP-P, PP"
F721,Jørn Harangen,,Karkoveien 5,9700,Lakselv,PP-ST
N324,Kaikanten Delikatesser As,989899562,Ballstadlandet 200,8373,Ballstad,PP
T1142,Karl Arne Olsen,994299999,,9161,Burfjord,PP-ST
N2356,Karl Viktor Fisk As,926549138,Hellandsgata 77,8312,Henningsvær,"FFPP, FFPP-P, PP-SA"
N2230,Karl-Arne Kristiansen,,Mærvollveien 75,8360,Bøstad,PP-ST
T63,Karls Fisk & Skalldyr As,985811008,,9161,Burfjord,FFPP
T1079,Karls Fisk & Skalldyr As,985811008,Tønsvikvegen 518,9023,Krokelvdalen,"FFPP, FFPP-P, PP, PP-ST"
T127,Karls Fisk & Skalldyr As,985811008,Tønsvikvegen 518,9023,Krokelvdalen,FFPP
T125,Karls Fisk & Skalldyr As,985811008,,9144,Samuelsberg,FFPP
T1095,Karlsøybruket As,993376299,,9135,Vannvåg,"FFPP, PP, PP-SA"
T1094,Karlsøybruket As,993376299,Vannavalen,9135,Vannvåg,"FFPP, FFPP-P, PP-KL, PP-MA, PP-SA, PP-ST"
TL26,Karmaceli As,985209510,Strandaveien 264,7740,Steinsdalen,"FFPP, FFPP-P, RW"
R960,Karmsund Maritime Kvitsøy As,999292666,,4180,Kvitsøy,"FFPP, FFPP-P, PP-C"
R87,Karmsund Næringsmiddelbygg As,987057998,Husøyvegen 228,4262,Avaldsnes,"FFPP, FFPP-P, PP, PP-C"
R973,Karmsund Protein As,916782039,Husøyvegen 141,4262,Avaldsnes,PP-MA
M395,Karsten Flem As,971688378,Longvafjordvegen 249,6293,Longva,"FFPP, PP-KL, PP-SA"
T1195,Kasper Villiam Johannessen,,Oksfjordhamn,9151,Storslett,PP-ST
T1256,Kato Per Henriksen Løvstad,,Botnhamnveien 506,9373,Botnhamn,PP-ST
M2076,Kd Norway As,979457197,Strandgata 60,6270,Brattvåg,PP-MA
R57,K-Fisk As,984673981,Sveholmvegen 10,4275,Sævelandsvik,"FFPP, FFPP-P, PP-C"
TL29,Kime Akva Uttian As,826427922,Hestøyveien 66,7270,Dyrvik,FFPP
N681,King Oscar As Avd Svolvær,980900797,Storgata 2,8300,Svolvær,"PP, PP-MA"
F55,Kirkenes Processing As,990457719,Timberveien 85,9911,Jarfjord,"FFPP-P, FFPP-SA"
2996,Kirkens Bymisjon Storkjøkken Sandnes,934295498,Hoveveien 9,4306,Sandnes,"FFPP-P, PP"
F701,Kjell Holmgren,,Jupiters Vei 3,9602,Hammerfest,PP-ST
T1153,Kjell Ivar Johan Lilleng,,Straumbotnveien 38,9455,Engenes,PP-ST
T1140,Kjell Nilsen,978236197,Kjøtta 60,9424,Kjøtta,PP-ST
N1187,Kjella Samvirkelag Sa,971719230,Haukenesveien 45,7982,Bindalseidet,FFPP
T1208,Kjækan Gård - Trond Jensen,993702897,Kjækan,9162,Sørstraumen,"FFPP, FFPP-P, PP-SA, PP-ST"
N2410,Kleppstadfisk As,986414061,J.M.Johansens Vei 19,8340,Stamsund,FFPP-P
M2009,Klippfiskbua.No,998001137,6055 Godøya,6055,Godøya,RW
VL25,Kloster Laks As,926032208,Eidsnesvegen 22,5455,Halsnøy Kloster,"FFPP-P, PP"
TL50,Kokkeriet As,818427492,"Tempeveien 33-35, 7031 Trondheim",7031,Trondheim,RW
N2404,Kolbjørn Aksel Johansen,973882635,Skolbakken 2,8752,Konsvikosen,PP-ST
F844,Kongsfjordbruket As,919009861,,9982,Kongsfjord,"FFPP, PP, PP-SA, PP-ST"
M96,Kongshaug Krabbe As,916295391,Hestøya,6570,Smøla,"FFPP, FFPP-P, PP-C"
H816,Konrad Sekkingstad As,974101998,Apalvågvegen 42,5357,Fjell,FFPP
F862,Kontepella As,922284490,Masjokdalen 131,9841,Tana,PP-ST
M422,Korsneset Klippfisk As,971824700,Korsnesveien,6035,Fiskarstrand,PP-KL
TK73,Kragerø Sjømat As,971722363,Brygga 3,3770,Kragerø,"FFPP, PP, PP-C"
F90,Kranes Kjøkken As,994325361,Strandgaten 21,9593,Breivikbotn,"FFPP-P, PP"
TL25,Krifo Fisk Og Fiskmat As,820424832,Roan Havn 37,7180,Roan,"FFPP, FFPP-P, PP, PP-SA"
T1199,Kristian Ingolf Solstad,,Øvermyra,9144,Samuelsberg,PP-ST
F670,Kristian Nilsen,974066785,,9773,Nervei,PP-ST
F769,Kristian Ragnar Larsen,,Lomvannsveien 60,9690,Havøysund,PP-ST
ST106,Kråkøy Slakteri As,985885540,Kråkøyveien 59,7180,Roan,"FFPP-P, FFPP-S, FFPP-SA"
F751,Kvalfjord Kystfiske As,994813331,Kvalfjordveien 11,9531,Kvalfjord,PP-ST
N491,Kvalvik Maskin As,973507001,Kvalvik,8390,Reine,PP-ST
T1141,Kåre Olsen As,919244461,,9161,Burfjord,PP-ST
TK440,Langesund Sjømat As,971823003,Stoa 7,3970,Langesund,"PP, RW"
TK75,Langesundfisk As,914909856,Stoa 13,3970,Langesund,"FFPP, PP, PP-C"
F732,Lars Henry Malvin Johnsen,,Bukta,9550,Øksfjord,PP-ST
T1108,Lars Olai Johansen,,Gloen 86,9446,Grovfjord,PP-ST
T1159,Larsen Olav Fredrik,978366015,Navaren,9321,Moen,PP-ST
F830,Lauritzen Fisk As,993829412,Mollaveien 6,9790,Kjøllefjord,PP-ST
N1009,Leif Snorre Sarassen P/R Ans,978242022,,8743,Indre Kvarøy,"FFPP, FFPP-P, PP-ST"
TF12,Leif-Ammon Länsman,923098291,Rávttebelgeainu 281,9840,Varangerbotn,PP-ST
H108,Leiren Laks As,977527430,Stamnes,5727,Stamnes,PP
N2224,Lene Engvik Rasch,972508535,Sperstadveien 152,8187,Jektvik,PP-ST
SF320,Lerøy Bulandet As,971866802,Hellersøyvegen 88,6987,Bulandet,"FFPP, FFPP-P, PP"
H55,Lerøy Fossen As,972064009,,5281,Valestrandsfossen,"FFPP-P, PP"
H144,Lerøy Norge As Avd Bergen,971656891,Skuteviksboder 1-2,5035,Bergen,FFPP-P
O70,Lerøy Norge As Avd Laks&Vilt Oslo,971725044,Stanseveien 33,0976,Oslo,"FFPP, FFPP-P, PP, PP-C, PP-SA, RW"
R214,Lerøy Norge As Avd Stavanger,982687004,Varabergmyra 2,4050,Sola,"FFPP-P, PP, RW"
TL33,Lerøy Norge As Avd Trondheim,976950666,Pir I 7,7010,Trondheim,FFPP-P
T258,Lerøy Norway Seafoods As  Avd Tromvik,971796014,Tromtindvegen 322,9107,Kvaløya,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
F202,Lerøy Norway Seafoods As Avd Berlevåg,986004475,Storgata 18a,9980,Berlevåg,"FFPP, FFPP-P, PP"
F161,Lerøy Norway Seafoods As Avd Båtsfjord,974071037,Holmen,9990,Båtsfjord,"FFPP, FFPP-P, MSM, PP, PP-SA"
F827,Lerøy Norway Seafoods As Avd Båtsfjord,974071037,Holmen,9990,Båtsfjord,"FFPP, FFPP-P, PP"
F771,Lerøy Norway Seafoods As Avd Forsøl,973100254,Leirbuktveien 40,9612,Forsøl,"FFPP, FFPP-P, PP"
F260,Lerøy Norway Seafoods As Avd Kjøllefjord,971655534,Strandveien 79/81,9790,Kjøllefjord,"FFPP, FFPP-P, PP, PP-C, PP-SA"
N161,Lerøy Norway Seafoods As Avd Melbu,973186558,Villaveien 1,8445,Melbu,"FFPP, FFPP-P, MSM, PP, PP-SA, RW"
F412,Lerøy Norway Seafoods As Avd Rypefjord,930739219,Havneveien 44,9610,Rypefjord,"FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST"
N217,Lerøy Norway Seafoods As Avd Skårvågen,990782865,Skårvågen Postboks 14,8475,Straumsjøen,"FFPP, FFPP-P, PP-SA, PP-ST"
N413,Lerøy Norway Seafoods As Avd Stamsund,974087499,Buøyveien 7,8340,Stamsund,"FFPP, FFPP-P, MSM, PP"
F447,Lerøy Norway Seafoods As Avd Sørvær,988236101,Havneveien 13,9595,Sørvær,"FFPP, FFPP-P, PP"
H72,Lerøy Seafood Industri As Avdeling Austevoll,996653811,Bjånesøyvegen 13,5392,Storebø,"FFPP-P, FFPP-SA"
ST309,Lerøy Seafood Industri As Avdeling Hestvika,932069628,Hestvikveien 263,7247,Hestvika,"FFPP-P, PP"
ST337,Lerøy Seafood Industri As Avdeling Jøsnøya,976852664,Industriparkveien 31,7246,Sandstad,"FFPP-P, FFPP-SA"
T126,Lerøy Seafood Industri As Avdeling Skjervøy,991285660,Strandveien 4,9180,SKJERVØY,"FFPP-P, FFPP-SA"
TF73,Liholmen Produksjon As,986666931,Liholmen,9991,Båtsfjord,PP-MA
VI3,Live Seafood Center As Avd. Kløfta,924833718,Dyrskuevegen 3,2040,Kløfta,RW
M129,Lm Processing As,972096237,Vågahammeren 6,6520,Frei,FFPP-P
FI131,Lofoss Fisk As,972795100,,2967,Lomen,PP
N319,Lofoten Fish Export As,994466208,Jacob Jentofts Vei 45,8373,Ballstad,"FFPP, PP, PP-SA, PP-ST"
N375,Lofoten Sjøprodukter As,972115177,Mortsundveien 379,8370,Leknes,"FFPP, FFPP-P, FFPP-SA, PP, PP-SA, PP-ST"
N541,Lofoten Viking As,972000337,Røstnesvågen,8063,Værøy,"FFPP, FFPP-P, PP, PP-ST"
N275,Lofothau As,987787902,Mærvollveien 73,8360,Bøstad,"PP, PP-ST"
N2391,Lofothau Produksjon As,928158357,Havnekvartalet 4,8370,Leknes,PP-ST
M116,Lofotkompaniet As,971797053,Skippergata 27,6507,Kristiansund N,RW
M408,Lofotprodukt As Avd Gjerdsvika,973488724,Gjerdsvikvegen 208,6083,Gjerdsvika,PP
N350,Lofotprodukt As Avd Leknes,973960822,Havet 45,8370,Leknes,"FFPP-P, PP"
O107,Lofotprodukt Oslo Produksjon As,971687282,Akerhusstranda 1,0150,Oslo,"FFPP, FFPP-P, PP, PP-C, RW"
N300,Lofotterminalen As,976743253,Leknes Havn,8370,Leknes,FFPP
T270,Lorentzen Fisk As,973510223,Klubbvegen 15,9118,Brensholmen,"FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST"
TK407,Lunde Arild,978443095,Nystrandveien 86,3944,Porsgrunn,PP-C
F678,Lyder Fisk As,995316137,,9717,Veidnesklubben,PP-ST
F804,Lyder Fisk As,995316137,Holmbuktveien 247,9717,Veidnesklubben,FFPP
F2428,Lyder Fisk Billefjord,933625559,Vestre Porsangerveien 3339,9710,Indre Billefjord,FFPP
F861,Lyder Fisk Dyfjord As,920871577,Tørrfiskveien 18,9782,Dyfjord,"FFPP, FFPP-P, PP-ST"
TF76,Lyder Fisk Torhop,928520188,Børresenveien 63,9841,Tana,FFPP
T184,Lyngen Reker As,992131950,Lenangsøra,9064,Svensby,"FFPP, PP, PP-C"
TF95,Lyngsskjellan V/Arne Samuelsen,913611098,Gambukta 18,9146,Olderdalen,PP-MA
R146,Løining As,974102560,Skadberg,4370,Egersund,"FFPP-P, PP"
SF122,Maaløy Seafood As,973167510,,6701,Måløy,"FFPP, FFPP-P"
ST245,Magnus Engzelius,985238189,Pinstiveien 95,7375,Røros,PP
F702,Marbakken As,920681271,Markveien 18,9610,Rypefjord,PP-ST
M325,Marine Sales As,886102232,Postboks 383,6001,Ålesund,"FFPP, FFPP-P, PP, PP-SA"
M374,Marine Sales Stokksund As,992634162,Hagemannsvegen 6,6070,Tjørvåg,"FFPP, FFPP-P, PP"
SF364,Martin E Birknes Eftf As,971666323,Kalvøyna 75,5970,Byrknesøy,"FFPP-P, FFPP-S, FFPP-SA, PP"
A245,Maskinpakking As,974092557,Johan Follestads Vei 18,3474,Åros,RW
VF203,Matbørsen As,974274213,Borgeskogen,3160,Stokke,"PP, PP-C"
M364,Mathias Bjørge As,995477645,Årset,6057,Ellingsøy,"FFPP-P, PP-KL, PP-SA"
TF24,Mathisen Fjord Og Kystfiske,919981687,Rávttebelgeainu 1922,9840,Varangerbotn,PP-ST
ST223,Matpartner As,978678572,Hofstadveien 89,7224,Melhus,FFPP-P
1874,Matprodusenten As,992260580,Borgeskogen 45c,3160,Stokke,PP
ST479,Mausund Fiskemottak As,976964071,,7284,Mausund,FFPP
AG2,Maxi Catering As,924803096,Stålveien 9,4629,Kristiansand S,PP
N2189,Meløy Videregående Skole Avd Inndyr,874621412,Inndyr 455,8140,Inndyr,"FFPP, FFPP-P, FFPP-S, FFPP-SA, PP, PP-ST"
TF75,Meron As,923198954,Tanafjordveien 3032,9841,Tana,PP-ST
F757,Mevær As,877943712,Mønesveien 23,9586,Loppa,PP-ST
R98,Mikals Laks As,982037859,Jøsnesvegen 142,4146,Skiftun,PP
F671,Mikalsen Edvart,978369154,,9771,Skjånes,PP-ST
F679,Mikalsen Gjermund,973678841,,9771,Skjånes,PP-ST
ØF474,Mills As Avd Fredrikstad,973083082,Borgarveien 24,1633,Gamle Fredrikstad,PP
1876,Miss Gin Garden As,920621163,Hofveien 6,3092,Sundbyfoss,PP
VL36,Modesta Mat As,926532243,Skuteviksbodene 1,5035,Bergen,PP
F768,Moen Magnar,978086187,Elveveien 1,9536,Korsfjorden,PP-ST
M394,Mowi Avd Eggebønes Processing,971856211,Eggesbønes,6092,Fosnavåg,FFPP-SA
ST400,Mowi Avd Jøsnøya,932401231,Industriparkveien 41,7246,Sandstad,"FFPP-P, FFPP-SA"
R110,Mowi Avd Ryfisk,972347256,Hundsnesvegen 151,4130,Hjelmeland,FFPP-P
N1115,Mowi Avd Slakteri Herøy,972354899,Øksningsveien 43,8850,Herøy,"FFPP-P, FFPP-SA"
A232,Mowi Logistics,993493791,Kurillvegen 8,2060,Gardermoen,RW
R16,Mowi Nutrition Hjelmeland,973519034,Hundsnesveien 151,4130,Hjelmeland,"FFPP-P, PP-MA"
N2243,Myhres Røkeri As,913200497,Mellomveien 13,8430,Myre,RW
TF23,Myre Fiskemottak As Avd Honningsvåg,925519022,Kobbhullveien 12,9750,Honningsvåg,"FFPP, FFPP-P"
TF9,Myre Fiskemottak As Avd Kamøyvær,924885556,Risfjordveien 2,9762,Kamøyvær,"FFPP, FFPP-P, PP, PP-SA"
N141,Myre Fiskemottak As Avd Myre,989281682,Bolstads Vei 15,8430,Myre,"FFPP, FFPP-P, PP, PP-ST"
N2228,Myre Fiskemottak As Avd Myre,989281682,Bolstads Vei 15,8430,Myre,"FFPP, PP, PP-ST"
N2320,Myre Fiskemottak As Avd Myre,989281682,Bolstads Vei 15,8430,Myre,"FFPP, FFPP-P, PP, PP-ST"
N2353,Myre Kystdrift As,980645762,Sommarøy,8430,Myre,"FFPP-S, FFPP-SA"
N142,Myre Saltfish Group As,995681293,Terminalveien 2,8430,Myre,PP-SA
N126,Myremar As,979630476,Havnegata 25,8430,Myre,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
T1236,Myrnes Konrad A Inngår I Dødsbo,969652005,Naustbuktveien 63,9100,Kvaløysletta,PP-ST
M2022,Møre Star Fish E Måseidvåg,972184632,Svingen 7,6036,Mauseidvåg,"FFPP-P, PP"
TL52,Måsøval Harvest As,933059863,Ulvøyveien 177,7242,Knarrlagsund,"FFPP-P, FFPP-SA"
F699,Nadezda Levicheva,,Nordre Ringvei 10,9511,Alta,PP-ST
NT817,Namdal Seafood As,919072415,Skorstadvegen 558,7819,Fosslandsosen,"FFPP, FFPP-P, FFPP-S"
H786,Napier As,976173023,Hovlandsvegen 18,5443,Bømlo,FFPP-SA
N288,Napp Sjømat As,991927921,,8382,Napp,"FFPP, PP, PP-SA, PP-ST"
N2166,Nargtind As,999354394,Onøy,8766,Lurøy,PP-ST
T369,Nergård Fisk Grunnfarnes,979277504,Grunnfarnes,9395,Kaldfarnes,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
T353,Nergård Fisk Gryllefjord,996842991,,9380,Gryllefjord,"FFPP, FFPP-P, PP"
T316,Nergård Fisk Senjahopen,971696176,Mefjordveien 1537,9386,Senjahopen,"FFPP, FFPP-P, PP, PP-KL, PP-MA, PP-SA"
T314,Nergård Sild As,984781741,Senjahopen,9386,Senjahopen,"FFPP, FFPP-P, PP"
F433,Nergård Sørøya As,976050932,Strandgata 40,9593,Breivikbotn,"FFPP, PP, PP-MA, PP-SA"
F440,Nergård Sørøya As,976050932,Strandgata 40,9593,Breivikbotn,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
F833,Nervei Torsk As,920789307,Nervei Mellom 1,9773,Nervei,PP-ST
VF331,Nevlunghavn Brygge As,914960703,Brunlanesveien 1505,3296,Nevlunghavn,FFPP
2868,Newrest Norway As,912540197,Thor Heyerdahls Veg 138,2060,Gardermoen,PP
N322,Nic Haug As,971702133,Ballstadlandet 100,8373,Ballstad,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
T1148,Nils Samuelsen,,,9147,Birtavarre,PP-ST
M373,Nils Sperre As,971771437,Ellingsøyvegen 700,6057,Ellingsøy,"FFPP, PP, PP-KL, PP-SA"
M392,Njardar As,971986107,Nærøy,6094,Leinøy,PP
T220,Nofima As Avd Biotep,833599992,Ropnesvegen 71,9107,Kvaløya,PP-MA
FI102,Noraker Rakfisk As,989293338,Oslovegen 749,2910,Aurdal,PP
M2187,Norcoast As,921104049,Geilevika,6055,Godøya,"FFPP, FFPP-P"
T315,Nord Senja Fisk As,995724081,Botnhamnveien 787,9373,Botnhamn,"FFPP, PP, PP-KL, PP-SA"
N879,Nordfold Fiskerikai As,973809636,Nordfold,8286,Nordfold,FFPP
H85,Nordhordland Fisk As,981569857,Bøvågen,5936,Manger,"FFPP, FFPP-P"
VL187,Nordhordland Fisk As   Avd Brødrene Larsen,930261807,Kalvøyna 10,6729,Kalvåg,"FFPP, FFPP-P, PP"
F2424,Nordic Betula As,925069620,Bygdeveien 59,9802,Vestre Jakobselv,"FFPP-P, PP"
H123,Nordic Caviar As,981265424,Toft,5379,Steinsland,PP
VI6,Nordic Kingfish Fredrikstad As Avd Fiskeslakteri,926496980,C/O Øra Industripark As,1630,Gamle Fredrikstad,FFPP-S
T210,Nordic Pharma Inc As Avd Tromsø,992527137,Ropnesveien 71,9107,Kvaløya,PP-MA
F261,Nordkyn Eiendom As,985951373,Værveien 71,9770,Mehamn,"FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST"
T468,Nordlaks Oppdrett As,980183130,Avd. Gullesfjord,8455,Stokmarknes,FFPP
N169,Nordlaks Produkter As Avd Stokmarknes,973149636,Industriveien 14,8450,Stokmarknes,"FFPP-P, FFPP-SA, PP, PP-MA"
N2204,Nordland Havfiske As,973234676,Buøyveien 7,8340,Stamsund,PP-MA
T1130,Nordnesfisk As,980662365,Nordnes,9144,Samuelsberg,PP-ST
N1006,Nord-Reker As,972272787,Kvina,8752,Konsvikosen,"FFPP, PP-C"
F313,Nordvågen As Avd Nordvågen,976772172,Hovedveien 45,9760,Nordvågen,"FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST"
BU242,Norgescatering As,985684642,Dølasletta 3,3408,Tranby,PP
ST158,Norgeskjell As Avd Rissa,972114669,Kvithyllveien 199,7100,Rissa,FFPP
ST112,Norgeskjell As Avd Åfjord,972114979,Austdalsveien 258,7170,Åfjord,FFPP
TK241,Norsk Fiskeeksport As,932994275,Tinnegrendvegen 93,3683,Notodden,FFPP-P
