id,oldPath,newPath,status,candidate_count,candidates
cmoh2g6lq000cn60dkmaqk6r0,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7ff714786c-frettatilkynning-hagar-4f-2024-25-ensk.pdf,research/evidence-pack/arsrapporter/hagar-2024-25.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/fréttatilkynning-hagar-4f-2024-25-ensk.pdf | research/evidence-pack/arsrapporter/hagar-2024-25.pdf
cmoh2g6m5000dn60dmwyfsdxm,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f0fab2be69-konkurransetilsynets-dagligvarerapport-2024-25.pdf,research/evidence-pack/tilsyn/dagligvarerapport-2024.pdf,auto_canonical,3,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Konkurransetilsynet - Konkurransetilsynets Dagligvarerapport 2024 25 (2024).pdf | research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf | research/evidence-pack/tilsyn/dagligvarerapport-2024.pdf
cmoh2g6mm000en60dim12r57j,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/c76145bbb9-nordic-food-markets.pdf,research/evidence-pack/nordisk/nordic-food-markets-2005.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/NORDIC_FOOD_MARKETS.pdf | research/evidence-pack/nordisk/nordic-food-markets-2005.pdf
cmoh2g6n1000fn60d7nyeiw30,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5f481fd61e-ny-rapport-om-krav-til-apenhet-i-dagligvarebransjen-regjeringen-no.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Ny rapport om krav til åpenhet i dagligvarebransjen - regjeringen.no.pdf
cmoh2g6ng000gn60d0ywk9k0x,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc43df6788-nye-tiltak-for-bedre-konkurranse-i-dagligvarebransjen-regjeringen-no.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Nye tiltak for bedre konkurranse i dagligvarebransjen - regjeringen.no.pdf
cmoh2g6nu000hn60df51uiqcu,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/aa2340aec7-paivittaistavarakauppa-ry-2024-en.pdf,research/evidence-pack/nordisk/pty-finnish-grocery-trade-statistics-2024.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Paivittaistavarakauppa-ry-2024-EN.pdf | research/evidence-pack/nordisk/pty-finnish-grocery-trade-statistics-2024.pdf
cmoh2g6oa000in60doqd3o1h4,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5a1cbe46f9-rapport-om-samarbeidsklimaet-i-dagligvarebransjen.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+Dagligvarebransjen.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+Dagligvarebransjen.pdf
cmoh2g6oq000jn60d7f8ag0y1,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/2bc5e2a736-rapport-om-samarbeidsklimaet-i-dagligvarebransjen-2023.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet - Rapport om Samarbeidsklimaet i Dagligvarebransjen 2023 (2024).pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet - Rapport om Samarbeidsklimaet i Dagligvarebransjen 2023 (2024).pdf | research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+Samarbeidsklimaet+i+Dagligvarebransjen+2023.pdf
cmoh2g6p6000kn60dicd1pfnx,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/6de68c22a6-rapport-om-samarbeidsklimaet-i-dagligvarebransjen-2024-final-17-10-24.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+i+dagligvarebransjen+2024_Final_17.10.24.pdf
cmoh2g6pl000ln60d5g38599t,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/5f07f685a5-rapport-om-samarbeidsklimaet-lokalmat-og-drikke-produsenter-i-dagligvarebransjen-2025.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+lokalmat-+og+drikke+produsenter+i+dagligvarebransjen+2025.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Rapport+om+samarbeidsklimaet+lokalmat-+og+drikke+produsenter+i+dagligvarebransjen+2025.pdf
cmoh2g6q9000mn60dbd4dttlq,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/da6ee0591c-samkeppniseftirlitid-arsskyrlsla-2024-lok-02-10.pdf,research/evidence-pack/nordisk/is-samkeppni-annual-report-2024.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/SAMKEPPNISEFTIRLITID_arsskyrlsla_2024_LOK_02.10.pdf | research/evidence-pack/nordisk/is-samkeppni-annual-report-2024.pdf
cmoh2g6qt000nn60d3xlcmfqa,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/357f64eccf-svak-konkurranse-som-fortjent-civita.pdf,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Svak konkurranse – som fortjent - Civita.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Svak konkurranse – som fortjent - Civita.pdf
