priority,status,candidate,matchedCompanyName,matchedOrgNr,mentions,sourceCount,exampleSources
MEDIUM,tracked,SalMar ASA,SalMar ASA,960514718,18,14,Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordisk Sjømatverdikjede: Komparativ Analyse (norden/verdikjede/07-sjoemat.md); Nordic Food System M&A Activity 2020-2025 (external/nordic-food-ma-2020-2025.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md)
HIGH,missing_company_record,Reitan Eiendom AS,,,27,13,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Nye insights fra eiendomsmodell-analyse (analyse/eiendomsmodell-nye-insights.md); Tidsserier: Strukturelle indikatorer for norsk matsystem 2015-2025 (analyse/tidsserier-strukturelle-indikatorer.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md)
HIGH,missing_company_record,NorgesGruppen Eiendom AS,,,21,13,"Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Akademisk kildeføring, original kildeverk og verifisering — Plan (AKADEMISK-KILDEHANDTERING-PLAN.md); Research Focus Report: Meeting-4 — Strategisk ledergruppe Marked, 16. mars 2026 (analyse/meeting-4-research-focus.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md)"
HIGH,missing_company_record,Natural State AS,,,17,13,docs/meetings/MØTEOVERSIKT.md; Oslo Innovasjonsprogram 2025 — Food Systems Application (1. Food system_ Oslo Innovasjons program 2025 .md); Oslo Innovasjonsprogram 2025 — Copy (1. Food system_ Oslo Innovasjons program 2025  (1).md); Funding Map (external/notion/funding-map.md); Contract — Nordic Circular Hotspot transition groups 2025-2026 (external/nch-contract/contract-201-2503-P25013.md)
MEDIUM,tracked,Axfood AB,Axfood AB,SE-556542-5353,17,13,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Nordisk Dagligvaremarked: Markedsstruktur og Validering 2024–2026 (perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md)
HIGH,missing_company_record,Bunnpris AS,,,16,12,"Food Systems Norway - Phase 2 Charts Design (brocode-bakgrunn/design-specs/charts-design.md); Food Systems in Transition: A Nordic Comparative Analysis of Market Concentration, Price Dynamics, and Regulatory Responses (whitepaper/food-systems-2026-draft-v1.md); Kvantitativ dybdeanalyse: Det norske matsystemet (norge/kvantitativ-dybdeanalyse.md); The Pattern That Connects: Norwegian Food Systems Through a Systems-Thinking Lens (norge/markedskonsentrasjon.md); Food Systems in Transition: A Nordic Comparative Analysis of Market Concentration, Price Dynamics, and Regulatory Responses (whitepaper/food-systems-2026-draft-v1-reviewed.md)"
HIGH,missing_company_record,Coop Norge Eiendom AS,,,27,11,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/eiendomsmakt-dagligvaremarkedet-norden-2026-04-20.md)
MEDIUM,tracked,Reitan Retail AS,Reitan Retail AS,914526647,15,11,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Nordisk Dagligvaremarked: Markedsstruktur og Validering 2024–2026 (perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md)
MEDIUM,tracked,BAMA Gruppen AS,BAMA Gruppen AS,914224314,15,11,"Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Grossist, distribusjon og logistikkinfrastruktur i Norden (norden/verdikjede/03-distribusjon-logistikk.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md); Norsk Bedriftsdata: Granulær Kartlegging av 14 Nøkkelaktører (norden/verdikjede/09-norsk-bedriftsdata.md)"
HIGH,missing_company_record,Finnprotein Oy,,,19,10,Arkiv-indeks — research/ (ARKIV-INDEX.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); [Deep Research] Lag en detaljert selskapsprofil for Volare / Finnprotein Oy (Finland): (bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md); Perplexity Promptpack — Møte 7 (20.04.2026) (rammeverk/perplexity-promptpack-møte7-2026-04-20.md); docs/project/mandates/source-shortlist-food-tg-db-status-2026-04-29.csv
HIGH,missing_company_record,Mycorena AB,,,19,10,Arkiv-indeks — research/ (ARKIV-INDEX.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Mycorena AB konkurs 10.07.2024 - trustee Magnus Loefving (Lindahl KB) (evidence-pack/sirkular-konkurser/mycorena/konkurs-bolagsverket.md); Mycorena AB siste aarsredovisning 2023 (evidence-pack/sirkular-konkurser/mycorena/aarsredovisning-2023.md); research/ARKIV-INDEX.md
HIGH,missing_company_record,Hooked Foods AB,,,18,10,Arkiv-indeks — research/ (ARKIV-INDEX.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Hooked Foods AB siste aarsredovisning 2024 (evidence-pack/sirkular-konkurser/hooked-foods/aarsredovisning-2024.md); Hooked Foods AB konkurs 15.01.2026 (evidence-pack/sirkular-konkurser/hooked-foods/konkurs-bolagsverket.md); research/ARKIV-INDEX.md
HIGH,missing_company_record,Joh. Johannson Handel AS,,,12,10,Nordstad-analysen: Marginer og Skjult Profitt (bibliotek/akademia/nhh-food/nordstad-arkiv/MARGIN-ANALYSE.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Nordisk Foredlingsindustri: Komparativ Analyse (norden/verdikjede/02-foredling.md); Kryssegment Verdikjedeanalyse: Maktkonsentrasjon og Systemrisiko i Nordiske Matsystemer (norden/verdikjede/10-kryss-analyse.md); Norsk Bedriftsdata: Granulær Kartlegging av 14 Nøkkelaktører (norden/verdikjede/09-norsk-bedriftsdata.md)
HIGH,missing_company_record,NorgesGruppen Vestfold Telemark AS,,,10,10,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/eiendomsmakt-dagligvaremarkedet-norden-2026-04-20.md)
MEDIUM,tracked,Yara International ASA,Yara International ASA,986228608,10,10,Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Innsatsvarer og oppstrøms verdikjeder i nordisk landbruk (norden/verdikjede/04-innsatsvarer.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Norsk Bedriftsdata: Granulær Kartlegging av 14 Nøkkelaktører (norden/verdikjede/09-norsk-bedriftsdata.md); docs/project/plans/DATAVISUALISERING-MASTERPLAN-2026-04-29.md
MEDIUM,tracked,Matvett AS,Matvett AS,997898397,10,10,"Phase 6 — Substansutbygging Foregangsområde 1-5 (v1-2/phase6-foregangsomrader-substans.md); BRREG-VALIDERTE SIRKULÆRE MATAKTØRER — NORGE (norge/circular-actors/brreg-validated.md); Sirkulaere selskaper i norsk matsystem (bibliotek/sirkularitet/sirkulaer-selskaper-norge.md); Matsvinn tidsserier Norden 2015-2024 (bibliotek/sirkularitet/matsvinn-tidsserier-norden.md); Dypforskning: Sirkulære Matsystemer, Biogass og Ressursgjenvinning i Norden (bibliotek/sirkularitet-dyp.md)"
HIGH,missing_company_record,Roal Oy,,,17,9,"Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); JT nevnte ""Rolære i Finland"" i samme kontekst som framtidens fôr og sirkulær matproduksjon. Identifiser hva dette viser til. Sannsynlige kandidater: (bibliotek/forskningsrunde-2026-04-20/roal-oy-enzymer-finland-2026-04-20.md); JT nevnte ""Rolære i Finland"" i samme kontekst som framtidens fôr og sirkulær matproduksjon. Identifiser hva dette viser til. Sannsynlige kandidater: (perplexity-20-04-26/rolaere-finland-sirkulaer-for.md); Forskningsrunde 2026-04-20 — Perplexity Pro (bibliotek/forskningsrunde-2026-04-20/INDEX.md); docs/project/plans/RESEARCH-PLAN-FOOD-TG-SIRKULARITET-2026-04-20.md"
MEDIUM,tracked,Festi hf,Festi hf,IS-540206-2010,16,9,"Grossist, distribusjon og logistikkinfrastruktur i Norden (norden/verdikjede/03-distribusjon-logistikk.md); Nordisk Dagligvaremarked: Markedsstruktur og Validering 2024–2026 (perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md); Purchase of Lyfju hf by Festi hf (bibliotek/media/snapshots/is-samkeppni-festi-lyfja-2024.md); Sammendrag: Det islandske dagligvaremarkedet 2025 (bibliotek/nordisk/island-dagligvaremarked-2025.md); research/bibliotek/media/media-source-candidates-2026-04-29.csv"
HIGH,missing_company_record,NorgesGruppen Eiendom Holding AS,,,11,9,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/eiendomsmakt-dagligvaremarkedet-norden-2026-04-20.md); research/analyse/eiendomsmodell-finansiell-analyse.md
MEDIUM,tracked,ICA Gruppen AB,ICA Gruppen AB,SE-556048-2837,11,9,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Plattform-kobling — seed ↔ arkiv (PLATTFORM-KOBLING.md); Plattform-kobling — seed ↔ arkiv (_status/PLATTFORM-KOBLING.md); Gjennomgang av arsrapporter -- nordiske dagligvareaktorer (analyse/pdf-gjennomgang-arsrapporter.md); Nordisk Dagligvaremarked: Markedsstruktur og Validering 2024–2026 (perpl-17-03/Nordisk Dagligvaremarked  Markedsstruktur og Validering 2024–2026.md)
HIGH,missing_company_record,Nordic Circular Hotspot AS,,,11,9,Leveranseplan — WP3 Nordic Circular Food Systems (rammeverk/leveranseplan-wp3-food-systems.md); Contract — Nordic Circular Hotspot transition groups 2025-2026 (external/nch-contract/contract-201-2503-P25013.md); Nordic Ecosystem for Circular Construction (NECC) (external/ni-soknad/soknad-ncc-fase-2.md); Nordic Circular Food Systems — NI 2024 Application (Rejected) (Just now (12.Revise-Gab) Nordic Circular Food systems  - V.2.10-07-24.docx.md); docs/strategy/Just now (12.Revise-Gab) Nordic Circular Food systems  - V.2.10-07-24.docx.md
MEDIUM,tracked,Felleskjøpet Agri SA,Felleskjøpet Agri SA,911608103,9,9,Sentralt Kilderegister: Food Systems 2026 (bibliotek/KILDEREGISTER.md); Innsatsvarer og oppstrøms verdikjeder i nordisk landbruk (norden/verdikjede/04-innsatsvarer.md); Selskapsdata: 14 Norske Matsystem-Aktorer (norge/selskapsdata-14-aktorer.md); Norsk Bedriftsdata: Granulær Kartlegging av 14 Nøkkelaktører (norden/verdikjede/09-norsk-bedriftsdata.md); docs/superpowers/plans/2026-05-20-koherens-og-produsentseparasjon.md
