path,action,ocr_word_count,archive_path,document_id,reason
"arkiv-sortert/Food Research Process 20.04.26/06_Company_And_Annual_Reports/2021 Impact Report ENG.pdf",archived,7984,"research/ocr-output/arkiv-sortert__Food Research Process 20.04.26__06_Company_And_Annual_Reports__2021 Impact Report ENG.md",,"No Document with matching filePath - archived only"
"arkiv-sortert/Food Research Process 20.04.26/07_Academic_Research_And_Theses/drager-og-vagene.pdf",archived,30522,"research/ocr-output/arkiv-sortert__Food Research Process 20.04.26__07_Academic_Research_And_Theses__drager-og-vagene.md",,"No Document with matching filePath - archived only"
"arkiv-sortert/Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Billund Aquaculture to declare bankruptcy amid financial challenges - RASTECH MagazineRASTECH Magazine.pdf",skipped,0,,,File size 1057 B < 10240 B threshold (likely corrupt)
evidence-pack/akademia/drager-vagene-2017.pdf,archived,30522,research/ocr-output/evidence-pack__akademia__drager-vagene-2017.md,,Document already has 30647 words (>500) - archived only
"pdf-downloads-20-04-26/What does it take to close the loop_ Lessons from a successful citrus waste valorisation business _ British Food Journal _ Emerald Publishing.pdf",archived,306,"research/ocr-output/pdf-downloads-20-04-26__What does it take to close the loop_ Lessons from a successful citrus waste valorisation business _ British Food Journal _ Emerald Publishing.md",,"No Document with matching filePath - archived only"
