source,ref,entity_type,problem,severity,fix_group,priority,suggested_action
file-coverage,src-10,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Natural State Mail - DROFTING TG.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-101,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""coffee-forest-prd.md"" or update SourceDoc.filename to actual location"
file-coverage,src-102,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""coffee-forest-eudr-research.md"" or update SourceDoc.filename to actual location"
file-coverage,src-103,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""ni-soknad-ncc-fase-2.md"" or update SourceDoc.filename to actual location"
file-coverage,src-107,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nch-funding-map.md"" or update SourceDoc.filename to actual location"
file-coverage,src-108,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""biosirkel-prosjekt.md"" or update SourceDoc.filename to actual location"
file-coverage,src-109,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""fuglen-sources.md"" or update SourceDoc.filename to actual location"
file-coverage,src-110,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-01-regulering-matsvinn.md"" or update SourceDoc.filename to actual location"
file-coverage,src-111,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-02-sirkuaere-prosesser-biookonomi.md"" or update SourceDoc.filename to actual location"
file-coverage,src-112,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-03-emballasje-ppwr.md"" or update SourceDoc.filename to actual location"
file-coverage,src-113,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-REG-01-matsvinn-lovverk.md"" or update SourceDoc.filename to actual location"
file-coverage,src-114,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-REG-02-emballasje-matsektor.md"" or update SourceDoc.filename to actual location"
file-coverage,src-115,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-REG-03-danmark-co2-avgift.md"" or update SourceDoc.filename to actual location"
file-coverage,src-116,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-KOST-01-nordisk-kosthold-beredskap.md"" or update SourceDoc.filename to actual location"
file-coverage,src-117,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-TEK-01-matteknologi.md"" or update SourceDoc.filename to actual location"
file-coverage,src-118,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-TEK-02-biotech-proteiner.md"" or update SourceDoc.filename to actual location"
