access_date,company,cvr,label,source_type,url,http_status,content_type,local_path,headers_path,sha256,notes
2026-05-18,Salling Group A/S,35954716,salling-group-as-2024-aarsrapport-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzg3L2JlL2FjL2MxLzE0M2MtNDhjNC05NjI5LTBjZDM4ZGZjZmE1Yw.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2024-urn_ofk_oid_37318171-01-aarsrapport.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2024-urn_ofk_oid_37318171-01-aarsrapport.headers,998ea74201fd71ded0776f8f7defaf1ccded843e982e2daa5c3709eeedfb20b8,period=2024-01-01..2024-12-31; publication=2025-04-28T14:00:57.808Z; hit_id=urn:ofk:oid:37318171
2026-05-18,Salling Group A/S,35954716,salling-group-as-2024-aarsrapport-02,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2FmLzRhL2RhLzMyL2JjZWUtNGIzOS04Yzg0LTg0OThlMTc4MTIxMg.xml,200,text/xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2024-urn_ofk_oid_37318171-02-aarsrapport.xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2024-urn_ofk_oid_37318171-02-aarsrapport.headers,02395bee8da9888d47b2a398d0974f8ee75816628a8622c9da79d58804ecde27,period=2024-01-01..2024-12-31; publication=2025-04-28T14:00:57.808Z; hit_id=urn:ofk:oid:37318171
2026-05-18,Salling Group A/S,35954716,salling-group-as-2024-ifrs_extension-03,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzg3LzM3Lzc4LzBhL2E5OGItNDc2Yi1iZDg5LTk4NWQwZjA4MTVmOQ.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2024-urn_ofk_oid_37318171-03-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2024-urn_ofk_oid_37318171-03-ifrs_extension.headers,1867876a536b2c399e75b62ff961aecfdeaf80034ea5bccee4cc1d6fe466f325,period=2024-01-01..2024-12-31; publication=2025-04-28T14:00:57.808Z; hit_id=urn:ofk:oid:37318171
2026-05-18,Salling Group A/S,35954716,salling-group-as-2023-aarsrapport-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzIwLzdlLzlkL2E0LzZkMmEtNDlhNC1iNWZhLWIxNGMzZDZlZjc4Ng.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2023-urn_ofk_oid_35603370-01-aarsrapport.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2023-urn_ofk_oid_35603370-01-aarsrapport.headers,9f9fc7e58b833b675ed96071bf9a5eee447ad83083648e846fd9973e3ce9cf1b,period=2023-01-01..2023-12-31; publication=2024-04-29T09:05:55.098Z; hit_id=urn:ofk:oid:35603370
2026-05-18,Salling Group A/S,35954716,salling-group-as-2023-aarsrapport-02,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzI4LzhhL2MzLzJjL2E0MTAtNDhkYi04YjZkLWM1ZTY2YTE1YWI0Nw.xml,200,text/xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2023-urn_ofk_oid_35603370-02-aarsrapport.xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2023-urn_ofk_oid_35603370-02-aarsrapport.headers,99acda878eb16d63241915431673c26db3108fd78ad0196cfa884693efced0d6,period=2023-01-01..2023-12-31; publication=2024-04-29T09:05:55.098Z; hit_id=urn:ofk:oid:35603370
2026-05-18,Salling Group A/S,35954716,salling-group-as-2023-ifrs_extension-03,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2RlLzUzLzcwL2MwLzM3NWYtNDIyOC1iYTRmLWNjNTkxYzI0NTI1Mg.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2023-urn_ofk_oid_35603370-03-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2023-urn_ofk_oid_35603370-03-ifrs_extension.headers,c116162893156c1dc2d0bff80efd707b3b118d91b5d288142efa932ca3b68b89,period=2023-01-01..2023-12-31; publication=2024-04-29T09:05:55.098Z; hit_id=urn:ofk:oid:35603370
2026-05-18,Salling Group A/S,35954716,salling-group-as-2022-aarsrapport-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzhjL2NhLzAyLzZlL2MwZWUtNGE5NC04MTliLTE3NTE3ZDU4ZmEzOQ.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2022-urn_ofk_oid_33926014-01-aarsrapport.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2022-urn_ofk_oid_33926014-01-aarsrapport.headers,af509d5d87ef0d4ef3c482db5426ec2e809095ef0a3fc5987d6f04ae15be9c68,period=2022-01-01..2022-12-31; publication=2023-05-09T07:36:40.488Z; hit_id=urn:ofk:oid:33926014
2026-05-18,Salling Group A/S,35954716,salling-group-as-2022-aarsrapport-02,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzk1LzMwLzc2LzJjLzVmMTEtNGMzOS05OTk2LWM0MTRjMzAwMmNkNw.xml,200,text/xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2022-urn_ofk_oid_33926014-02-aarsrapport.xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2022-urn_ofk_oid_33926014-02-aarsrapport.headers,c659902df6a4b22e1e766984328dc2284b62076449d7279960029cfecd193d2f,period=2022-01-01..2022-12-31; publication=2023-05-09T07:36:40.488Z; hit_id=urn:ofk:oid:33926014
2026-05-18,Salling Group A/S,35954716,salling-group-as-2022-ifrs_extension-03,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzIxLzA1L2QyL2I1Lzg5ZjgtNDQ0MC05ZTI0LTk0Mzk0NTEzOTRmYw.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2022-urn_ofk_oid_33926014-03-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2022-urn_ofk_oid_33926014-03-ifrs_extension.headers,4083dda9795659fbf5635a1d308d3c13e78020165a854e91439c3b615416ece5,period=2022-01-01..2022-12-31; publication=2023-05-09T07:36:40.488Z; hit_id=urn:ofk:oid:33926014
2026-05-18,Salling Group A/S,35954716,salling-group-as-2021-aarsrapport-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2FjLzhkLzNkL2FkLzhkNmYtNDNmZi04ZGZmLWM3ZDI2MGU1ODc1Zg.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2021-urn_ofk_oid_32227802-01-aarsrapport.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2021-urn_ofk_oid_32227802-01-aarsrapport.headers,e608a6b830dc9b1457cf92a514a3871c485198da6c412ff189dcb198b2b1f4b1,period=2021-01-01..2021-12-31; publication=2022-05-03T11:02:09.032Z; hit_id=urn:ofk:oid:32227802
