Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
1978,pub2X03,"Fiske, fangst og akvakultur",3395,1914,202,1349
1979,A64NP2X01,"Jordbruk, jakt og viltstell",13151,6630,1341,4936
1979,A64NP2X03A,Fiske og fangst,3456,1975,185,1508
1979,A64NP2X03B,Akvakultur,279,123,49,46
1979,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",29400,5205,4294,979
1979,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,24069,3851,3323,717
1979,nr2312,¬¬ Bearbeiding og konservering av fisk mv,5331,1354,971,262
1979,nr23_6,Totalt for næringer,461911,237766,134372,60041
1979,pub2X03,"Fiske, fangst og akvakultur",3735,2098,234,1554
1980,A64NP2X01,"Jordbruk, jakt og viltstell",14885,7474,1452,4950
1980,A64NP2X03A,Fiske og fangst,3806,2337,207,2220
1980,A64NP2X03B,Akvakultur,351,129,61,29
1980,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",33515,5736,4685,1177
1980,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,27668,4391,3654,1027
1980,nr2312,¬¬ Bearbeiding og konservering av fisk mv,5847,1345,1031,150
1980,nr23_6,Totalt for næringer,544463,283271,150999,83924
1980,pub2X03,"Fiske, fangst og akvakultur",4157,2466,268,2249
1981,A64NP2X01,"Jordbruk, jakt og viltstell",16730,8320,1563,5726
1981,A64NP2X03A,Fiske og fangst,4326,2611,227,2765
1981,A64NP2X03B,Akvakultur,517,168,106,16
1981,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",38202,6497,5173,1331
1981,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,31377,5060,4049,1159
1981,nr2312,¬¬ Bearbeiding og konservering av fisk mv,6825,1437,1124,172
1981,nr23_6,Totalt for næringer,622170,323212,171089,97801
1981,pub2X03,"Fiske, fangst og akvakultur",4843,2779,333,2781
1982,A64NP2X01,"Jordbruk, jakt og viltstell",18039,8878,1662,6941
1982,A64NP2X03A,Fiske og fangst,4312,2695,243,2360
