Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
2013,nr2312,¬¬ Bearbeiding og konservering av fisk mv,40137,8761,4673,2933
2013,nr23_6,Totalt for næringer,5151958,2851403,1368056,1006322
2013,pub2X03,"Fiske, fangst og akvakultur",58816,22030,4561,14816
2014,A64NP2X01,"Jordbruk, jakt og viltstell",34612,11726,5084,8432
2014,A64NP2X03A,Fiske og fangst,14913,8866,1255,6145
2014,A64NP2X03B,Akvakultur,50389,16673,3838,11131
2014,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",188489,40463,25567,7900
2014,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,139765,30649,20506,4454
2014,nr2312,¬¬ Bearbeiding og konservering av fisk mv,48724,9814,5061,3446
2014,nr23_6,Totalt for næringer,5344923,2918347,1423126,976997
2014,pub2X03,"Fiske, fangst og akvakultur",65302,25539,5093,17276
2015,A64NP2X01,"Jordbruk, jakt og viltstell",37201,13521,5259,9844
2015,A64NP2X03A,Fiske og fangst,17482,11296,1453,8263
2015,A64NP2X03B,Akvakultur,54456,14705,4155,8616
2015,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",205516,41808,26180,8212
2015,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,149270,32671,21021,5626
2015,nr2312,¬¬ Bearbeiding og konservering av fisk mv,56246,9137,5159,2586
2015,nr23_6,Totalt for næringer,5347063,2888741,1465639,869448
2015,pub2X03,"Fiske, fangst og akvakultur",71938,26001,5608,16879
2016,A64NP2X01,"Jordbruk, jakt og viltstell",38698,14338,5405,10087
2016,A64NP2X03A,Fiske og fangst,19335,12967,1503,9802
2016,A64NP2X03B,Akvakultur,73391,29227,4709,22427
2016,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",227043,44364,27039,9731
2016,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,156364,35150,21656,7345
2016,nr2312,¬¬ Bearbeiding og konservering av fisk mv,70679,9214,5383,2386
2016,nr23_6,Totalt for næringer,5311135,2861124,1490845,802531
2016,pub2X03,"Fiske, fangst og akvakultur",92726,42194,6212,32229
2017,A64NP2X01,"Jordbruk, jakt og viltstell",38662,13789,5586,9046
2017,A64NP2X03A,Fiske og fangst,19310,12431,1568,9065
2017,A64NP2X03B,Akvakultur,78181,30048,5420,22139
2017,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",230412,47332,27848,11477
2017,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,156256,35281,22164,6708
2017,nr2312,¬¬ Bearbeiding og konservering av fisk mv,74156,12051,5684,4769
2017,nr23_6,Totalt for næringer,5612413,3062742,1540826,934165
2017,pub2X03,"Fiske, fangst og akvakultur",97491,42479,6988,31204
2018,A64NP2X01,"Jordbruk, jakt og viltstell",37661,11829,5773,7221
2018,A64NP2X03A,Fiske og fangst,21554,13521,1666,9841
2018,A64NP2X03B,Akvakultur,81559,30386,6021,21148
2018,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",246231,49008,28665,11600
2018,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,164405,35348,22662,5821
2018,nr2312,¬¬ Bearbeiding og konservering av fisk mv,81826,13660,6003,5779
2018,nr23_6,Totalt for næringer,6058444,3304588,1617538,1064478
2018,pub2X03,"Fiske, fangst og akvakultur",103113,43907,7687,30989
2019,A64NP2X01,"Jordbruk, jakt og viltstell",39033,12740,5974,8617
2019,A64NP2X03A,Fiske og fangst,22325,14055,1801,10237
2019,A64NP2X03B,Akvakultur,87379,27492,6611,17115
2019,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",258211,51924,29617,13023
2019,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,169536,37144,23324,6715
2019,nr2312,¬¬ Bearbeiding og konservering av fisk mv,88675,14780,6293,6308
2019,nr23_6,Totalt for næringer,6231026,3334714,1709791,963342
2019,pub2X03,"Fiske, fangst og akvakultur",109704,41547,8412,27352
2020,A64NP2X01,"Jordbruk, jakt og viltstell",41408,14261,6069,10428
2020,A64NP2X03A,Fiske og fangst,23520,15074,1886,10931
2020,A64NP2X03B,Akvakultur,89055,25707,7398,13934
2020,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",271970,51400,30124,12092
2020,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,183281,39409,23390,9189
2020,nr2312,¬¬ Bearbeiding og konservering av fisk mv,88689,11991,6734,2903
2020,nr23_6,Totalt for næringer,6048018,3195302,1717410,784512
2020,pub2X03,"Fiske, fangst og akvakultur",112575,40781,9284,24865
2021,A64NP2X01,"Jordbruk, jakt og viltstell",44178,14925,6370,10480
2021,A64NP2X03A,Fiske og fangst,24564,15439,1958,11486
2021,A64NP2X03B,Akvakultur,96607,29008,8325,15706
2021,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",291308,49050,32176,7348
2021,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,197166,40037,24826,8430
2021,nr2312,¬¬ Bearbeiding og konservering av fisk mv,94142,9013,7350,-1082
2021,nr23_6,Totalt for næringer,7209413,4051026,1823167,1471980
2021,pub2X03,"Fiske, fangst og akvakultur",121171,44447,10283,27192
2022,A64NP2X01,"Jordbruk, jakt og viltstell",48985,16185,6783,13883
2022,A64NP2X03A,Fiske og fangst,30195,19418,2209,14497
2022,A64NP2X03B,Akvakultur,129993,47679,9571,32220
2022,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",333201,53764,33525,10470
2022,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,217850,39432,25603,7043
2022,nr2312,¬¬ Bearbeiding og konservering av fisk mv,115351,14332,7922,3427
2022,nr23_6,Totalt for næringer,9105030,5510086,1977308,2713422
2022,pub2X03,"Fiske, fangst og akvakultur",160188,67097,11780,46717
2023,A64NP2X01,"Jordbruk, jakt og viltstell",48279,13745,7158,12337
2023,A64NP2X03A,Fiske og fangst,31625,20031,2441,14854
2023,A64NP2X03B,Akvakultur,142296,46260,10872,28497
2023,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",360484,58954,35535,12573
2023,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,226547,41451,26775,7115
2023,nr2312,¬¬ Bearbeiding og konservering av fisk mv,133937,17503,8760,5458
2023,nr23_6,Totalt for næringer,8648130,4852002,2122968,1845050
2023,pub2X03,"Fiske, fangst og akvakultur",173921,66291,13313,43351
2024,A64NP2X01,"Jordbruk, jakt og viltstell",0,0,,
2024,A64NP2X03A,Fiske og fangst,0,0,,
2024,A64NP2X03B,Akvakultur,0,0,,
2024,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",0,0,,
2024,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,235274,45562,28464,9625
2024,nr2312,¬¬ Bearbeiding og konservering av fisk mv,142108,16673,9529,3386
2024,nr23_6,Totalt for næringer,8852568,4908169,2251709,1714278
2024,pub2X03,"Fiske, fangst og akvakultur",176269,63421,14576,38369
2025,A64NP2X01,"Jordbruk, jakt og viltstell",0,0,,
2025,A64NP2X03A,Fiske og fangst,0,0,,
2025,A64NP2X03B,Akvakultur,0,0,,
2025,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",0,0,,
2025,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,244129,46152,29929,8617
2025,nr2312,¬¬ Bearbeiding og konservering av fisk mv,153125,13118,10308,-1245
2025,nr23_6,Totalt for næringer,9150398,5029177,2359282,1683591
2025,pub2X03,"Fiske, fangst og akvakultur",186094,56890,15706,30186
