Year,SpeciesCode,Species,Tonnes,Value1000NOK
2016,82A,Regnbueørret,87853,3682122
2016,90,Skalldyr,2213,24542
2017,00,I alt,1308487,64992495
2017,07,Kveite,1623,172872
2017,80,Laks,1236354,61635011
2017,81A,Røye,342,22131
2017,82A,Regnbueørret,66999,3096100
2017,90,Skalldyr,2450,32773
2018,00,I alt,1354939,67843387
2018,07,Kveite,1842,181540
2018,80,Laks,1282003,64511293
2018,81A,Røye,288,20147
2018,82A,Regnbueørret,68345,3055167
2018,90,Skalldyr,1721,37731
2019,00,I alt,1452928,71734888
2019,07,Kveite,1525,154516
2019,80,Laks,1364044,67990034
2019,81A,Røye,519,30625
2019,82A,Regnbueørret,83489,3477349
2019,90,Skalldyr,2164,28665
