"næring (SN2007)","materialtype","år","statistikkvariabel","14457: Industriavfall. Generert mengde avfall (1 000 tonn),"
"Tekstil-, bekledning- og lærvareindustri","Betong og tegl","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Andre materialer","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Andre materialer","2022","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Blandet avfall","2015","Avfallsmengde",2
"Tekstil-, bekledning- og lærvareindustri","Blandet avfall","2022","Avfallsmengde",4
"Tekstil-, bekledning- og lærvareindustri","Lett forurensede masser","2015","Avfallsmengde",0
"Tekstil-, bekledning- og lærvareindustri","Lett forurensede masser","2022","Avfallsmengde",0
"Trelast- og trevareindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",37
"Trelast- og trevareindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",63
"Trelast- og trevareindustri","Våtorganisk avfall","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Våtorganisk avfall","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Park- og hageavfall","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Park- og hageavfall","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Treavfall","2015","Avfallsmengde",19
"Trelast- og trevareindustri","Treavfall","2022","Avfallsmengde",43
"Trelast- og trevareindustri","Organisk slam, tørrstoff","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Organisk slam, tørrstoff","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Papir, papp og kartong","2015","Avfallsmengde",1
"Trelast- og trevareindustri","Papir, papp og kartong","2022","Avfallsmengde",1
"Trelast- og trevareindustri","Glass","2015","Avfallsmengde",1
"Trelast- og trevareindustri","Glass","2022","Avfallsmengde",1
"Trelast- og trevareindustri","Metall","2015","Avfallsmengde",2
"Trelast- og trevareindustri","Metall","2022","Avfallsmengde",2
"Trelast- og trevareindustri","EE-avfall","2015","Avfallsmengde",0
"Trelast- og trevareindustri","EE-avfall","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Plast","2015","Avfallsmengde",1
"Trelast- og trevareindustri","Plast","2022","Avfallsmengde",1
"Trelast- og trevareindustri","Gummi","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Gummi","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Tekstiler","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Tekstiler","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Betong og tegl","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Betong og tegl","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",2
"Trelast- og trevareindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",1
"Trelast- og trevareindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Trelast- og trevareindustri","Andre materialer","2015","Avfallsmengde",2
"Trelast- og trevareindustri","Andre materialer","2022","Avfallsmengde",3
"Trelast- og trevareindustri","Blandet avfall","2015","Avfallsmengde",8
"Trelast- og trevareindustri","Blandet avfall","2022","Avfallsmengde",10
"Trelast- og trevareindustri","Lett forurensede masser","2015","Avfallsmengde",0
"Trelast- og trevareindustri","Lett forurensede masser","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","I alt, uten lett forurensede masser","2015","Avfallsmengde",118
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","I alt, uten lett forurensede masser","2022","Avfallsmengde",161
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Våtorganisk avfall","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Våtorganisk avfall","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Park- og hageavfall","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Park- og hageavfall","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Treavfall","2015","Avfallsmengde",6
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Treavfall","2022","Avfallsmengde",1
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Organisk slam, tørrstoff","2015","Avfallsmengde",17
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Organisk slam, tørrstoff","2022","Avfallsmengde",78
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Papir, papp og kartong","2015","Avfallsmengde",48
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Papir, papp og kartong","2022","Avfallsmengde",45
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Glass","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Glass","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Metall","2015","Avfallsmengde",2
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Metall","2022","Avfallsmengde",3
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","EE-avfall","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","EE-avfall","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Plast","2015","Avfallsmengde",2
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Plast","2022","Avfallsmengde",2
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Gummi","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Gummi","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Tekstiler","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Tekstiler","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Betong og tegl","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Betong og tegl","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",33
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",19
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Andre materialer","2015","Avfallsmengde",1
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Andre materialer","2022","Avfallsmengde",3
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Blandet avfall","2015","Avfallsmengde",7
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Blandet avfall","2022","Avfallsmengde",10
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Lett forurensede masser","2015","Avfallsmengde",0
"Produksjon av papir og papirprodukter, utskrift og reproduksjon av innspilte medier","Lett forurensede masser","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",4
"Petroleums- og kullvareindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",15
"Petroleums- og kullvareindustri","Våtorganisk avfall","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Våtorganisk avfall","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Park- og hageavfall","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Park- og hageavfall","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Treavfall","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Treavfall","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Organisk slam, tørrstoff","2015","Avfallsmengde",1
"Petroleums- og kullvareindustri","Organisk slam, tørrstoff","2022","Avfallsmengde",3
"Petroleums- og kullvareindustri","Papir, papp og kartong","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Papir, papp og kartong","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Glass","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Glass","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Metall","2015","Avfallsmengde",2
"Petroleums- og kullvareindustri","Metall","2022","Avfallsmengde",1
"Petroleums- og kullvareindustri","EE-avfall","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","EE-avfall","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Plast","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Plast","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Gummi","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Gummi","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Tekstiler","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Tekstiler","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Betong og tegl","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Betong og tegl","2022","Avfallsmengde",1
"Petroleums- og kullvareindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",6
"Petroleums- og kullvareindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Petroleums- og kullvareindustri","Andre materialer","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Andre materialer","2022","Avfallsmengde",3
"Petroleums- og kullvareindustri","Blandet avfall","2015","Avfallsmengde",1
