"næring (SN2007)","materialtype","år","statistikkvariabel","14457: Industriavfall. Generert mengde avfall (1 000 tonn),"
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Papir, papp og kartong","2015","Avfallsmengde",16
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Papir, papp og kartong","2022","Avfallsmengde",5
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Glass","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Glass","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Metall","2015","Avfallsmengde",59
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Metall","2022","Avfallsmengde",46
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","EE-avfall","2015","Avfallsmengde",3
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","EE-avfall","2022","Avfallsmengde",3
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Plast","2015","Avfallsmengde",2
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Plast","2022","Avfallsmengde",2
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Gummi","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Gummi","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Tekstiler","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Tekstiler","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Betong og tegl","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Betong og tegl","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",1
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Andre materialer","2015","Avfallsmengde",25
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Andre materialer","2022","Avfallsmengde",13
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Blandet avfall","2015","Avfallsmengde",37
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Blandet avfall","2022","Avfallsmengde",23
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Lett forurensede masser","2015","Avfallsmengde",1
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Lett forurensede masser","2022","Avfallsmengde",4
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","I alt, uten lett forurensede masser","2015","Avfallsmengde",31
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","I alt, uten lett forurensede masser","2022","Avfallsmengde",58
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Våtorganisk avfall","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Våtorganisk avfall","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Park- og hageavfall","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Park- og hageavfall","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Treavfall","2015","Avfallsmengde",6
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Treavfall","2022","Avfallsmengde",5
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Organisk slam, tørrstoff","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Organisk slam, tørrstoff","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Papir, papp og kartong","2015","Avfallsmengde",2
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Papir, papp og kartong","2022","Avfallsmengde",5
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Glass","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Glass","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Metall","2015","Avfallsmengde",6
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Metall","2022","Avfallsmengde",15
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","EE-avfall","2015","Avfallsmengde",1
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","EE-avfall","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Plast","2015","Avfallsmengde",1
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Plast","2022","Avfallsmengde",1
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Gummi","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Gummi","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Tekstiler","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Tekstiler","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Betong og tegl","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Betong og tegl","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Uorganisk slam, tørrstoff","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Uorganisk slam, tørrstoff","2022","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Andre materialer","2015","Avfallsmengde",4
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Andre materialer","2022","Avfallsmengde",2
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Blandet avfall","2015","Avfallsmengde",10
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Blandet avfall","2022","Avfallsmengde",29
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Lett forurensede masser","2015","Avfallsmengde",0
"Produksjon av møbler, smykker, musikkinstrumenter, leker: reparasjon og installasjon av maskineri og utstyr","Lett forurensede masser","2022","Avfallsmengde",0
