Year,NACECode,Industry,Employed1000
2015,00-99,Alle næringer,2639
2015,01-03,"Jordbruk, skogbruk og fiske",57
2015,05-09,Bergverksdrift og utvinning,66
2015,10-33,Industri,224
2015,35-39,"Elektrisitet, vann og renovasjon",27
2015,41-43,Bygge- og anleggsvirksomhet,208
2015,45-47,"Varehandel, reparasjon av motorvogner",356
2015,49-53,Transport og lagring,145
2015,55-56,Overnattings- og serveringsvirksomhet,80
2015,58-63,Informasjon og kommunikasjon,95
2015,64-66,Finansiering og forsikring,51
2015,68-75,"Teknisk tjenesteyting, eiendomsdrift",178
2015,77-82,Forretningsmessig tjenesteyting,123
2015,84,"Off.adm., forsvar, sosialforsikring",166
2015,85,Undervisning,222
2015,86-88,Helse- og sosialtjenester,523
2015,90-99,Personlig tjenesteyting,112
2016,00,Uoppgitt,8
2016,00-99,Alle næringer,2638
2016,01-03,"Jordbruk, skogbruk og fiske",56
2016,05-09,Bergverksdrift og utvinning,54
2016,10-33,Industri,212
2016,35-39,"Elektrisitet, vann og renovasjon",29
2016,41-43,Bygge- og anleggsvirksomhet,204
2016,45-47,"Varehandel, reparasjon av motorvogner",363
2016,49-53,Transport og lagring,141
2016,55-56,Overnattings- og serveringsvirksomhet,75
2016,58-63,Informasjon og kommunikasjon,97
2016,64-66,Finansiering og forsikring,46
2016,68-75,"Teknisk tjenesteyting, eiendomsdrift",179
2016,77-82,Forretningsmessig tjenesteyting,121
2016,84,"Off.adm., forsvar, sosialforsikring",177
2016,85,Undervisning,225
2016,86-88,Helse- og sosialtjenester,539
2016,90-99,Personlig tjenesteyting,112
2017,00,Uoppgitt,7
2017,00-99,Alle næringer,2647
2017,01-03,"Jordbruk, skogbruk og fiske",56
2017,05-09,Bergverksdrift og utvinning,53
2017,10-33,Industri,210
2017,35-39,"Elektrisitet, vann og renovasjon",32
2017,41-43,Bygge- og anleggsvirksomhet,210
2017,45-47,"Varehandel, reparasjon av motorvogner",358
2017,49-53,Transport og lagring,134
2017,55-56,Overnattings- og serveringsvirksomhet,82
2017,58-63,Informasjon og kommunikasjon,100
2017,64-66,Finansiering og forsikring,50
2017,68-75,"Teknisk tjenesteyting, eiendomsdrift",177
2017,77-82,Forretningsmessig tjenesteyting,122
2017,84,"Off.adm., forsvar, sosialforsikring",183
2017,85,Undervisning,219
2017,86-88,Helse- og sosialtjenester,540
2017,90-99,Personlig tjenesteyting,114
2018,00-99,Alle næringer,2694
2018,01-03,"Jordbruk, skogbruk og fiske",56
2018,05-09,Bergverksdrift og utvinning,62
2018,10-33,Industri,207
2018,35-39,"Elektrisitet, vann og renovasjon",31
2018,41-43,Bygge- og anleggsvirksomhet,220
2018,45-47,"Varehandel, reparasjon av motorvogner",350
2018,49-53,Transport og lagring,127
2018,55-56,Overnattings- og serveringsvirksomhet,90
2018,58-63,Informasjon og kommunikasjon,103
2018,64-66,Finansiering og forsikring,54
2018,68-75,"Teknisk tjenesteyting, eiendomsdrift",186
2018,77-82,Forretningsmessig tjenesteyting,132
2018,84,"Off.adm., forsvar, sosialforsikring",183
2018,85,Undervisning,222
2018,86-88,Helse- og sosialtjenester,549
2018,90-99,Personlig tjenesteyting,120
2019,00,Uoppgitt,4
2019,00-99,Alle næringer,2724
2019,01-03,"Jordbruk, skogbruk og fiske",55
2019,05-09,Bergverksdrift og utvinning,61
2019,10-33,Industri,209
2019,35-39,"Elektrisitet, vann og renovasjon",29
2019,41-43,Bygge- og anleggsvirksomhet,226
2019,45-47,"Varehandel, reparasjon av motorvogner",357
2019,49-53,Transport og lagring,125
2019,55-56,Overnattings- og serveringsvirksomhet,93
2019,58-63,Informasjon og kommunikasjon,107
2019,64-66,Finansiering og forsikring,50
2019,68-75,"Teknisk tjenesteyting, eiendomsdrift",187
2019,77-82,Forretningsmessig tjenesteyting,134
2019,84,"Off.adm., forsvar, sosialforsikring",175
2019,85,Undervisning,230
2019,86-88,Helse- og sosialtjenester,562
2019,90-99,Personlig tjenesteyting,121
2020,00,Uoppgitt,4
2020,00-99,Alle næringer,2710
2020,01-03,"Jordbruk, skogbruk og fiske",57
2020,05-09,Bergverksdrift og utvinning,62
2020,10-33,Industri,206
2020,35-39,"Elektrisitet, vann og renovasjon",30
2020,41-43,Bygge- og anleggsvirksomhet,225
2020,45-47,"Varehandel, reparasjon av motorvogner",349
2020,49-53,Transport og lagring,127
2020,55-56,Overnattings- og serveringsvirksomhet,85
2020,58-63,Informasjon og kommunikasjon,110
2020,64-66,Finansiering og forsikring,50
2020,68-75,"Teknisk tjenesteyting, eiendomsdrift",189
2020,77-82,Forretningsmessig tjenesteyting,127
2020,84,"Off.adm., forsvar, sosialforsikring",172
2020,85,Undervisning,229
2020,86-88,Helse- og sosialtjenester,565
2020,90-99,Personlig tjenesteyting,123
2021,00,Uoppgitt,0
2021,00-99,Alle næringer,2774
2021,01-03,"Jordbruk, skogbruk og fiske",63
2021,05-09,Bergverksdrift og utvinning,64
2021,10-33,Industri,201
2021,35-39,"Elektrisitet, vann og renovasjon",36
2021,41-43,Bygge- og anleggsvirksomhet,229
2021,45-47,"Varehandel, reparasjon av motorvogner",351
2021,49-53,Transport og lagring,127
2021,55-56,Overnattings- og serveringsvirksomhet,87
2021,58-63,Informasjon og kommunikasjon,118
2021,64-66,Finansiering og forsikring,54
2021,68-75,"Teknisk tjenesteyting, eiendomsdrift",199
2021,77-82,Forretningsmessig tjenesteyting,128
2021,84,"Off.adm., forsvar, sosialforsikring",177
2021,85,Undervisning,237
2021,86-88,Helse- og sosialtjenester,574
2021,90-99,Personlig tjenesteyting,117
2022,00,Uoppgitt,0
2022,00-99,Alle næringer,2849
2022,01-03,"Jordbruk, skogbruk og fiske",62
2022,05-09,Bergverksdrift og utvinning,70
2022,10-33,Industri,207
2022,35-39,"Elektrisitet, vann og renovasjon",36
2022,41-43,Bygge- og anleggsvirksomhet,235
2022,45-47,"Varehandel, reparasjon av motorvogner",346
2022,49-53,Transport og lagring,136
2022,55-56,Overnattings- og serveringsvirksomhet,110
2022,58-63,Informasjon og kommunikasjon,124
