"kilde","materialtype","år","statistikkvariabel","10514: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallskilder i alt","Papir, papp og kartong","2024","Avfallsmengde",614
"Avfallskilder i alt","Glass","2012","Avfallsmengde",102
"Avfallskilder i alt","Glass","2013","Avfallsmengde",120
"Avfallskilder i alt","Glass","2014","Avfallsmengde",101
"Avfallskilder i alt","Glass","2015","Avfallsmengde",119
"Avfallskilder i alt","Glass","2016","Avfallsmengde",124
"Avfallskilder i alt","Glass","2017","Avfallsmengde",134
"Avfallskilder i alt","Glass","2018","Avfallsmengde",144
"Avfallskilder i alt","Glass","2019","Avfallsmengde",145
"Avfallskilder i alt","Glass","2020","Avfallsmengde",117
"Avfallskilder i alt","Glass","2021","Avfallsmengde",150
"Avfallskilder i alt","Glass","2022","Avfallsmengde",142
"Avfallskilder i alt","Glass","2023","Avfallsmengde",145
"Avfallskilder i alt","Glass","2024","Avfallsmengde",145
"Avfallskilder i alt","Metall","2012","Avfallsmengde",875
"Avfallskilder i alt","Metall","2013","Avfallsmengde",751
"Avfallskilder i alt","Metall","2014","Avfallsmengde",815
"Avfallskilder i alt","Metall","2015","Avfallsmengde",786
"Avfallskilder i alt","Metall","2016","Avfallsmengde",804
"Avfallskilder i alt","Metall","2017","Avfallsmengde",804
"Avfallskilder i alt","Metall","2018","Avfallsmengde",858
"Avfallskilder i alt","Metall","2019","Avfallsmengde",592
"Avfallskilder i alt","Metall","2020","Avfallsmengde",571
"Avfallskilder i alt","Metall","2021","Avfallsmengde",584
"Avfallskilder i alt","Metall","2022","Avfallsmengde",587
"Avfallskilder i alt","Metall","2023","Avfallsmengde",533
"Avfallskilder i alt","Metall","2024","Avfallsmengde",564
"Avfallskilder i alt","EE-avfall","2012","Avfallsmengde",143
"Avfallskilder i alt","EE-avfall","2013","Avfallsmengde",145
"Avfallskilder i alt","EE-avfall","2014","Avfallsmengde",152
"Avfallskilder i alt","EE-avfall","2015","Avfallsmengde",141
"Avfallskilder i alt","EE-avfall","2016","Avfallsmengde",147
"Avfallskilder i alt","EE-avfall","2017","Avfallsmengde",142
"Avfallskilder i alt","EE-avfall","2018","Avfallsmengde",129
"Avfallskilder i alt","EE-avfall","2019","Avfallsmengde",139
"Avfallskilder i alt","EE-avfall","2020","Avfallsmengde",146
"Avfallskilder i alt","EE-avfall","2021","Avfallsmengde",145
"Avfallskilder i alt","EE-avfall","2022","Avfallsmengde",146
"Avfallskilder i alt","EE-avfall","2023","Avfallsmengde",147
"Avfallskilder i alt","EE-avfall","2024","Avfallsmengde",148
"Avfallskilder i alt","Betong og tegl","2012","Avfallsmengde",849
"Avfallskilder i alt","Betong og tegl","2013","Avfallsmengde",810
"Avfallskilder i alt","Betong og tegl","2014","Avfallsmengde",904
"Avfallskilder i alt","Betong og tegl","2015","Avfallsmengde",893
"Avfallskilder i alt","Betong og tegl","2016","Avfallsmengde",989
"Avfallskilder i alt","Betong og tegl","2017","Avfallsmengde",1074
"Avfallskilder i alt","Betong og tegl","2018","Avfallsmengde",1169
"Avfallskilder i alt","Betong og tegl","2019","Avfallsmengde",1474
"Avfallskilder i alt","Betong og tegl","2020","Avfallsmengde",1467
"Avfallskilder i alt","Betong og tegl","2021","Avfallsmengde",1239
"Avfallskilder i alt","Betong og tegl","2022","Avfallsmengde",1330
"Avfallskilder i alt","Betong og tegl","2023","Avfallsmengde",1171
"Avfallskilder i alt","Betong og tegl","2024","Avfallsmengde",1065
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2012","Avfallsmengde",570
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2013","Avfallsmengde",677
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2014","Avfallsmengde",607
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",667
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2016","Avfallsmengde",513
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2017","Avfallsmengde",670
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2018","Avfallsmengde",647
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2019","Avfallsmengde",742
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2020","Avfallsmengde",639
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2021","Avfallsmengde",648
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",582
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2023","Avfallsmengde",510
"Avfallskilder i alt","Slagg, støv, bunnaske, flygeaske","2024","Avfallsmengde",430
"Avfallskilder i alt","Plast","2012","Avfallsmengde",251
"Avfallskilder i alt","Plast","2013","Avfallsmengde",235
"Avfallskilder i alt","Plast","2014","Avfallsmengde",240
"Avfallskilder i alt","Plast","2015","Avfallsmengde",263
"Avfallskilder i alt","Plast","2016","Avfallsmengde",244
"Avfallskilder i alt","Plast","2017","Avfallsmengde",239
"Avfallskilder i alt","Plast","2018","Avfallsmengde",276
"Avfallskilder i alt","Plast","2019","Avfallsmengde",290
"Avfallskilder i alt","Plast","2020","Avfallsmengde",255
"Avfallskilder i alt","Plast","2021","Avfallsmengde",248
"Avfallskilder i alt","Plast","2022","Avfallsmengde",157
"Avfallskilder i alt","Plast","2023","Avfallsmengde",160
"Avfallskilder i alt","Plast","2024","Avfallsmengde",168
"Avfallskilder i alt","Gummi","2012","Avfallsmengde",61
"Avfallskilder i alt","Gummi","2013","Avfallsmengde",56
"Avfallskilder i alt","Gummi","2014","Avfallsmengde",53
"Avfallskilder i alt","Gummi","2015","Avfallsmengde",57
"Avfallskilder i alt","Gummi","2016","Avfallsmengde",58
"Avfallskilder i alt","Gummi","2017","Avfallsmengde",59
"Avfallskilder i alt","Gummi","2018","Avfallsmengde",62
"Avfallskilder i alt","Gummi","2019","Avfallsmengde",67
"Avfallskilder i alt","Gummi","2020","Avfallsmengde",43
"Avfallskilder i alt","Gummi","2021","Avfallsmengde",50
"Avfallskilder i alt","Gummi","2022","Avfallsmengde",23
"Avfallskilder i alt","Gummi","2023","Avfallsmengde",22
"Avfallskilder i alt","Gummi","2024","Avfallsmengde",19
"Avfallskilder i alt","Tekstiler","2012","Avfallsmengde",4
"Avfallskilder i alt","Tekstiler","2013","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2014","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2015","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2016","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2017","Avfallsmengde",4
"Avfallskilder i alt","Tekstiler","2018","Avfallsmengde",6
"Avfallskilder i alt","Tekstiler","2019","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2020","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2021","Avfallsmengde",4
"Avfallskilder i alt","Tekstiler","2022","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2023","Avfallsmengde",3
"Avfallskilder i alt","Tekstiler","2024","Avfallsmengde",4
"Avfallskilder i alt","Kasserte kjøretøy","2012","Avfallsmengde",196
"Avfallskilder i alt","Kasserte kjøretøy","2013","Avfallsmengde",233
"Avfallskilder i alt","Kasserte kjøretøy","2014","Avfallsmengde",228
"Avfallskilder i alt","Kasserte kjøretøy","2015","Avfallsmengde",213
"Avfallskilder i alt","Kasserte kjøretøy","2016","Avfallsmengde",216
"Avfallskilder i alt","Kasserte kjøretøy","2017","Avfallsmengde",228
"Avfallskilder i alt","Kasserte kjøretøy","2018","Avfallsmengde",231
"Avfallskilder i alt","Kasserte kjøretøy","2019","Avfallsmengde",236
"Avfallskilder i alt","Kasserte kjøretøy","2020","Avfallsmengde",212
"Avfallskilder i alt","Kasserte kjøretøy","2021","Avfallsmengde",251
"Avfallskilder i alt","Kasserte kjøretøy","2022","Avfallsmengde",201
"Avfallskilder i alt","Kasserte kjøretøy","2023","Avfallsmengde",193
"Avfallskilder i alt","Kasserte kjøretøy","2024","Avfallsmengde",148
"Avfallskilder i alt","Radioaktivt avfall","2012","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2013","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2014","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2015","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2016","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2017","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2018","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2019","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2020","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2021","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2022","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2023","Avfallsmengde",0
"Avfallskilder i alt","Radioaktivt avfall","2024","Avfallsmengde",0
"Avfallskilder i alt","Farlig avfall","2012","Avfallsmengde",1207
"Avfallskilder i alt","Farlig avfall","2013","Avfallsmengde",1248
"Avfallskilder i alt","Farlig avfall","2014","Avfallsmengde",1359
"Avfallskilder i alt","Farlig avfall","2015","Avfallsmengde",1422
"Avfallskilder i alt","Farlig avfall","2016","Avfallsmengde",1482
"Avfallskilder i alt","Farlig avfall","2017","Avfallsmengde",1654
"Avfallskilder i alt","Farlig avfall","2018","Avfallsmengde",1549
"Avfallskilder i alt","Farlig avfall","2019","Avfallsmengde",1615
"Avfallskilder i alt","Farlig avfall","2020","Avfallsmengde",1748
"Avfallskilder i alt","Farlig avfall","2021","Avfallsmengde",1828
"Avfallskilder i alt","Farlig avfall","2022","Avfallsmengde",1876
"Avfallskilder i alt","Farlig avfall","2023","Avfallsmengde",1680
"Avfallskilder i alt","Farlig avfall","2024","Avfallsmengde",1696
"Avfallskilder i alt","Blandet avfall","2012","Avfallsmengde",2743
"Avfallskilder i alt","Blandet avfall","2013","Avfallsmengde",2735
"Avfallskilder i alt","Blandet avfall","2014","Avfallsmengde",2807
"Avfallskilder i alt","Blandet avfall","2015","Avfallsmengde",2739
"Avfallskilder i alt","Blandet avfall","2016","Avfallsmengde",2958
"Avfallskilder i alt","Blandet avfall","2017","Avfallsmengde",2878
"Avfallskilder i alt","Blandet avfall","2018","Avfallsmengde",2762
"Avfallskilder i alt","Blandet avfall","2019","Avfallsmengde",2717
"Avfallskilder i alt","Blandet avfall","2020","Avfallsmengde",2418
"Avfallskilder i alt","Blandet avfall","2021","Avfallsmengde",2525
"Avfallskilder i alt","Blandet avfall","2022","Avfallsmengde",2742
"Avfallskilder i alt","Blandet avfall","2023","Avfallsmengde",2711
"Avfallskilder i alt","Blandet avfall","2024","Avfallsmengde",2555
"Avfallskilder i alt","Andre materialer","2012","Avfallsmengde",1082
"Avfallskilder i alt","Andre materialer","2013","Avfallsmengde",991
"Avfallskilder i alt","Andre materialer","2014","Avfallsmengde",1135
"Avfallskilder i alt","Andre materialer","2015","Avfallsmengde",1295
"Avfallskilder i alt","Andre materialer","2016","Avfallsmengde",1487
"Avfallskilder i alt","Andre materialer","2017","Avfallsmengde",1489
"Avfallskilder i alt","Andre materialer","2018","Avfallsmengde",1427
"Avfallskilder i alt","Andre materialer","2019","Avfallsmengde",1580
"Avfallskilder i alt","Andre materialer","2020","Avfallsmengde",1579
"Avfallskilder i alt","Andre materialer","2021","Avfallsmengde",1543
"Avfallskilder i alt","Andre materialer","2022","Avfallsmengde",1549
"Avfallskilder i alt","Andre materialer","2023","Avfallsmengde",1402
"Avfallskilder i alt","Andre materialer","2024","Avfallsmengde",1479
"Avfallskilder i alt","Lett forurensede masser","2012","Avfallsmengde",2004
"Avfallskilder i alt","Lett forurensede masser","2013","Avfallsmengde",1389
"Avfallskilder i alt","Lett forurensede masser","2014","Avfallsmengde",1481
"Avfallskilder i alt","Lett forurensede masser","2015","Avfallsmengde",1899
"Avfallskilder i alt","Lett forurensede masser","2016","Avfallsmengde",2262
"Avfallskilder i alt","Lett forurensede masser","2017","Avfallsmengde",2841
"Avfallskilder i alt","Lett forurensede masser","2018","Avfallsmengde",2593
"Avfallskilder i alt","Lett forurensede masser","2019","Avfallsmengde",2758
"Avfallskilder i alt","Lett forurensede masser","2020","Avfallsmengde",2692
"Avfallskilder i alt","Lett forurensede masser","2021","Avfallsmengde",3081
"Avfallskilder i alt","Lett forurensede masser","2022","Avfallsmengde",2320
"Avfallskilder i alt","Lett forurensede masser","2023","Avfallsmengde",2297
"Avfallskilder i alt","Lett forurensede masser","2024","Avfallsmengde",2511
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2012","Avfallsmengde",155
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2013","Avfallsmengde",151
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2014","Avfallsmengde",154
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2015","Avfallsmengde",142
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2016","Avfallsmengde",135
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2017","Avfallsmengde",143
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2018","Avfallsmengde",155
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2019","Avfallsmengde",154
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2020","Avfallsmengde",156
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2021","Avfallsmengde",143
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2022","Avfallsmengde",147
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2023","Avfallsmengde",153
"Jord-, skogbruk og fiske","I alt, uten lett forurensede masser","2024","Avfallsmengde",137
"Jord-, skogbruk og fiske","Våtorganisk avfall","2012","Avfallsmengde",50
"Jord-, skogbruk og fiske","Våtorganisk avfall","2013","Avfallsmengde",48
"Jord-, skogbruk og fiske","Våtorganisk avfall","2014","Avfallsmengde",48
"Jord-, skogbruk og fiske","Våtorganisk avfall","2015","Avfallsmengde",44
"Jord-, skogbruk og fiske","Våtorganisk avfall","2016","Avfallsmengde",43
"Jord-, skogbruk og fiske","Våtorganisk avfall","2017","Avfallsmengde",44
"Jord-, skogbruk og fiske","Våtorganisk avfall","2018","Avfallsmengde",45
"Jord-, skogbruk og fiske","Våtorganisk avfall","2019","Avfallsmengde",45
"Jord-, skogbruk og fiske","Våtorganisk avfall","2020","Avfallsmengde",46
"Jord-, skogbruk og fiske","Våtorganisk avfall","2021","Avfallsmengde",45
"Jord-, skogbruk og fiske","Våtorganisk avfall","2022","Avfallsmengde",46
"Jord-, skogbruk og fiske","Våtorganisk avfall","2023","Avfallsmengde",47
"Jord-, skogbruk og fiske","Våtorganisk avfall","2024","Avfallsmengde",47
"Jord-, skogbruk og fiske","Park- og hageavfall","2012","Avfallsmengde",11
"Jord-, skogbruk og fiske","Park- og hageavfall","2013","Avfallsmengde",9
"Jord-, skogbruk og fiske","Park- og hageavfall","2014","Avfallsmengde",9
"Jord-, skogbruk og fiske","Park- og hageavfall","2015","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2016","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2017","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2018","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2019","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2020","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2021","Avfallsmengde",8
"Jord-, skogbruk og fiske","Park- og hageavfall","2022","Avfallsmengde",9
"Jord-, skogbruk og fiske","Park- og hageavfall","2023","Avfallsmengde",9
"Jord-, skogbruk og fiske","Park- og hageavfall","2024","Avfallsmengde",9
"Jord-, skogbruk og fiske","Treavfall","2012","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2013","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2014","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2015","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2016","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2017","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2018","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2019","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2020","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2021","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2022","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2023","Avfallsmengde",1
"Jord-, skogbruk og fiske","Treavfall","2024","Avfallsmengde",1
"Jord-, skogbruk og fiske","Slam","2012","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2013","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2014","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2015","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2016","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2017","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2018","Avfallsmengde",0
