"kilde","materialtype","år","statistikkvariabel","10514: Avfallsregnskap for Norge (1 000 tonn),"
"Bergverk og utvinning","Tekstiler","2019","Avfallsmengde",0
"Bergverk og utvinning","Tekstiler","2020","Avfallsmengde",0
"Bergverk og utvinning","Tekstiler","2021","Avfallsmengde",0
"Bergverk og utvinning","Tekstiler","2022","Avfallsmengde",0
"Bergverk og utvinning","Tekstiler","2023","Avfallsmengde",0
"Bergverk og utvinning","Tekstiler","2024","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2012","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2013","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2014","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2015","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2016","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2017","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2018","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2019","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2020","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2021","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2022","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2023","Avfallsmengde",0
"Bergverk og utvinning","Kasserte kjøretøy","2024","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2012","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2013","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2014","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2015","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2016","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2017","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2018","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2019","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2020","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2021","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2022","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2023","Avfallsmengde",0
"Bergverk og utvinning","Radioaktivt avfall","2024","Avfallsmengde",0
"Bergverk og utvinning","Farlig avfall","2012","Avfallsmengde",455
"Bergverk og utvinning","Farlig avfall","2013","Avfallsmengde",362
"Bergverk og utvinning","Farlig avfall","2014","Avfallsmengde",343
"Bergverk og utvinning","Farlig avfall","2015","Avfallsmengde",326
"Bergverk og utvinning","Farlig avfall","2016","Avfallsmengde",381
"Bergverk og utvinning","Farlig avfall","2017","Avfallsmengde",272
"Bergverk og utvinning","Farlig avfall","2018","Avfallsmengde",297
"Bergverk og utvinning","Farlig avfall","2019","Avfallsmengde",266
"Bergverk og utvinning","Farlig avfall","2020","Avfallsmengde",329
"Bergverk og utvinning","Farlig avfall","2021","Avfallsmengde",290
"Bergverk og utvinning","Farlig avfall","2022","Avfallsmengde",368
"Bergverk og utvinning","Farlig avfall","2023","Avfallsmengde",318
"Bergverk og utvinning","Farlig avfall","2024","Avfallsmengde",281
"Bergverk og utvinning","Blandet avfall","2012","Avfallsmengde",3
"Bergverk og utvinning","Blandet avfall","2013","Avfallsmengde",3
"Bergverk og utvinning","Blandet avfall","2014","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2015","Avfallsmengde",4
"Bergverk og utvinning","Blandet avfall","2016","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2017","Avfallsmengde",3
"Bergverk og utvinning","Blandet avfall","2018","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2019","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2020","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2021","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2022","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2023","Avfallsmengde",2
"Bergverk og utvinning","Blandet avfall","2024","Avfallsmengde",2
"Bergverk og utvinning","Andre materialer","2012","Avfallsmengde",7
"Bergverk og utvinning","Andre materialer","2013","Avfallsmengde",7
"Bergverk og utvinning","Andre materialer","2014","Avfallsmengde",3
"Bergverk og utvinning","Andre materialer","2015","Avfallsmengde",5
"Bergverk og utvinning","Andre materialer","2016","Avfallsmengde",5
"Bergverk og utvinning","Andre materialer","2017","Avfallsmengde",3
"Bergverk og utvinning","Andre materialer","2018","Avfallsmengde",5
"Bergverk og utvinning","Andre materialer","2019","Avfallsmengde",2
"Bergverk og utvinning","Andre materialer","2020","Avfallsmengde",3
"Bergverk og utvinning","Andre materialer","2021","Avfallsmengde",5
"Bergverk og utvinning","Andre materialer","2022","Avfallsmengde",4
"Bergverk og utvinning","Andre materialer","2023","Avfallsmengde",5
"Bergverk og utvinning","Andre materialer","2024","Avfallsmengde",2
"Bergverk og utvinning","Lett forurensede masser","2012","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2013","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2014","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2015","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2016","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2017","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2018","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2019","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2020","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2021","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2022","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2023","Avfallsmengde",0
"Bergverk og utvinning","Lett forurensede masser","2024","Avfallsmengde",0
"Industri","I alt, uten lett forurensede masser","2012","Avfallsmengde",1404
"Industri","I alt, uten lett forurensede masser","2013","Avfallsmengde",1441
"Industri","I alt, uten lett forurensede masser","2014","Avfallsmengde",1528
"Industri","I alt, uten lett forurensede masser","2015","Avfallsmengde",1434
"Industri","I alt, uten lett forurensede masser","2016","Avfallsmengde",1499
"Industri","I alt, uten lett forurensede masser","2017","Avfallsmengde",1764
"Industri","I alt, uten lett forurensede masser","2018","Avfallsmengde",1707
"Industri","I alt, uten lett forurensede masser","2019","Avfallsmengde",1876
"Industri","I alt, uten lett forurensede masser","2020","Avfallsmengde",1815
"Industri","I alt, uten lett forurensede masser","2021","Avfallsmengde",1753
"Industri","I alt, uten lett forurensede masser","2022","Avfallsmengde",2110
"Industri","I alt, uten lett forurensede masser","2023","Avfallsmengde",1929
"Industri","I alt, uten lett forurensede masser","2024","Avfallsmengde",1911
"Industri","Våtorganisk avfall","2012","Avfallsmengde",87
"Industri","Våtorganisk avfall","2013","Avfallsmengde",67
"Industri","Våtorganisk avfall","2014","Avfallsmengde",94
"Industri","Våtorganisk avfall","2015","Avfallsmengde",117
"Industri","Våtorganisk avfall","2016","Avfallsmengde",49
"Industri","Våtorganisk avfall","2017","Avfallsmengde",114
"Industri","Våtorganisk avfall","2018","Avfallsmengde",141
"Industri","Våtorganisk avfall","2019","Avfallsmengde",204
"Industri","Våtorganisk avfall","2020","Avfallsmengde",129
"Industri","Våtorganisk avfall","2021","Avfallsmengde",98
"Industri","Våtorganisk avfall","2022","Avfallsmengde",92
"Industri","Våtorganisk avfall","2023","Avfallsmengde",122
"Industri","Våtorganisk avfall","2024","Avfallsmengde",74
"Industri","Park- og hageavfall","2012","Avfallsmengde",0
"Industri","Park- og hageavfall","2013","Avfallsmengde",0
"Industri","Park- og hageavfall","2014","Avfallsmengde",0
"Industri","Park- og hageavfall","2015","Avfallsmengde",0
"Industri","Park- og hageavfall","2016","Avfallsmengde",0
"Industri","Park- og hageavfall","2017","Avfallsmengde",0
"Industri","Park- og hageavfall","2018","Avfallsmengde",0
"Industri","Park- og hageavfall","2019","Avfallsmengde",0
"Industri","Park- og hageavfall","2020","Avfallsmengde",0
"Industri","Park- og hageavfall","2021","Avfallsmengde",0
"Industri","Park- og hageavfall","2022","Avfallsmengde",3
"Industri","Park- og hageavfall","2023","Avfallsmengde",3
"Industri","Park- og hageavfall","2024","Avfallsmengde",3
"Industri","Treavfall","2012","Avfallsmengde",71
"Industri","Treavfall","2013","Avfallsmengde",77
"Industri","Treavfall","2014","Avfallsmengde",69
"Industri","Treavfall","2015","Avfallsmengde",66
"Industri","Treavfall","2016","Avfallsmengde",92
"Industri","Treavfall","2017","Avfallsmengde",78
"Industri","Treavfall","2018","Avfallsmengde",74
"Industri","Treavfall","2019","Avfallsmengde",124
"Industri","Treavfall","2020","Avfallsmengde",106
"Industri","Treavfall","2021","Avfallsmengde",109
"Industri","Treavfall","2022","Avfallsmengde",126
"Industri","Treavfall","2023","Avfallsmengde",116
"Industri","Treavfall","2024","Avfallsmengde",113
"Industri","Slam","2012","Avfallsmengde",77
"Industri","Slam","2013","Avfallsmengde",78
"Industri","Slam","2014","Avfallsmengde",81
"Industri","Slam","2015","Avfallsmengde",80
"Industri","Slam","2016","Avfallsmengde",75
"Industri","Slam","2017","Avfallsmengde",81
"Industri","Slam","2018","Avfallsmengde",68
"Industri","Slam","2019","Avfallsmengde",88
"Industri","Slam","2020","Avfallsmengde",81
"Industri","Slam","2021","Avfallsmengde",69
"Industri","Slam","2022","Avfallsmengde",158
"Industri","Slam","2023","Avfallsmengde",115
"Industri","Slam","2024","Avfallsmengde",148
"Industri","Papir, papp og kartong","2012","Avfallsmengde",80
"Industri","Papir, papp og kartong","2013","Avfallsmengde",77
"Industri","Papir, papp og kartong","2014","Avfallsmengde",87
"Industri","Papir, papp og kartong","2015","Avfallsmengde",88
"Industri","Papir, papp og kartong","2016","Avfallsmengde",94
"Industri","Papir, papp og kartong","2017","Avfallsmengde",92
"Industri","Papir, papp og kartong","2018","Avfallsmengde",96
"Industri","Papir, papp og kartong","2019","Avfallsmengde",98
"Industri","Papir, papp og kartong","2020","Avfallsmengde",83
"Industri","Papir, papp og kartong","2021","Avfallsmengde",111
"Industri","Papir, papp og kartong","2022","Avfallsmengde",82
"Industri","Papir, papp og kartong","2023","Avfallsmengde",76
"Industri","Papir, papp og kartong","2024","Avfallsmengde",79
"Industri","Glass","2012","Avfallsmengde",14
"Industri","Glass","2013","Avfallsmengde",14
"Industri","Glass","2014","Avfallsmengde",14
"Industri","Glass","2015","Avfallsmengde",16
"Industri","Glass","2016","Avfallsmengde",16
"Industri","Glass","2017","Avfallsmengde",22
"Industri","Glass","2018","Avfallsmengde",8
"Industri","Glass","2019","Avfallsmengde",5
"Industri","Glass","2020","Avfallsmengde",7
"Industri","Glass","2021","Avfallsmengde",22
"Industri","Glass","2022","Avfallsmengde",19
"Industri","Glass","2023","Avfallsmengde",18
"Industri","Glass","2024","Avfallsmengde",17
"Industri","Metall","2012","Avfallsmengde",126
"Industri","Metall","2013","Avfallsmengde",134
"Industri","Metall","2014","Avfallsmengde",136
"Industri","Metall","2015","Avfallsmengde",129
"Industri","Metall","2016","Avfallsmengde",142
"Industri","Metall","2017","Avfallsmengde",120
"Industri","Metall","2018","Avfallsmengde",119
"Industri","Metall","2019","Avfallsmengde",110
"Industri","Metall","2020","Avfallsmengde",144
"Industri","Metall","2021","Avfallsmengde",133
"Industri","Metall","2022","Avfallsmengde",190
"Industri","Metall","2023","Avfallsmengde",169
"Industri","Metall","2024","Avfallsmengde",184
"Industri","EE-avfall","2012","Avfallsmengde",3
"Industri","EE-avfall","2013","Avfallsmengde",4
"Industri","EE-avfall","2014","Avfallsmengde",4
"Industri","EE-avfall","2015","Avfallsmengde",7
"Industri","EE-avfall","2016","Avfallsmengde",4
"Industri","EE-avfall","2017","Avfallsmengde",7
"Industri","EE-avfall","2018","Avfallsmengde",6
"Industri","EE-avfall","2019","Avfallsmengde",8
"Industri","EE-avfall","2020","Avfallsmengde",9
"Industri","EE-avfall","2021","Avfallsmengde",7
"Industri","EE-avfall","2022","Avfallsmengde",7
"Industri","EE-avfall","2023","Avfallsmengde",9
"Industri","EE-avfall","2024","Avfallsmengde",7
"Industri","Betong og tegl","2012","Avfallsmengde",43
"Industri","Betong og tegl","2013","Avfallsmengde",42
"Industri","Betong og tegl","2014","Avfallsmengde",40
"Industri","Betong og tegl","2015","Avfallsmengde",39
"Industri","Betong og tegl","2016","Avfallsmengde",38
"Industri","Betong og tegl","2017","Avfallsmengde",40
"Industri","Betong og tegl","2018","Avfallsmengde",40
"Industri","Betong og tegl","2019","Avfallsmengde",45
"Industri","Betong og tegl","2020","Avfallsmengde",44
"Industri","Betong og tegl","2021","Avfallsmengde",41
"Industri","Betong og tegl","2022","Avfallsmengde",112
"Industri","Betong og tegl","2023","Avfallsmengde",105
"Industri","Betong og tegl","2024","Avfallsmengde",92
"Industri","Slagg, støv, bunnaske, flygeaske","2012","Avfallsmengde",76
"Industri","Slagg, støv, bunnaske, flygeaske","2013","Avfallsmengde",66
"Industri","Slagg, støv, bunnaske, flygeaske","2014","Avfallsmengde",44
"Industri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",63
"Industri","Slagg, støv, bunnaske, flygeaske","2016","Avfallsmengde",71
"Industri","Slagg, støv, bunnaske, flygeaske","2017","Avfallsmengde",87
"Industri","Slagg, støv, bunnaske, flygeaske","2018","Avfallsmengde",98
"Industri","Slagg, støv, bunnaske, flygeaske","2019","Avfallsmengde",85
"Industri","Slagg, støv, bunnaske, flygeaske","2020","Avfallsmengde",99
"Industri","Slagg, støv, bunnaske, flygeaske","2021","Avfallsmengde",66
"Industri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",48
"Industri","Slagg, støv, bunnaske, flygeaske","2023","Avfallsmengde",46
"Industri","Slagg, støv, bunnaske, flygeaske","2024","Avfallsmengde",44
"Industri","Plast","2012","Avfallsmengde",52
"Industri","Plast","2013","Avfallsmengde",40
"Industri","Plast","2014","Avfallsmengde",30
"Industri","Plast","2015","Avfallsmengde",31
"Industri","Plast","2016","Avfallsmengde",39
"Industri","Plast","2017","Avfallsmengde",55
"Industri","Plast","2018","Avfallsmengde",61
"Industri","Plast","2019","Avfallsmengde",57
"Industri","Plast","2020","Avfallsmengde",67
"Industri","Plast","2021","Avfallsmengde",58
"Industri","Plast","2022","Avfallsmengde",36
"Industri","Plast","2023","Avfallsmengde",19
"Industri","Plast","2024","Avfallsmengde",40
"Industri","Gummi","2012","Avfallsmengde",1
"Industri","Gummi","2013","Avfallsmengde",0
"Industri","Gummi","2014","Avfallsmengde",0
"Industri","Gummi","2015","Avfallsmengde",1
"Industri","Gummi","2016","Avfallsmengde",2
"Industri","Gummi","2017","Avfallsmengde",1
"Industri","Gummi","2018","Avfallsmengde",1
"Industri","Gummi","2019","Avfallsmengde",1
"Industri","Gummi","2020","Avfallsmengde",1
"Industri","Gummi","2021","Avfallsmengde",1
"Industri","Gummi","2022","Avfallsmengde",13
"Industri","Gummi","2023","Avfallsmengde",14
"Industri","Gummi","2024","Avfallsmengde",11
"Industri","Tekstiler","2012","Avfallsmengde",0
"Industri","Tekstiler","2013","Avfallsmengde",0
"Industri","Tekstiler","2014","Avfallsmengde",0
"Industri","Tekstiler","2015","Avfallsmengde",0
"Industri","Tekstiler","2016","Avfallsmengde",0
"Industri","Tekstiler","2017","Avfallsmengde",0
"Industri","Tekstiler","2018","Avfallsmengde",0
"Industri","Tekstiler","2019","Avfallsmengde",0
"Industri","Tekstiler","2020","Avfallsmengde",0
"Industri","Tekstiler","2021","Avfallsmengde",0
"Industri","Tekstiler","2022","Avfallsmengde",1
"Industri","Tekstiler","2023","Avfallsmengde",1
"Industri","Tekstiler","2024","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2012","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2013","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2014","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2015","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2016","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2017","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2018","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2019","Avfallsmengde",2
"Industri","Kasserte kjøretøy","2020","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2021","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2022","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2023","Avfallsmengde",1
"Industri","Kasserte kjøretøy","2024","Avfallsmengde",1
"Industri","Radioaktivt avfall","2012","Avfallsmengde",0
"Industri","Radioaktivt avfall","2013","Avfallsmengde",0
"Industri","Radioaktivt avfall","2014","Avfallsmengde",0
"Industri","Radioaktivt avfall","2015","Avfallsmengde",0
"Industri","Radioaktivt avfall","2016","Avfallsmengde",0
"Industri","Radioaktivt avfall","2017","Avfallsmengde",0
"Industri","Radioaktivt avfall","2018","Avfallsmengde",0
"Industri","Radioaktivt avfall","2019","Avfallsmengde",0
"Industri","Radioaktivt avfall","2020","Avfallsmengde",0
"Industri","Radioaktivt avfall","2021","Avfallsmengde",0
"Industri","Radioaktivt avfall","2022","Avfallsmengde",0
"Industri","Radioaktivt avfall","2023","Avfallsmengde",0
"Industri","Radioaktivt avfall","2024","Avfallsmengde",0
"Industri","Farlig avfall","2012","Avfallsmengde",481
"Industri","Farlig avfall","2013","Avfallsmengde",537
"Industri","Farlig avfall","2014","Avfallsmengde",619
"Industri","Farlig avfall","2015","Avfallsmengde",540
"Industri","Farlig avfall","2016","Avfallsmengde",618
"Industri","Farlig avfall","2017","Avfallsmengde",790
"Industri","Farlig avfall","2018","Avfallsmengde",724
"Industri","Farlig avfall","2019","Avfallsmengde",812
"Industri","Farlig avfall","2020","Avfallsmengde",796
"Industri","Farlig avfall","2021","Avfallsmengde",822
"Industri","Farlig avfall","2022","Avfallsmengde",899
"Industri","Farlig avfall","2023","Avfallsmengde",756
"Industri","Farlig avfall","2024","Avfallsmengde",739
"Industri","Blandet avfall","2012","Avfallsmengde",194
"Industri","Blandet avfall","2013","Avfallsmengde",200
"Industri","Blandet avfall","2014","Avfallsmengde",201
"Industri","Blandet avfall","2015","Avfallsmengde",162
"Industri","Blandet avfall","2016","Avfallsmengde",189
"Industri","Blandet avfall","2017","Avfallsmengde",204
"Industri","Blandet avfall","2018","Avfallsmengde",169
"Industri","Blandet avfall","2019","Avfallsmengde",165
"Industri","Blandet avfall","2020","Avfallsmengde",176
"Industri","Blandet avfall","2021","Avfallsmengde",144
"Industri","Blandet avfall","2022","Avfallsmengde",225
"Industri","Blandet avfall","2023","Avfallsmengde",265
"Industri","Blandet avfall","2024","Avfallsmengde",262
"Industri","Andre materialer","2012","Avfallsmengde",96
"Industri","Andre materialer","2013","Avfallsmengde",104
"Industri","Andre materialer","2014","Avfallsmengde",106
"Industri","Andre materialer","2015","Avfallsmengde",93
"Industri","Andre materialer","2016","Avfallsmengde",70
"Industri","Andre materialer","2017","Avfallsmengde",71
"Industri","Andre materialer","2018","Avfallsmengde",101
"Industri","Andre materialer","2019","Avfallsmengde",71
"Industri","Andre materialer","2020","Avfallsmengde",73
"Industri","Andre materialer","2021","Avfallsmengde",71
"Industri","Andre materialer","2022","Avfallsmengde",96
"Industri","Andre materialer","2023","Avfallsmengde",95
"Industri","Andre materialer","2024","Avfallsmengde",96
"Industri","Lett forurensede masser","2012","Avfallsmengde",14
"Industri","Lett forurensede masser","2013","Avfallsmengde",13
"Industri","Lett forurensede masser","2014","Avfallsmengde",13
"Industri","Lett forurensede masser","2015","Avfallsmengde",13
"Industri","Lett forurensede masser","2016","Avfallsmengde",12
"Industri","Lett forurensede masser","2017","Avfallsmengde",13
"Industri","Lett forurensede masser","2018","Avfallsmengde",13
"Industri","Lett forurensede masser","2019","Avfallsmengde",15
"Industri","Lett forurensede masser","2020","Avfallsmengde",14
"Industri","Lett forurensede masser","2021","Avfallsmengde",13
"Industri","Lett forurensede masser","2022","Avfallsmengde",12
"Industri","Lett forurensede masser","2023","Avfallsmengde",11
"Industri","Lett forurensede masser","2024","Avfallsmengde",12
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2012","Avfallsmengde",90
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2013","Avfallsmengde",100
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2014","Avfallsmengde",111
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2015","Avfallsmengde",105
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2016","Avfallsmengde",157
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2017","Avfallsmengde",157
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2018","Avfallsmengde",154
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2019","Avfallsmengde",157
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2020","Avfallsmengde",146
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2021","Avfallsmengde",163
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2022","Avfallsmengde",168
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2023","Avfallsmengde",148
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","I alt, uten lett forurensede masser","2024","Avfallsmengde",139
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2012","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2013","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2014","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2015","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2016","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2017","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2018","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2019","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2020","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2021","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2022","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2023","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Våtorganisk avfall","2024","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2012","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2013","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2014","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2015","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2016","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2017","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2018","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2019","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2020","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2021","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2022","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2023","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Park- og hageavfall","2024","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2012","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2013","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2014","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2015","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2016","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2017","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2018","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2019","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2020","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2021","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2022","Avfallsmengde",2
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2023","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Treavfall","2024","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2012","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2013","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2014","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2015","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2016","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2017","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2018","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2019","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2020","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2021","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2022","Avfallsmengde",1
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2023","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Slam","2024","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2012","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2013","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2014","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2015","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2016","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2017","Avfallsmengde",0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning","Papir, papp og kartong","2018","Avfallsmengde",0
