"behandlingsmåte","materialtype","år","statistikkvariabel","10513: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallsbehandling i alt","Papir, papp og kartong","2020","Avfallsmengde",606
"Avfallsbehandling i alt","Papir, papp og kartong","2021","Avfallsmengde",652
"Avfallsbehandling i alt","Papir, papp og kartong","2022","Avfallsmengde",655
"Avfallsbehandling i alt","Papir, papp og kartong","2023","Avfallsmengde",577
"Avfallsbehandling i alt","Papir, papp og kartong","2024","Avfallsmengde",614
"Avfallsbehandling i alt","Glass","2012","Avfallsmengde",102
"Avfallsbehandling i alt","Glass","2013","Avfallsmengde",120
"Avfallsbehandling i alt","Glass","2014","Avfallsmengde",101
"Avfallsbehandling i alt","Glass","2015","Avfallsmengde",119
"Avfallsbehandling i alt","Glass","2016","Avfallsmengde",124
"Avfallsbehandling i alt","Glass","2017","Avfallsmengde",134
"Avfallsbehandling i alt","Glass","2018","Avfallsmengde",144
"Avfallsbehandling i alt","Glass","2019","Avfallsmengde",145
"Avfallsbehandling i alt","Glass","2020","Avfallsmengde",117
"Avfallsbehandling i alt","Glass","2021","Avfallsmengde",150
"Avfallsbehandling i alt","Glass","2022","Avfallsmengde",142
"Avfallsbehandling i alt","Glass","2023","Avfallsmengde",145
"Avfallsbehandling i alt","Glass","2024","Avfallsmengde",145
"Avfallsbehandling i alt","Metall","2012","Avfallsmengde",875
"Avfallsbehandling i alt","Metall","2013","Avfallsmengde",751
"Avfallsbehandling i alt","Metall","2014","Avfallsmengde",815
"Avfallsbehandling i alt","Metall","2015","Avfallsmengde",786
"Avfallsbehandling i alt","Metall","2016","Avfallsmengde",804
"Avfallsbehandling i alt","Metall","2017","Avfallsmengde",804
"Avfallsbehandling i alt","Metall","2018","Avfallsmengde",858
"Avfallsbehandling i alt","Metall","2019","Avfallsmengde",592
"Avfallsbehandling i alt","Metall","2020","Avfallsmengde",571
"Avfallsbehandling i alt","Metall","2021","Avfallsmengde",584
"Avfallsbehandling i alt","Metall","2022","Avfallsmengde",587
"Avfallsbehandling i alt","Metall","2023","Avfallsmengde",533
"Avfallsbehandling i alt","Metall","2024","Avfallsmengde",564
"Avfallsbehandling i alt","EE-avfall","2012","Avfallsmengde",143
"Avfallsbehandling i alt","EE-avfall","2013","Avfallsmengde",145
"Avfallsbehandling i alt","EE-avfall","2014","Avfallsmengde",152
"Avfallsbehandling i alt","EE-avfall","2015","Avfallsmengde",141
"Avfallsbehandling i alt","EE-avfall","2016","Avfallsmengde",147
"Avfallsbehandling i alt","EE-avfall","2017","Avfallsmengde",142
"Avfallsbehandling i alt","EE-avfall","2018","Avfallsmengde",129
"Avfallsbehandling i alt","EE-avfall","2019","Avfallsmengde",139
"Avfallsbehandling i alt","EE-avfall","2020","Avfallsmengde",146
"Avfallsbehandling i alt","EE-avfall","2021","Avfallsmengde",145
"Avfallsbehandling i alt","EE-avfall","2022","Avfallsmengde",146
"Avfallsbehandling i alt","EE-avfall","2023","Avfallsmengde",147
"Avfallsbehandling i alt","EE-avfall","2024","Avfallsmengde",148
"Avfallsbehandling i alt","Betong og tegl","2012","Avfallsmengde",849
"Avfallsbehandling i alt","Betong og tegl","2013","Avfallsmengde",810
"Avfallsbehandling i alt","Betong og tegl","2014","Avfallsmengde",904
"Avfallsbehandling i alt","Betong og tegl","2015","Avfallsmengde",893
"Avfallsbehandling i alt","Betong og tegl","2016","Avfallsmengde",989
"Avfallsbehandling i alt","Betong og tegl","2017","Avfallsmengde",1074
"Avfallsbehandling i alt","Betong og tegl","2018","Avfallsmengde",1169
"Avfallsbehandling i alt","Betong og tegl","2019","Avfallsmengde",1474
"Avfallsbehandling i alt","Betong og tegl","2020","Avfallsmengde",1467
"Avfallsbehandling i alt","Betong og tegl","2021","Avfallsmengde",1239
"Avfallsbehandling i alt","Betong og tegl","2022","Avfallsmengde",1330
"Avfallsbehandling i alt","Betong og tegl","2023","Avfallsmengde",1171
"Avfallsbehandling i alt","Betong og tegl","2024","Avfallsmengde",1065
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2012","Avfallsmengde",570
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2013","Avfallsmengde",677
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2014","Avfallsmengde",607
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",667
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2016","Avfallsmengde",513
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2017","Avfallsmengde",670
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2018","Avfallsmengde",647
