"behandlingsmåte","materialtype","år","statistikkvariabel","10513: Avfallsregnskap for Norge (1 000 tonn),"
"Levert til materialgjenvinning","EE-avfall","2022","Avfallsmengde",114
"Levert til materialgjenvinning","EE-avfall","2023","Avfallsmengde",113
"Levert til materialgjenvinning","EE-avfall","2024","Avfallsmengde",114
"Levert til materialgjenvinning","Betong og tegl","2012","Avfallsmengde",33
"Levert til materialgjenvinning","Betong og tegl","2013","Avfallsmengde",43
"Levert til materialgjenvinning","Betong og tegl","2014","Avfallsmengde",136
"Levert til materialgjenvinning","Betong og tegl","2015","Avfallsmengde",161
"Levert til materialgjenvinning","Betong og tegl","2016","Avfallsmengde",203
"Levert til materialgjenvinning","Betong og tegl","2017","Avfallsmengde",8
"Levert til materialgjenvinning","Betong og tegl","2018","Avfallsmengde",6
"Levert til materialgjenvinning","Betong og tegl","2019","Avfallsmengde",70
"Levert til materialgjenvinning","Betong og tegl","2020","Avfallsmengde",524
"Levert til materialgjenvinning","Betong og tegl","2021","Avfallsmengde",20
"Levert til materialgjenvinning","Betong og tegl","2022","Avfallsmengde",45
"Levert til materialgjenvinning","Betong og tegl","2023","Avfallsmengde",67
"Levert til materialgjenvinning","Betong og tegl","2024","Avfallsmengde",73
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2012","Avfallsmengde",159
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2013","Avfallsmengde",154
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2014","Avfallsmengde",212
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",8
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2016","Avfallsmengde",34
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2017","Avfallsmengde",33
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2018","Avfallsmengde",37
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2019","Avfallsmengde",60
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2020","Avfallsmengde",17
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2021","Avfallsmengde",54
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",70
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2023","Avfallsmengde",15
"Levert til materialgjenvinning","Slagg, støv, bunnaske, flygeaske","2024","Avfallsmengde",0
"Levert til materialgjenvinning","Plast","2012","Avfallsmengde",135
"Levert til materialgjenvinning","Plast","2013","Avfallsmengde",118
"Levert til materialgjenvinning","Plast","2014","Avfallsmengde",108
"Levert til materialgjenvinning","Plast","2015","Avfallsmengde",136
"Levert til materialgjenvinning","Plast","2016","Avfallsmengde",124
"Levert til materialgjenvinning","Plast","2017","Avfallsmengde",141
"Levert til materialgjenvinning","Plast","2018","Avfallsmengde",113
"Levert til materialgjenvinning","Plast","2019","Avfallsmengde",110
"Levert til materialgjenvinning","Plast","2020","Avfallsmengde",131
"Levert til materialgjenvinning","Plast","2021","Avfallsmengde",151
"Levert til materialgjenvinning","Plast","2022","Avfallsmengde",111
"Levert til materialgjenvinning","Plast","2023","Avfallsmengde",112
"Levert til materialgjenvinning","Plast","2024","Avfallsmengde",126
"Levert til materialgjenvinning","Gummi","2012","Avfallsmengde",17
"Levert til materialgjenvinning","Gummi","2013","Avfallsmengde",39
"Levert til materialgjenvinning","Gummi","2014","Avfallsmengde",35
"Levert til materialgjenvinning","Gummi","2015","Avfallsmengde",40
"Levert til materialgjenvinning","Gummi","2016","Avfallsmengde",31
"Levert til materialgjenvinning","Gummi","2017","Avfallsmengde",43
"Levert til materialgjenvinning","Gummi","2018","Avfallsmengde",38
"Levert til materialgjenvinning","Gummi","2019","Avfallsmengde",8
"Levert til materialgjenvinning","Gummi","2020","Avfallsmengde",40
"Levert til materialgjenvinning","Gummi","2021","Avfallsmengde",24
"Levert til materialgjenvinning","Gummi","2022","Avfallsmengde",5
"Levert til materialgjenvinning","Gummi","2023","Avfallsmengde",8
"Levert til materialgjenvinning","Gummi","2024","Avfallsmengde",5
"Levert til materialgjenvinning","Tekstiler","2012","Avfallsmengde",3
"Levert til materialgjenvinning","Tekstiler","2013","Avfallsmengde",2
"Levert til materialgjenvinning","Tekstiler","2014","Avfallsmengde",2
"Levert til materialgjenvinning","Tekstiler","2015","Avfallsmengde",1
"Levert til materialgjenvinning","Tekstiler","2016","Avfallsmengde",3
"Levert til materialgjenvinning","Tekstiler","2017","Avfallsmengde",2
"Levert til materialgjenvinning","Tekstiler","2018","Avfallsmengde",0
"Levert til materialgjenvinning","Tekstiler","2019","Avfallsmengde",1
"Levert til materialgjenvinning","Tekstiler","2020","Avfallsmengde",0
"Levert til materialgjenvinning","Tekstiler","2021","Avfallsmengde",3
"Levert til materialgjenvinning","Tekstiler","2022","Avfallsmengde",0
"Levert til materialgjenvinning","Tekstiler","2023","Avfallsmengde",0
"Levert til materialgjenvinning","Tekstiler","2024","Avfallsmengde",2
"Levert til materialgjenvinning","Kasserte kjøretøy","2012","Avfallsmengde",148
"Levert til materialgjenvinning","Kasserte kjøretøy","2013","Avfallsmengde",176
"Levert til materialgjenvinning","Kasserte kjøretøy","2014","Avfallsmengde",182
"Levert til materialgjenvinning","Kasserte kjøretøy","2015","Avfallsmengde",182
"Levert til materialgjenvinning","Kasserte kjøretøy","2016","Avfallsmengde",184
"Levert til materialgjenvinning","Kasserte kjøretøy","2017","Avfallsmengde",195
"Levert til materialgjenvinning","Kasserte kjøretøy","2018","Avfallsmengde",197
"Levert til materialgjenvinning","Kasserte kjøretøy","2019","Avfallsmengde",201
"Levert til materialgjenvinning","Kasserte kjøretøy","2020","Avfallsmengde",186
"Levert til materialgjenvinning","Kasserte kjøretøy","2021","Avfallsmengde",220
"Levert til materialgjenvinning","Kasserte kjøretøy","2022","Avfallsmengde",178
"Levert til materialgjenvinning","Kasserte kjøretøy","2023","Avfallsmengde",170
"Levert til materialgjenvinning","Kasserte kjøretøy","2024","Avfallsmengde",131
"Levert til materialgjenvinning","Radioaktivt avfall","2012","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2013","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2014","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2015","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2016","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2017","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2018","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2019","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2020","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2021","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2022","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2023","Avfallsmengde",0
"Levert til materialgjenvinning","Radioaktivt avfall","2024","Avfallsmengde",0
"Levert til materialgjenvinning","Farlig avfall","2012","Avfallsmengde",198
"Levert til materialgjenvinning","Farlig avfall","2013","Avfallsmengde",206
"Levert til materialgjenvinning","Farlig avfall","2014","Avfallsmengde",301
"Levert til materialgjenvinning","Farlig avfall","2015","Avfallsmengde",192
"Levert til materialgjenvinning","Farlig avfall","2016","Avfallsmengde",254
"Levert til materialgjenvinning","Farlig avfall","2017","Avfallsmengde",286
"Levert til materialgjenvinning","Farlig avfall","2018","Avfallsmengde",310
"Levert til materialgjenvinning","Farlig avfall","2019","Avfallsmengde",332
"Levert til materialgjenvinning","Farlig avfall","2020","Avfallsmengde",287
"Levert til materialgjenvinning","Farlig avfall","2021","Avfallsmengde",211
"Levert til materialgjenvinning","Farlig avfall","2022","Avfallsmengde",295
"Levert til materialgjenvinning","Farlig avfall","2023","Avfallsmengde",242
"Levert til materialgjenvinning","Farlig avfall","2024","Avfallsmengde",173
"Levert til materialgjenvinning","Blandet avfall","2012","Avfallsmengde",88
"Levert til materialgjenvinning","Blandet avfall","2013","Avfallsmengde",248
"Levert til materialgjenvinning","Blandet avfall","2014","Avfallsmengde",117
"Levert til materialgjenvinning","Blandet avfall","2015","Avfallsmengde",17
"Levert til materialgjenvinning","Blandet avfall","2016","Avfallsmengde",231
"Levert til materialgjenvinning","Blandet avfall","2017","Avfallsmengde",319
"Levert til materialgjenvinning","Blandet avfall","2018","Avfallsmengde",181
"Levert til materialgjenvinning","Blandet avfall","2019","Avfallsmengde",504
"Levert til materialgjenvinning","Blandet avfall","2020","Avfallsmengde",170
"Levert til materialgjenvinning","Blandet avfall","2021","Avfallsmengde",200
"Levert til materialgjenvinning","Blandet avfall","2022","Avfallsmengde",326
"Levert til materialgjenvinning","Blandet avfall","2023","Avfallsmengde",234
"Levert til materialgjenvinning","Blandet avfall","2024","Avfallsmengde",139
"Levert til materialgjenvinning","Andre materialer","2012","Avfallsmengde",820
"Levert til materialgjenvinning","Andre materialer","2013","Avfallsmengde",803
"Levert til materialgjenvinning","Andre materialer","2014","Avfallsmengde",878
"Levert til materialgjenvinning","Andre materialer","2015","Avfallsmengde",1062
"Levert til materialgjenvinning","Andre materialer","2016","Avfallsmengde",1182
"Levert til materialgjenvinning","Andre materialer","2017","Avfallsmengde",1205
"Levert til materialgjenvinning","Andre materialer","2018","Avfallsmengde",1110
"Levert til materialgjenvinning","Andre materialer","2019","Avfallsmengde",1306
"Levert til materialgjenvinning","Andre materialer","2020","Avfallsmengde",1331
"Levert til materialgjenvinning","Andre materialer","2021","Avfallsmengde",1276
"Levert til materialgjenvinning","Andre materialer","2022","Avfallsmengde",1287
"Levert til materialgjenvinning","Andre materialer","2023","Avfallsmengde",1132
"Levert til materialgjenvinning","Andre materialer","2024","Avfallsmengde",1263
"Levert til materialgjenvinning","Lett forurensede masser","2012","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2013","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2014","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2015","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2016","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2017","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2018","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2019","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2020","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2021","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2022","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2023","Avfallsmengde",0
"Levert til materialgjenvinning","Lett forurensede masser","2024","Avfallsmengde",0
"Biogassproduksjon","I alt, uten lett forurensede masser","2012","Avfallsmengde",57
"Biogassproduksjon","I alt, uten lett forurensede masser","2013","Avfallsmengde",77
"Biogassproduksjon","I alt, uten lett forurensede masser","2014","Avfallsmengde",80
"Biogassproduksjon","I alt, uten lett forurensede masser","2015","Avfallsmengde",289
"Biogassproduksjon","I alt, uten lett forurensede masser","2016","Avfallsmengde",226
"Biogassproduksjon","I alt, uten lett forurensede masser","2017","Avfallsmengde",194
"Biogassproduksjon","I alt, uten lett forurensede masser","2018","Avfallsmengde",249
"Biogassproduksjon","I alt, uten lett forurensede masser","2019","Avfallsmengde",196
"Biogassproduksjon","I alt, uten lett forurensede masser","2020","Avfallsmengde",220
"Biogassproduksjon","I alt, uten lett forurensede masser","2021","Avfallsmengde",339
"Biogassproduksjon","I alt, uten lett forurensede masser","2022","Avfallsmengde",402
"Biogassproduksjon","I alt, uten lett forurensede masser","2023","Avfallsmengde",404
"Biogassproduksjon","I alt, uten lett forurensede masser","2024","Avfallsmengde",544
"Biogassproduksjon","Våtorganisk avfall","2012","Avfallsmengde",52
"Biogassproduksjon","Våtorganisk avfall","2013","Avfallsmengde",74
"Biogassproduksjon","Våtorganisk avfall","2014","Avfallsmengde",79
"Biogassproduksjon","Våtorganisk avfall","2015","Avfallsmengde",233
"Biogassproduksjon","Våtorganisk avfall","2016","Avfallsmengde",197
"Biogassproduksjon","Våtorganisk avfall","2017","Avfallsmengde",145
"Biogassproduksjon","Våtorganisk avfall","2018","Avfallsmengde",208
"Biogassproduksjon","Våtorganisk avfall","2019","Avfallsmengde",181
"Biogassproduksjon","Våtorganisk avfall","2020","Avfallsmengde",207
"Biogassproduksjon","Våtorganisk avfall","2021","Avfallsmengde",332
"Biogassproduksjon","Våtorganisk avfall","2022","Avfallsmengde",299
"Biogassproduksjon","Våtorganisk avfall","2023","Avfallsmengde",294
"Biogassproduksjon","Våtorganisk avfall","2024","Avfallsmengde",398
"Biogassproduksjon","Park- og hageavfall","2012","Avfallsmengde",0
"Biogassproduksjon","Park- og hageavfall","2013","Avfallsmengde",1
"Biogassproduksjon","Park- og hageavfall","2014","Avfallsmengde",0
"Biogassproduksjon","Park- og hageavfall","2015","Avfallsmengde",1
"Biogassproduksjon","Park- og hageavfall","2016","Avfallsmengde",0
"Biogassproduksjon","Park- og hageavfall","2017","Avfallsmengde",2
"Biogassproduksjon","Park- og hageavfall","2018","Avfallsmengde",3
"Biogassproduksjon","Park- og hageavfall","2019","Avfallsmengde",1
"Biogassproduksjon","Park- og hageavfall","2020","Avfallsmengde",2
"Biogassproduksjon","Park- og hageavfall","2021","Avfallsmengde",1
"Biogassproduksjon","Park- og hageavfall","2022","Avfallsmengde",0
"Biogassproduksjon","Park- og hageavfall","2023","Avfallsmengde",0
"Biogassproduksjon","Park- og hageavfall","2024","Avfallsmengde",0
"Biogassproduksjon","Treavfall","2012","Avfallsmengde",5
"Biogassproduksjon","Treavfall","2013","Avfallsmengde",0
"Biogassproduksjon","Treavfall","2014","Avfallsmengde",0
"Biogassproduksjon","Treavfall","2015","Avfallsmengde",0
"Biogassproduksjon","Treavfall","2016","Avfallsmengde",1
"Biogassproduksjon","Treavfall","2017","Avfallsmengde",2
"Biogassproduksjon","Treavfall","2018","Avfallsmengde",1
"Biogassproduksjon","Treavfall","2019","Avfallsmengde",1
"Biogassproduksjon","Treavfall","2020","Avfallsmengde",3
"Biogassproduksjon","Treavfall","2021","Avfallsmengde",0
"Biogassproduksjon","Treavfall","2022","Avfallsmengde",0
"Biogassproduksjon","Treavfall","2023","Avfallsmengde",3
"Biogassproduksjon","Treavfall","2024","Avfallsmengde",0
"Biogassproduksjon","Slam","2012","Avfallsmengde",0
"Biogassproduksjon","Slam","2013","Avfallsmengde",1
"Biogassproduksjon","Slam","2014","Avfallsmengde",0
"Biogassproduksjon","Slam","2015","Avfallsmengde",39
"Biogassproduksjon","Slam","2016","Avfallsmengde",16
"Biogassproduksjon","Slam","2017","Avfallsmengde",23
"Biogassproduksjon","Slam","2018","Avfallsmengde",15
"Biogassproduksjon","Slam","2019","Avfallsmengde",3
"Biogassproduksjon","Slam","2020","Avfallsmengde",2
"Biogassproduksjon","Slam","2021","Avfallsmengde",5
"Biogassproduksjon","Slam","2022","Avfallsmengde",97
"Biogassproduksjon","Slam","2023","Avfallsmengde",104
"Biogassproduksjon","Slam","2024","Avfallsmengde",144
"Biogassproduksjon","Papir, papp og kartong","2012","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2013","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2014","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2015","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2016","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2017","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2018","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2019","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2020","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2021","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2022","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2023","Avfallsmengde",0
"Biogassproduksjon","Papir, papp og kartong","2024","Avfallsmengde",0
"Biogassproduksjon","Glass","2012","Avfallsmengde",0
"Biogassproduksjon","Glass","2013","Avfallsmengde",0
"Biogassproduksjon","Glass","2014","Avfallsmengde",0
"Biogassproduksjon","Glass","2015","Avfallsmengde",0
"Biogassproduksjon","Glass","2016","Avfallsmengde",0
"Biogassproduksjon","Glass","2017","Avfallsmengde",0
"Biogassproduksjon","Glass","2018","Avfallsmengde",0
"Biogassproduksjon","Glass","2019","Avfallsmengde",0
"Biogassproduksjon","Glass","2020","Avfallsmengde",0
"Biogassproduksjon","Glass","2021","Avfallsmengde",0
"Biogassproduksjon","Glass","2022","Avfallsmengde",0
"Biogassproduksjon","Glass","2023","Avfallsmengde",0
"Biogassproduksjon","Glass","2024","Avfallsmengde",0
"Biogassproduksjon","Metall","2012","Avfallsmengde",0
"Biogassproduksjon","Metall","2013","Avfallsmengde",0
"Biogassproduksjon","Metall","2014","Avfallsmengde",0
"Biogassproduksjon","Metall","2015","Avfallsmengde",0
"Biogassproduksjon","Metall","2016","Avfallsmengde",0
"Biogassproduksjon","Metall","2017","Avfallsmengde",0
"Biogassproduksjon","Metall","2018","Avfallsmengde",0
"Biogassproduksjon","Metall","2019","Avfallsmengde",0
"Biogassproduksjon","Metall","2020","Avfallsmengde",1
"Biogassproduksjon","Metall","2021","Avfallsmengde",0
"Biogassproduksjon","Metall","2022","Avfallsmengde",0
"Biogassproduksjon","Metall","2023","Avfallsmengde",0
"Biogassproduksjon","Metall","2024","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2012","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2013","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2014","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2015","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2016","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2017","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2018","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2019","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2020","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2021","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2022","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2023","Avfallsmengde",0
"Biogassproduksjon","EE-avfall","2024","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2012","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2013","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2014","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2015","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2016","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2017","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2018","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2019","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2020","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2021","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2022","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2023","Avfallsmengde",0
"Biogassproduksjon","Betong og tegl","2024","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2012","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2013","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2014","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2016","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2017","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2018","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2019","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2020","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2021","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2023","Avfallsmengde",0
"Biogassproduksjon","Slagg, støv, bunnaske, flygeaske","2024","Avfallsmengde",0
"Biogassproduksjon","Plast","2012","Avfallsmengde",0
"Biogassproduksjon","Plast","2013","Avfallsmengde",0
"Biogassproduksjon","Plast","2014","Avfallsmengde",0
"Biogassproduksjon","Plast","2015","Avfallsmengde",0
"Biogassproduksjon","Plast","2016","Avfallsmengde",0
"Biogassproduksjon","Plast","2017","Avfallsmengde",0
"Biogassproduksjon","Plast","2018","Avfallsmengde",0
"Biogassproduksjon","Plast","2019","Avfallsmengde",0
"Biogassproduksjon","Plast","2020","Avfallsmengde",0
"Biogassproduksjon","Plast","2021","Avfallsmengde",0
"Biogassproduksjon","Plast","2022","Avfallsmengde",0
"Biogassproduksjon","Plast","2023","Avfallsmengde",0
"Biogassproduksjon","Plast","2024","Avfallsmengde",0
"Biogassproduksjon","Gummi","2012","Avfallsmengde",0
"Biogassproduksjon","Gummi","2013","Avfallsmengde",0
"Biogassproduksjon","Gummi","2014","Avfallsmengde",0
"Biogassproduksjon","Gummi","2015","Avfallsmengde",0
"Biogassproduksjon","Gummi","2016","Avfallsmengde",0
"Biogassproduksjon","Gummi","2017","Avfallsmengde",0
"Biogassproduksjon","Gummi","2018","Avfallsmengde",0
"Biogassproduksjon","Gummi","2019","Avfallsmengde",0
"Biogassproduksjon","Gummi","2020","Avfallsmengde",0
"Biogassproduksjon","Gummi","2021","Avfallsmengde",0
"Biogassproduksjon","Gummi","2022","Avfallsmengde",0
"Biogassproduksjon","Gummi","2023","Avfallsmengde",0
"Biogassproduksjon","Gummi","2024","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2012","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2013","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2014","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2015","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2016","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2017","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2018","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2019","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2020","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2021","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2022","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2023","Avfallsmengde",0
"Biogassproduksjon","Tekstiler","2024","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2012","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2013","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2014","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2015","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2016","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2017","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2018","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2019","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2020","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2021","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2022","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2023","Avfallsmengde",0
"Biogassproduksjon","Kasserte kjøretøy","2024","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2012","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2013","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2014","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2015","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2016","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2017","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2018","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2019","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2020","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2021","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2022","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2023","Avfallsmengde",0
"Biogassproduksjon","Radioaktivt avfall","2024","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2012","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2013","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2014","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2015","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2016","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2017","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2018","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2019","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2020","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2021","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2022","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2023","Avfallsmengde",0
"Biogassproduksjon","Farlig avfall","2024","Avfallsmengde",0
"Biogassproduksjon","Blandet avfall","2012","Avfallsmengde",0
"Biogassproduksjon","Blandet avfall","2013","Avfallsmengde",1
"Biogassproduksjon","Blandet avfall","2014","Avfallsmengde",1
"Biogassproduksjon","Blandet avfall","2015","Avfallsmengde",16
"Biogassproduksjon","Blandet avfall","2016","Avfallsmengde",10
"Biogassproduksjon","Blandet avfall","2017","Avfallsmengde",19
"Biogassproduksjon","Blandet avfall","2018","Avfallsmengde",22
"Biogassproduksjon","Blandet avfall","2019","Avfallsmengde",10
"Biogassproduksjon","Blandet avfall","2020","Avfallsmengde",6
"Biogassproduksjon","Blandet avfall","2021","Avfallsmengde",0
"Biogassproduksjon","Blandet avfall","2022","Avfallsmengde",5
"Biogassproduksjon","Blandet avfall","2023","Avfallsmengde",0
"Biogassproduksjon","Blandet avfall","2024","Avfallsmengde",3
"Biogassproduksjon","Andre materialer","2012","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2013","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2014","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2015","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2016","Avfallsmengde",2
"Biogassproduksjon","Andre materialer","2017","Avfallsmengde",3
"Biogassproduksjon","Andre materialer","2018","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2019","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2020","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2021","Avfallsmengde",0
"Biogassproduksjon","Andre materialer","2022","Avfallsmengde",1
"Biogassproduksjon","Andre materialer","2023","Avfallsmengde",3
"Biogassproduksjon","Andre materialer","2024","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2012","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2013","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2014","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2015","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2016","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2017","Avfallsmengde",0
"Biogassproduksjon","Lett forurensede masser","2018","Avfallsmengde",0
