record_id,dataset_id,country,year,metric,value,unit,source_id,source_ref,source_owner,source_class,source_format,method_status,evidence_status,quality_flag,comparability_flag,comparison_scope,last_verified,allowed_surfaces,ki_usage_rule,notes
B12-FI-2019,nordic_food_price_level_pli_annual,FI,2019,food_price_level_index,118.7,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-FI-2020,nordic_food_price_level_pli_annual,FI,2020,food_price_level_index,114.2,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-FI-2021,nordic_food_price_level_pli_annual,FI,2021,food_price_level_index,114.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-FI-2022,nordic_food_price_level_pli_annual,FI,2022,food_price_level_index,114.1,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-FI-2023,nordic_food_price_level_pli_annual,FI,2023,food_price_level_index,112.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-FI-2024,nordic_food_price_level_pli_annual,FI,2024,food_price_level_index,109.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2015,nordic_food_price_level_pli_annual,IS,2015,food_price_level_index,131.7,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2016,nordic_food_price_level_pli_annual,IS,2016,food_price_level_index,145.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2017,nordic_food_price_level_pli_annual,IS,2017,food_price_level_index,154.3,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2018,nordic_food_price_level_pli_annual,IS,2018,food_price_level_index,146.5,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2019,nordic_food_price_level_pli_annual,IS,2019,food_price_level_index,139.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2020,nordic_food_price_level_pli_annual,IS,2020,food_price_level_index,132.6,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2021,nordic_food_price_level_pli_annual,IS,2021,food_price_level_index,139.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2022,nordic_food_price_level_pli_annual,IS,2022,food_price_level_index,142.8,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2023,nordic_food_price_level_pli_annual,IS,2023,food_price_level_index,140.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-IS-2024,nordic_food_price_level_pli_annual,IS,2024,food_price_level_index,143.9,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2015,nordic_food_price_level_pli_annual,NO,2015,food_price_level_index,162.5,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2016,nordic_food_price_level_pli_annual,NO,2016,food_price_level_index,162.2,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2017,nordic_food_price_level_pli_annual,NO,2017,food_price_level_index,164.6,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2018,nordic_food_price_level_pli_annual,NO,2018,food_price_level_index,161.5,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2019,nordic_food_price_level_pli_annual,NO,2019,food_price_level_index,157.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2020,nordic_food_price_level_pli_annual,NO,2020,food_price_level_index,145.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2021,nordic_food_price_level_pli_annual,NO,2021,food_price_level_index,150.0,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2022,nordic_food_price_level_pli_annual,NO,2022,food_price_level_index,145.6,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2023,nordic_food_price_level_pli_annual,NO,2023,food_price_level_index,129.6,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-NO-2024,nordic_food_price_level_pli_annual,NO,2024,food_price_level_index,131.2,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2015,nordic_food_price_level_pli_annual,SE,2015,food_price_level_index,126.0,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2016,nordic_food_price_level_pli_annual,SE,2016,food_price_level_index,126.3,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2017,nordic_food_price_level_pli_annual,SE,2017,food_price_level_index,122.2,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2018,nordic_food_price_level_pli_annual,SE,2018,food_price_level_index,116.1,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2019,nordic_food_price_level_pli_annual,SE,2019,food_price_level_index,114.2,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2020,nordic_food_price_level_pli_annual,SE,2020,food_price_level_index,114.7,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2021,nordic_food_price_level_pli_annual,SE,2021,food_price_level_index,118.1,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2022,nordic_food_price_level_pli_annual,SE,2022,food_price_level_index,113.5,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2023,nordic_food_price_level_pli_annual,SE,2023,food_price_level_index,106.5,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
B12-SE-2024,nordic_food_price_level_pli_annual,SE,2024,food_price_level_index,106.4,EU27_2020_100,EUROSTAT-PLI-A0101,research/data/nordic/prices/normalized/nordic-eurostat-food-price-levels-annual.csv,Eurostat,official_statistics,local_csv,official_statistical_extract,primary_snapshot,ok,directly_comparable,Food and non-alcoholic beverages PLI vs EU27=100,2026-05-15,research+analysis+report,cite_with_underlying_sources,Not HICP or CPI
