id,insightId,documentId,relevance
cmp13nhh0000gp10dxxwrwlfj,ins-89,cmnyng2hw00cid50dblzjcvwl,primary
cmp13nhh2000hp10docd5qud9,ins-98,cmmpax3dq000bu10do4j2krnq,primary
cmp13nhh3000ip10ddgu1ve7c,ins-food-tg-01,cmoh2g6v8000vn60dzwmtna5y,primary
cmp13nhh3000jp10dcgbmiy5q,ins-food-tg-02,cmmpax3gj0017u10deqydrmrp,primary
cmp13nhh4000kp10dizpqkrpr,ins-food-tg-05,cmoh2g6v8000vn60dzwmtna5y,primary
cmp14eyda0000qp0dgibhq429,ins-13,cmmpax3r2002ku10dulrezpar,supporting
cmp14eyes0001qp0dkf2rodwe,ins-21,cmmpax3dq000bu10do4j2krnq,primary
cmp14eyet0002qp0dxgj8ln0a,ins-55,cmmpax3dq000bu10do4j2krnq,supporting
cmp14eyeu0003qp0du0nhozem,ins-59,cmmv9nxzd004aw70d4wwxcc5l,supporting
cmp14eyev0004qp0d219e7ltz,ins-66,cmn5ibu7a00081i0dknxr6q79,supporting
cmp14eyev0005qp0d88i4rzkz,ins-74,cmmpax3t4002ou10dled3hd5b,supporting
cmp14eyew0006qp0d5hddo7jx,ins-82,cmmpax3so002nu10dnuztrpba,supporting
cmp14eyex0007qp0dkzbp1vje,ins-92,cmmpax3f6000su10dla5oqhtm,primary
cmp14eyex0008qp0dpkvb3foh,ins-95,cmmpax3fo000xu10d3b2u7qbo,supporting
cmp14eyez0009qp0duqmbcb3z,ins-96,cmmxa66s70048ty0dm7tpib23,primary
