theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-07,monthly,imports,Trade value,source units,47111.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-08,monthly,imports,Trade value,source units,55354.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-09,monthly,imports,Trade value,source units,59694.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-10,monthly,imports,Trade value,source units,56537.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-11,monthly,imports,Trade value,source units,83880.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2017-12,monthly,imports,Trade value,source units,53259.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-01,monthly,imports,Trade value,source units,54785.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-02,monthly,imports,Trade value,source units,50976.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-03,monthly,imports,Trade value,source units,64214.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-04,monthly,imports,Trade value,source units,63507.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-05,monthly,imports,Trade value,source units,63248.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-06,monthly,imports,Trade value,source units,59203.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-07,monthly,imports,Trade value,source units,54728.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-08,monthly,imports,Trade value,source units,56452.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-09,monthly,imports,Trade value,source units,59317.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-10,monthly,imports,Trade value,source units,65558.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
