"record_id","hs_code","ssb_varekoder","product_label_no","export_tonnes_2024","export_value_1000_nok","product_scope","energy_mapping_status","g3_action","notes"
"G3-NO-HS-PRODUCT-068-2024","03036900","03036900_2017","Fisk av familiene Bregmacerotidae, Euclichthyidae, Gadidae, Macroutidae, Melanonidae, Merlucciidae, Moridae og Muraenolepididae, fryst, i.e.n., ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","2073.173","67242","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-069-2024","03048610","03048610_2019","Fileter av sild, med skinn, fryst (2019-) (M1=kg,  M2=nei)","2065.768","47216","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-070-2024","03047101","03047101_2012","Fileter av torsk, i blokk, fryst (2012-) (M1=kg,  M2=nei)","2024.193","155398","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-071-2024","03099000","03099000_2022","Mel og pelleter av krepsdyr, bløtdyr, eller andre virvelløse dyr som lever i vann, egnet til menneskeføde (2022-) (M1=kg,  M2=nei)","1981.017","100092","needs_manual_review","needs_scope_decision","manual HS review required","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-072-2024","03022199","03022199_2017","Kveite (Hippoglossus hippoglossus, Hippoglossus stenolepis), unnt blåkveite, ikke oppdrettet, fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1927.631","248687","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-073-2024","03054100","03054100_2012","Røykt stillehavs-, atlanterhavs- og donaulaks, herunder fileter, unnt spiselige biprodukter (2012-) (M1=kg,  M2=nei)","1904.772","346812","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-074-2024","03056902","03056902_2012","Sei, saltet, men ikke tørket, røykt el i saltlake, unnt spiselige biprodukter og fileter (2012-) (M1=kg,  M2=nei)","1654.459","54481","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-075-2024","03055390","03055390_2017","Tørket og/eller saltet fisk av familiene Bregmacerotidae, Euclichthyidae, Gadidae, Macroutidae, Melanonidae, Merlucciidae, Moridae og Muraenolepididae, unntatt torsk, i.e.n., unnt spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1557.900","80654","processed_preserved_fish","needs_energy_mapping","map processed-product energy and rehydration/yield","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-076-2024","03025902","03025902_2017","Lange (Molva spp.), fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1548.582","48970","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-077-2024","03048200","03048200_2012","Fileter av ørret, fryst (2012-) (M1=kg,  M2=nei)","1455.825","170427","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-078-2024","03044419","03044419_2012","Fileter av torsk, ikke oppdrettet, fersk el kjølt (2012-) (M1=kg,  M2=nei)","1438.899","195142","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
