country_code,country_name,municipality_code,municipality_name,population,area_km2,method,total_stores,parent_hhi_store_count_proxy,top_parent,top_parent_store_share_pct,stores_per_10000_population,unknown_parent_store_count,parent_counts,assigned_country_store_points,unassigned_country_store_points,data_quality
se,Sverige,1402,Partille,61010,711,store_count_proxy,12,2361,Unknown,33.3,2,4,Unknown:4|ICA Gruppen:3|Axfood:2|Coop Sverige:2|Lidl:1,5049,0,ok
se,Sverige,1407,Öckerö,68940,501,store_count_proxy,11,3554,ICA Gruppen,45.5,1.6,4,ICA Gruppen:5|Unknown:4|Axfood:1|Coop Sverige:1,5049,0,ok
se,Sverige,1415,Stenungsund,23690,604,store_count_proxy,12,3472,Unknown,50,5.1,6,Unknown:6|ICA Gruppen:3|Axfood:2|Coop Sverige:1,5049,0,ok
se,Sverige,1419,Tjörn,40100,514,store_count_proxy,10,4600,ICA Gruppen,60,2.5,3,ICA Gruppen:6|Unknown:3|Axfood:1,5049,0,ok
se,Sverige,1421,Orust,14380,1437,store_count_proxy,15,3600,Unknown,40,10.4,6,Unknown:6|Axfood:6|ICA Gruppen:3,5049,0,ok
se,Sverige,1427,Sotenäs,10180,728,store_count_proxy,8,4063,Coop Sverige,50,7.9,1,Coop Sverige:4|ICA Gruppen:3|Unknown:1,5049,0,ok
se,Sverige,1430,Munkedal,11980,1040,store_count_proxy,9,3333,ICA Gruppen,44.4,7.5,3,ICA Gruppen:4|Unknown:3|Coop Sverige:1|Axfood:1,5049,0,ok
se,Sverige,1435,Tanum,10080,1321,store_count_proxy,10,3400,ICA Gruppen,40,9.9,3,ICA Gruppen:4|Unknown:3|Coop Sverige:3,5049,0,ok
se,Sverige,1438,Dals-Ed,14150,843,store_count_proxy,4,3750,Axfood,50,2.8,1,Axfood:2|Coop Sverige:1|Unknown:1,5049,0,ok
se,Sverige,1439,Färgelanda,9400,744,store_count_proxy,5,3600,Coop Sverige,40,5.3,2,Coop Sverige:2|Unknown:2|ICA Gruppen:1,5049,0,ok
se,Sverige,1440,Ale,58270,646,store_count_proxy,12,2222,ICA Gruppen,25,2.1,3,ICA Gruppen:3|Coop Sverige:3|Unknown:3|Axfood:2|Lidl:1,5049,0,ok
se,Sverige,1441,Lerum,24570,780,store_count_proxy,12,2639,ICA Gruppen,33.3,4.9,4,ICA Gruppen:4|Unknown:4|Axfood:2|Coop Sverige:1|Lidl:1,5049,0,ok
se,Sverige,1442,Vårgårda,15460,741,store_count_proxy,3,3333,Coop Sverige,33.3,1.9,0,Coop Sverige:1|Axfood:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1443,Bollebygd,8520,466,store_count_proxy,5,3600,Axfood,40,5.9,2,Axfood:2|Unknown:2|ICA Gruppen:1,5049,0,ok
se,Sverige,1444,Grästorp,22000,430,store_count_proxy,1,10000,Axfood,100,0.5,0,Axfood:1,5049,0,ok
se,Sverige,1445,Essunga,14090,1130,store_count_proxy,8,5938,Unknown,75,5.7,6,Unknown:6|Axfood:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1446,Karlsborg,22890,671,store_count_proxy,8,3125,ICA Gruppen,37.5,3.5,3,ICA Gruppen:3|Unknown:3|Axfood:1|Coop Sverige:1,5049,0,ok
se,Sverige,1447,Gullspång,15330,602,store_count_proxy,2,10000,ICA Gruppen,100,1.3,0,ICA Gruppen:2,5049,0,ok
se,Sverige,1452,Tranemo,14380,621,store_count_proxy,6,5000,ICA Gruppen,66.7,4.2,1,ICA Gruppen:4|Axfood:1|Unknown:1,5049,0,ok
se,Sverige,1460,Bengtsfors,12150,680,store_count_proxy,9,2840,ICA Gruppen,33.3,7.4,3,ICA Gruppen:3|Unknown:3|Coop Sverige:2|Axfood:1,5049,0,ok
se,Sverige,1461,Mellerud,27640,671,store_count_proxy,8,2500,Axfood,25,2.9,2,Axfood:2|Unknown:2|Coop Sverige:2|ICA Gruppen:2,5049,0,ok
se,Sverige,1462,Lilla Edet,53240,485,store_count_proxy,7,5918,Unknown,71.4,1.3,5,Unknown:5|ICA Gruppen:2,5049,0,ok
se,Sverige,1463,Mark,42580,352,store_count_proxy,17,2388,ICA Gruppen,29.4,4,5,ICA Gruppen:5|Unknown:5|Axfood:3|Coop Sverige:3|Lidl:1,5049,0,ok
se,Sverige,1465,Svenljunga,10700,450,store_count_proxy,7,2653,Axfood,28.6,6.5,2,Axfood:2|Unknown:2|ICA Gruppen:2|Coop Sverige:1,5049,0,ok
se,Sverige,1466,Herrljunga,9190,613,store_count_proxy,6,2778,Axfood,33.3,6.5,1,Axfood:2|ICA Gruppen:2|Coop Sverige:1|Unknown:1,5049,0,ok
se,Sverige,1470,Vara,10860,539,store_count_proxy,9,3333,ICA Gruppen,44.4,8.3,1,ICA Gruppen:4|Axfood:3|Unknown:1|Coop Sverige:1,5049,0,ok
se,Sverige,1471,Götene,579281,450,store_count_proxy,5,2800,Coop Sverige,40,0.1,1,Coop Sverige:2|ICA Gruppen:1|Axfood:1|Unknown:1,5049,0,ok
se,Sverige,1472,Tibro,10640,495,store_count_proxy,6,3889,Unknown,50,5.6,3,Unknown:3|ICA Gruppen:2|Coop Sverige:1,5049,0,ok
se,Sverige,1473,Töreboda,23400,299,store_count_proxy,9,3086,Unknown,44.4,3.8,4,Unknown:4|Axfood:2|Coop Sverige:2|ICA Gruppen:1,5049,0,ok
se,Sverige,1480,Göteborg,587549,450,store_count_proxy,272,3566,Unknown,54,4.6,147,Unknown:147|Axfood:49|ICA Gruppen:40|Coop Sverige:26|Lidl:10,5049,0,ok
se,Sverige,1481,Mölndal,105264,274,store_count_proxy,28,4515,Unknown,64.3,2.7,18,Unknown:18|Coop Sverige:4|ICA Gruppen:3|Axfood:2|Lidl:1,5049,0,ok
se,Sverige,1482,Kungälv,68230,330,store_count_proxy,22,3099,Unknown,45.5,3.2,10,Unknown:10|Axfood:6|ICA Gruppen:3|Coop Sverige:2|Bergendahls:1,5049,0,ok
se,Sverige,1484,Lysekil,43490,298,store_count_proxy,9,3333,ICA Gruppen,33.3,2.1,3,ICA Gruppen:3|Coop Sverige:3|Unknown:3,5049,0,ok
se,Sverige,1485,Uddevalla,56260,356,store_count_proxy,25,2736,Unknown,44,4.4,11,Unknown:11|ICA Gruppen:5|Coop Sverige:4|Axfood:2|Lidl:2|Bergendahls:1,5049,0,ok
se,Sverige,1486,Strömstad,22950,253,store_count_proxy,19,5734,Unknown,73.7,8.3,14,Unknown:14|ICA Gruppen:3|Axfood:1|Coop Sverige:1,5049,0,ok
se,Sverige,1487,Vänersborg,34190,305,store_count_proxy,16,2969,Unknown,43.8,4.7,7,Unknown:7|Axfood:4|ICA Gruppen:3|Lidl:1|Coop Sverige:1,5049,0,ok
se,Sverige,1488,Trollhättan,69190,362,store_count_proxy,21,2154,Coop Sverige,28.6,3,2,Coop Sverige:6|Axfood:5|ICA Gruppen:5|Unknown:2|Lidl:2|Bergendahls:1,5049,0,ok
se,Sverige,1489,Alingsås,46390,445,store_count_proxy,12,2778,ICA Gruppen,41.7,2.6,2,ICA Gruppen:5|Axfood:3|Unknown:2|Coop Sverige:1|Lidl:1,5049,0,ok
se,Sverige,1490,Borås,42280,683,store_count_proxy,36,2886,Unknown,38.9,8.5,14,Unknown:14|ICA Gruppen:12|Coop Sverige:5|Axfood:2|Lidl:2|Bergendahls:1,5049,0,ok
se,Sverige,1491,Ulricehamn,21300,459,store_count_proxy,10,2800,ICA Gruppen,40,4.7,3,ICA Gruppen:4|Unknown:3|Lidl:1|Coop Sverige:1|Axfood:1,5049,0,ok
se,Sverige,1492,Åmål,10720,407,store_count_proxy,7,2653,Coop Sverige,28.6,6.5,2,Coop Sverige:2|Unknown:2|Axfood:2|ICA Gruppen:1,5049,0,ok
se,Sverige,1493,Mariestad,53650,692,store_count_proxy,16,3750,Unknown,56.3,3,9,Unknown:9|Coop Sverige:3|ICA Gruppen:2|Lidl:1|Axfood:1,5049,0,ok
