fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
1973005857;57;178;18383.3;1139548.0;2025-12-16;Nordøstarktisk torsk (10 761 kg) | Sei (4 882 kg) | Kveite (1 405 kg)
1973007387;44;251;23657.2;166530.0;2025-12-02;Sei (11 515 kg) | Nordøstarktisk hyse (10 204 kg) | Brosme (734 kg)
1973007843;11;38;12705.1;622913.0;2025-09-25;Nordøstarktisk torsk (11 072 kg) | Kongekrabbe  hann- (1 465 kg) | Kongekrabbe  hunn- (96 kg)
1973010542;19;72;6807.0;640196.0;2025-09-24;Nordøstarktisk torsk (5 432 kg) | Kongekrabbe  hann- (1 326 kg) | Kongekrabbe  hunn- (49 kg)
1973011832;14;75;38632.3;1829386.0;2025-12-16;Nordøstarktisk torsk (34 920 kg) | Torsk (2 649 kg) | Sei (313 kg)
1973013127;34;105;8303.3;368468.0;2025-12-22;Dypvannsreke (8 156 kg) | Sjøkreps (128 kg) | Sei (10 kg)
1974000185;24;113;10355.5;262676.0;2025-11-18;Nordøstarktisk torsk (5 084 kg) | Nordøstarktisk hyse (2 875 kg) | Sei (1 156 kg)
1974000267;18;111;13650.2;194296.0;2025-12-05;Sei (7 596 kg) | Nordøstarktisk torsk (4 259 kg) | Hyse (954 kg)
1974000469;45;319;12967.2;148940.0;2025-11-12;Kveite (4 038 kg) | Breiflabb (2 360 kg) | Nordøstarktisk torsk (2 050 kg)
1974001129;36;55;19708.6;26091.0;2025-12-30;Taskekrabbe (19 410 kg) | Hyse (270 kg) | Torsk (20 kg)
1974002186;20;60;13043.0;619925.0;2025-12-17;Nordøstarktisk torsk (11 598 kg) | Kongekrabbe  hann- (1 382 kg) | Kongekrabbe  hunn- (40 kg)
1974002413;32;89;16211.0;1230788.0;2025-12-18;Nordøstarktisk torsk (13 584 kg) | Kongekrabbe  hann- (1 512 kg) | Kveite (955 kg)
1974003285;12;49;1480.4;30671.0;2025-11-25;Makrell (797 kg) | Sei (305 kg) | Torsk (177 kg)
