Konsumgrp,ContentsCode,Tid,Konsumgrp_label,ContentsCode_label,Tid_label,value
01,KpiIndMnd,2019M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2019M12,103.9
01,KpiIndMnd,2020M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M01,106.9
01,KpiIndMnd,2020M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M02,109.8
01,KpiIndMnd,2020M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M03,109.5
01,KpiIndMnd,2020M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M04,110.5
01,KpiIndMnd,2020M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M05,109.8
01,KpiIndMnd,2020M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M06,108.9
01,KpiIndMnd,2020M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M07,112.5
01,KpiIndMnd,2020M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M08,111.5
01,KpiIndMnd,2020M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M09,111
01,KpiIndMnd,2020M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M10,110.1
01,KpiIndMnd,2020M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M11,109.6
01,KpiIndMnd,2020M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2020M12,106.8
01,KpiIndMnd,2021M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M01,107.7
01,KpiIndMnd,2021M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M02,109.9
01,KpiIndMnd,2021M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M03,109.2
01,KpiIndMnd,2021M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M04,108.2
01,KpiIndMnd,2021M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M05,107.6
01,KpiIndMnd,2021M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M06,107
01,KpiIndMnd,2021M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M07,109.4
01,KpiIndMnd,2021M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M08,108.3
01,KpiIndMnd,2021M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M09,106.8
01,KpiIndMnd,2021M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M10,105.7
01,KpiIndMnd,2021M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M11,105.6
01,KpiIndMnd,2021M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2021M12,104.8
01,KpiIndMnd,2022M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M01,106
01,KpiIndMnd,2022M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M02,110.8
01,KpiIndMnd,2022M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M03,109.2
01,KpiIndMnd,2022M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M04,110
01,KpiIndMnd,2022M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M05,110.4
01,KpiIndMnd,2022M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M06,112.3
01,KpiIndMnd,2022M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M07,120.8
01,KpiIndMnd,2022M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M08,119.5
01,KpiIndMnd,2022M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M09,119.7
01,KpiIndMnd,2022M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M10,119.5
01,KpiIndMnd,2022M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M11,119
01,KpiIndMnd,2022M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2022M12,116.8
01,KpiIndMnd,2023M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M01,118.7
01,KpiIndMnd,2023M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M02,120.6
01,KpiIndMnd,2023M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M03,118.6
01,KpiIndMnd,2023M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M04,121.6
01,KpiIndMnd,2023M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M05,124.4
01,KpiIndMnd,2023M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M06,127.4
01,KpiIndMnd,2023M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M07,131.5
01,KpiIndMnd,2023M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M08,130.2
01,KpiIndMnd,2023M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M09,128.6
01,KpiIndMnd,2023M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M10,129.7
01,KpiIndMnd,2023M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M11,129.8
01,KpiIndMnd,2023M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2023M12,127.2
01,KpiIndMnd,2024M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M01,129
01,KpiIndMnd,2024M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M02,128.2
01,KpiIndMnd,2024M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M03,125.8
01,KpiIndMnd,2024M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M04,129.9
01,KpiIndMnd,2024M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M05,131.1
01,KpiIndMnd,2024M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M06,133.6
01,KpiIndMnd,2024M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M07,137.9
01,KpiIndMnd,2024M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M08,136.1
01,KpiIndMnd,2024M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M09,133.8
01,KpiIndMnd,2024M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M10,134.7
01,KpiIndMnd,2024M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M11,135.3
01,KpiIndMnd,2024M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2024M12,132.3
01,KpiIndMnd,2025M01,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M01,135.4
01,KpiIndMnd,2025M02,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M02,137.8
