"Tuotteet toimialoittain (CPA 2015, MIG)",Kuukausi,Indeksisarja,Tiedot,"Tuotteet toimialoittain (CPA 2015, MIG)_label",Kuukausi_label,Indeksisarja_label,Tiedot_label,value
10,2019M11,1,pisteluku15,10 Food products,2019M11,Producer price index for manufactured products,Point figure (2015=100),101.5
10,2019M12,1,pisteluku15,10 Food products,2019M12,Producer price index for manufactured products,Point figure (2015=100),101.3
10,2020M01,1,pisteluku15,10 Food products,2020M01,Producer price index for manufactured products,Point figure (2015=100),101.7
10,2020M02,1,pisteluku15,10 Food products,2020M02,Producer price index for manufactured products,Point figure (2015=100),101.8
10,2020M03,1,pisteluku15,10 Food products,2020M03,Producer price index for manufactured products,Point figure (2015=100),102
10,2020M04,1,pisteluku15,10 Food products,2020M04,Producer price index for manufactured products,Point figure (2015=100),101.7
10,2020M05,1,pisteluku15,10 Food products,2020M05,Producer price index for manufactured products,Point figure (2015=100),102.8
10,2020M06,1,pisteluku15,10 Food products,2020M06,Producer price index for manufactured products,Point figure (2015=100),102.9
10,2020M07,1,pisteluku15,10 Food products,2020M07,Producer price index for manufactured products,Point figure (2015=100),103
10,2020M08,1,pisteluku15,10 Food products,2020M08,Producer price index for manufactured products,Point figure (2015=100),102.9
10,2020M09,1,pisteluku15,10 Food products,2020M09,Producer price index for manufactured products,Point figure (2015=100),102.2
10,2020M10,1,pisteluku15,10 Food products,2020M10,Producer price index for manufactured products,Point figure (2015=100),102.3
10,2020M11,1,pisteluku15,10 Food products,2020M11,Producer price index for manufactured products,Point figure (2015=100),102.5
10,2020M12,1,pisteluku15,10 Food products,2020M12,Producer price index for manufactured products,Point figure (2015=100),102.4
10,2021M01,1,pisteluku15,10 Food products,2021M01,Producer price index for manufactured products,Point figure (2015=100),102.3
10,2021M02,1,pisteluku15,10 Food products,2021M02,Producer price index for manufactured products,Point figure (2015=100),102.4
10,2021M03,1,pisteluku15,10 Food products,2021M03,Producer price index for manufactured products,Point figure (2015=100),102.7
10,2021M04,1,pisteluku15,10 Food products,2021M04,Producer price index for manufactured products,Point figure (2015=100),102.7
10,2021M05,1,pisteluku15,10 Food products,2021M05,Producer price index for manufactured products,Point figure (2015=100),103.1
10,2021M06,1,pisteluku15,10 Food products,2021M06,Producer price index for manufactured products,Point figure (2015=100),103.7
10,2021M07,1,pisteluku15,10 Food products,2021M07,Producer price index for manufactured products,Point figure (2015=100),104.2
10,2021M08,1,pisteluku15,10 Food products,2021M08,Producer price index for manufactured products,Point figure (2015=100),104.8
10,2021M09,1,pisteluku15,10 Food products,2021M09,Producer price index for manufactured products,Point figure (2015=100),105.3
10,2021M10,1,pisteluku15,10 Food products,2021M10,Producer price index for manufactured products,Point figure (2015=100),105.4
10,2021M11,1,pisteluku15,10 Food products,2021M11,Producer price index for manufactured products,Point figure (2015=100),105.9
10,2021M12,1,pisteluku15,10 Food products,2021M12,Producer price index for manufactured products,Point figure (2015=100),106.9
10,2022M01,1,pisteluku15,10 Food products,2022M01,Producer price index for manufactured products,Point figure (2015=100),109.1
10,2022M02,1,pisteluku15,10 Food products,2022M02,Producer price index for manufactured products,Point figure (2015=100),110.6
10,2022M03,1,pisteluku15,10 Food products,2022M03,Producer price index for manufactured products,Point figure (2015=100),112.4
10,2022M04,1,pisteluku15,10 Food products,2022M04,Producer price index for manufactured products,Point figure (2015=100),114.5
10,2022M05,1,pisteluku15,10 Food products,2022M05,Producer price index for manufactured products,Point figure (2015=100),117.9
10,2022M06,1,pisteluku15,10 Food products,2022M06,Producer price index for manufactured products,Point figure (2015=100),120.9
10,2022M07,1,pisteluku15,10 Food products,2022M07,Producer price index for manufactured products,Point figure (2015=100),123.7
10,2022M08,1,pisteluku15,10 Food products,2022M08,Producer price index for manufactured products,Point figure (2015=100),125.4
10,2022M09,1,pisteluku15,10 Food products,2022M09,Producer price index for manufactured products,Point figure (2015=100),127.1
10,2022M10,1,pisteluku15,10 Food products,2022M10,Producer price index for manufactured products,Point figure (2015=100),128.5
10,2022M11,1,pisteluku15,10 Food products,2022M11,Producer price index for manufactured products,Point figure (2015=100),129.8
10,2022M12,1,pisteluku15,10 Food products,2022M12,Producer price index for manufactured products,Point figure (2015=100),129.7
10,2023M01,1,pisteluku15,10 Food products,2023M01,Producer price index for manufactured products,Point figure (2015=100),130.6
10,2023M02,1,pisteluku15,10 Food products,2023M02,Producer price index for manufactured products,Point figure (2015=100),130.4
10,2023M03,1,pisteluku15,10 Food products,2023M03,Producer price index for manufactured products,Point figure (2015=100),132.6
10,2023M04,1,pisteluku15,10 Food products,2023M04,Producer price index for manufactured products,Point figure (2015=100),132.3
10,2023M05,1,pisteluku15,10 Food products,2023M05,Producer price index for manufactured products,Point figure (2015=100),132.2
10,2023M06,1,pisteluku15,10 Food products,2023M06,Producer price index for manufactured products,Point figure (2015=100),132
10,2023M07,1,pisteluku15,10 Food products,2023M07,Producer price index for manufactured products,Point figure (2015=100),131.6
10,2023M08,1,pisteluku15,10 Food products,2023M08,Producer price index for manufactured products,Point figure (2015=100),130.2
10,2023M09,1,pisteluku15,10 Food products,2023M09,Producer price index for manufactured products,Point figure (2015=100),129.4
10,2023M10,1,pisteluku15,10 Food products,2023M10,Producer price index for manufactured products,Point figure (2015=100),129.5
10,2023M11,1,pisteluku15,10 Food products,2023M11,Producer price index for manufactured products,Point figure (2015=100),130.1
10,2023M12,1,pisteluku15,10 Food products,2023M12,Producer price index for manufactured products,Point figure (2015=100),130.8
10,2024M01,1,pisteluku15,10 Food products,2024M01,Producer price index for manufactured products,Point figure (2015=100),131.5
10,2024M02,1,pisteluku15,10 Food products,2024M02,Producer price index for manufactured products,Point figure (2015=100),131.2
10,2024M03,1,pisteluku15,10 Food products,2024M03,Producer price index for manufactured products,Point figure (2015=100),130.9
10,2024M04,1,pisteluku15,10 Food products,2024M04,Producer price index for manufactured products,Point figure (2015=100),130.4
10,2024M05,1,pisteluku15,10 Food products,2024M05,Producer price index for manufactured products,Point figure (2015=100),130.8
10,2024M06,1,pisteluku15,10 Food products,2024M06,Producer price index for manufactured products,Point figure (2015=100),130.4
10,2024M07,1,pisteluku15,10 Food products,2024M07,Producer price index for manufactured products,Point figure (2015=100),130.7
10,2024M08,1,pisteluku15,10 Food products,2024M08,Producer price index for manufactured products,Point figure (2015=100),130.5
10,2024M09,1,pisteluku15,10 Food products,2024M09,Producer price index for manufactured products,Point figure (2015=100),130.8
10,2024M10,1,pisteluku15,10 Food products,2024M10,Producer price index for manufactured products,Point figure (2015=100),130.6
10,2024M11,1,pisteluku15,10 Food products,2024M11,Producer price index for manufactured products,Point figure (2015=100),131
10,2024M12,1,pisteluku15,10 Food products,2024M12,Producer price index for manufactured products,Point figure (2015=100),131.2
10,2025M01,1,pisteluku15,10 Food products,2025M01,Producer price index for manufactured products,Point figure (2015=100),131.5
10,2025M02,1,pisteluku15,10 Food products,2025M02,Producer price index for manufactured products,Point figure (2015=100),132.2
10,2025M03,1,pisteluku15,10 Food products,2025M03,Producer price index for manufactured products,Point figure (2015=100),133.2
10,2025M04,1,pisteluku15,10 Food products,2025M04,Producer price index for manufactured products,Point figure (2015=100),133.7
10,2025M05,1,pisteluku15,10 Food products,2025M05,Producer price index for manufactured products,Point figure (2015=100),135.1
10,2025M06,1,pisteluku15,10 Food products,2025M06,Producer price index for manufactured products,Point figure (2015=100),135.6
10,2025M07,1,pisteluku15,10 Food products,2025M07,Producer price index for manufactured products,Point figure (2015=100),135.6
10,2025M08,1,pisteluku15,10 Food products,2025M08,Producer price index for manufactured products,Point figure (2015=100),136
10,2025M09,1,pisteluku15,10 Food products,2025M09,Producer price index for manufactured products,Point figure (2015=100),137.3
10,2025M10,1,pisteluku15,10 Food products,2025M10,Producer price index for manufactured products,Point figure (2015=100),137.6
10,2025M11,1,pisteluku15,10 Food products,2025M11,Producer price index for manufactured products,Point figure (2015=100),137.1
10,2025M12,1,pisteluku15,10 Food products,2025M12,Producer price index for manufactured products,Point figure (2015=100),137
10,2026M01,1,pisteluku15,10 Food products,2026M01,Producer price index for manufactured products,Point figure (2015=100),136.9
