SPIN2015,ContentsCode,Tid,SPIN2015_label,ContentsCode_label,Tid_label,value
10,000000SA,2022M02,Food products,Producer Price Index (PPI),2022M02,110
10,000000SA,2022M03,Food products,Producer Price Index (PPI),2022M03,113.3
10,000000SA,2022M04,Food products,Producer Price Index (PPI),2022M04,116.7
10,000000SA,2022M05,Food products,Producer Price Index (PPI),2022M05,120.9
10,000000SA,2022M06,Food products,Producer Price Index (PPI),2022M06,122
10,000000SA,2022M07,Food products,Producer Price Index (PPI),2022M07,124.8
10,000000SA,2022M08,Food products,Producer Price Index (PPI),2022M08,125.2
10,000000SA,2022M09,Food products,Producer Price Index (PPI),2022M09,126.6
10,000000SA,2022M10,Food products,Producer Price Index (PPI),2022M10,128.4
10,000000SA,2022M11,Food products,Producer Price Index (PPI),2022M11,128.6
10,000000SA,2022M12,Food products,Producer Price Index (PPI),2022M12,129.4
10,000000SA,2023M01,Food products,Producer Price Index (PPI),2023M01,132.5
10,000000SA,2023M02,Food products,Producer Price Index (PPI),2023M02,133.5
10,000000SA,2023M03,Food products,Producer Price Index (PPI),2023M03,134.7
10,000000SA,2023M04,Food products,Producer Price Index (PPI),2023M04,134.1
10,000000SA,2023M05,Food products,Producer Price Index (PPI),2023M05,134
10,000000SA,2023M06,Food products,Producer Price Index (PPI),2023M06,134.3
10,000000SA,2023M07,Food products,Producer Price Index (PPI),2023M07,134.3
10,000000SA,2023M08,Food products,Producer Price Index (PPI),2023M08,133.8
10,000000SA,2023M09,Food products,Producer Price Index (PPI),2023M09,132.5
10,000000SA,2023M10,Food products,Producer Price Index (PPI),2023M10,132.6
10,000000SA,2023M11,Food products,Producer Price Index (PPI),2023M11,131.7
10,000000SA,2023M12,Food products,Producer Price Index (PPI),2023M12,131.7
10,000000SA,2024M01,Food products,Producer Price Index (PPI),2024M01,132.1
10,000000SA,2024M02,Food products,Producer Price Index (PPI),2024M02,133.3
10,000000SA,2024M03,Food products,Producer Price Index (PPI),2024M03,133.5
10,000000SA,2024M04,Food products,Producer Price Index (PPI),2024M04,134.9
10,000000SA,2024M05,Food products,Producer Price Index (PPI),2024M05,136
10,000000SA,2024M06,Food products,Producer Price Index (PPI),2024M06,136.1
10,000000SA,2024M07,Food products,Producer Price Index (PPI),2024M07,135.7
10,000000SA,2024M08,Food products,Producer Price Index (PPI),2024M08,136.2
10,000000SA,2024M09,Food products,Producer Price Index (PPI),2024M09,136.1
10,000000SA,2024M10,Food products,Producer Price Index (PPI),2024M10,136.9
10,000000SA,2024M11,Food products,Producer Price Index (PPI),2024M11,138.5
10,000000SA,2024M12,Food products,Producer Price Index (PPI),2024M12,139.7
10,000000SA,2025M01,Food products,Producer Price Index (PPI),2025M01,140.4
10,000000SA,2025M02,Food products,Producer Price Index (PPI),2025M02,141.1
10,000000SA,2025M03,Food products,Producer Price Index (PPI),2025M03,142.2
10,000000SA,2025M04,Food products,Producer Price Index (PPI),2025M04,144
10,000000SA,2025M05,Food products,Producer Price Index (PPI),2025M05,144.1
10,000000SA,2025M06,Food products,Producer Price Index (PPI),2025M06,144.6
10,000000SA,2025M07,Food products,Producer Price Index (PPI),2025M07,144.6
10,000000SA,2025M08,Food products,Producer Price Index (PPI),2025M08,144.8
10,000000SA,2025M09,Food products,Producer Price Index (PPI),2025M09,145.2
10,000000SA,2025M10,Food products,Producer Price Index (PPI),2025M10,144.2
10,000000SA,2025M11,Food products,Producer Price Index (PPI),2025M11,145.2
10,000000SA,2025M12,Food products,Producer Price Index (PPI),2025M12,144.4
10,000000SA,2026M01,Food products,Producer Price Index (PPI),2026M01,145
