Kuukausi,Hyödyke,Tiedot,Kuukausi_label,Hyödyke_label,Tiedot_label,value
2019M03,01,ip_ykhi,2019M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.53
2019M04,01,ip_ykhi,2019M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.9
2019M05,01,ip_ykhi,2019M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.91
2019M06,01,ip_ykhi,2019M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.2
2019M07,01,ip_ykhi,2019M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",78.64
2019M08,01,ip_ykhi,2019M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.89
2019M09,01,ip_ykhi,2019M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.22
2019M10,01,ip_ykhi,2019M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.4
2019M11,01,ip_ykhi,2019M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",79.59
2019M12,01,ip_ykhi,2019M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.32
2020M01,01,ip_ykhi,2020M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.64
2020M02,01,ip_ykhi,2020M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.3
2020M03,01,ip_ykhi,2020M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.94
2020M04,01,ip_ykhi,2020M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.73
2020M05,01,ip_ykhi,2020M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.79
2020M06,01,ip_ykhi,2020M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.11
2020M07,01,ip_ykhi,2020M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.95
2020M08,01,ip_ykhi,2020M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.6
2020M09,01,ip_ykhi,2020M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.8
2020M10,01,ip_ykhi,2020M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.76
2020M11,01,ip_ykhi,2020M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.79
2020M12,01,ip_ykhi,2020M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.47
2021M01,01,ip_ykhi,2021M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.93
2021M02,01,ip_ykhi,2021M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.18
2021M03,01,ip_ykhi,2021M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.3
2021M04,01,ip_ykhi,2021M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.42
2021M05,01,ip_ykhi,2021M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.17
2021M06,01,ip_ykhi,2021M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.81
2021M07,01,ip_ykhi,2021M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.93
2021M08,01,ip_ykhi,2021M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",80.98
2021M09,01,ip_ykhi,2021M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.26
2021M10,01,ip_ykhi,2021M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.56
2021M11,01,ip_ykhi,2021M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",82.04
2021M12,01,ip_ykhi,2021M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",81.8
2022M01,01,ip_ykhi,2022M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",83.52
2022M02,01,ip_ykhi,2022M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",84.82
