freq,unit,coicop,geo,time,freq_label,unit_label,coicop_label,geo_label,time_label,value
M,I15,CP01,DK,2019-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-05,104.2
M,I15,CP01,DK,2019-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-06,105.0
M,I15,CP01,DK,2019-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-07,105.9
M,I15,CP01,DK,2019-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-08,104.8
M,I15,CP01,DK,2019-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-09,104.4
M,I15,CP01,DK,2019-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-10,104.2
M,I15,CP01,DK,2019-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-11,104.4
M,I15,CP01,DK,2019-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2019-12,103.6
M,I15,CP01,DK,2020-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-01,104.1
M,I15,CP01,DK,2020-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-02,104.9
M,I15,CP01,DK,2020-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-03,105.3
M,I15,CP01,DK,2020-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-04,105.1
M,I15,CP01,DK,2020-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-05,105.4
M,I15,CP01,DK,2020-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-06,105.8
M,I15,CP01,DK,2020-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-07,106.6
M,I15,CP01,DK,2020-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-08,105.5
M,I15,CP01,DK,2020-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-09,104.5
M,I15,CP01,DK,2020-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-10,104.8
M,I15,CP01,DK,2020-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-11,104.9
M,I15,CP01,DK,2020-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2020-12,103.8
M,I15,CP01,DK,2021-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-01,104.4
M,I15,CP01,DK,2021-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-02,105.0
M,I15,CP01,DK,2021-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-03,104.2
M,I15,CP01,DK,2021-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-04,105.3
M,I15,CP01,DK,2021-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-05,105.4
M,I15,CP01,DK,2021-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-06,105.5
M,I15,CP01,DK,2021-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-07,107.2
M,I15,CP01,DK,2021-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-08,106.1
M,I15,CP01,DK,2021-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-09,106.1
M,I15,CP01,DK,2021-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-10,106.2
M,I15,CP01,DK,2021-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-11,107.1
M,I15,CP01,DK,2021-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2021-12,105.5
M,I15,CP01,DK,2022-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-01,108.6
M,I15,CP01,DK,2022-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-02,110.8
M,I15,CP01,DK,2022-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-03,110.8
M,I15,CP01,DK,2022-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-04,112.8
M,I15,CP01,DK,2022-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-05,116.0
M,I15,CP01,DK,2022-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-06,119.2
M,I15,CP01,DK,2022-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-07,122.9
M,I15,CP01,DK,2022-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-08,123.0
M,I15,CP01,DK,2022-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-09,122.3
M,I15,CP01,DK,2022-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-10,122.9
M,I15,CP01,DK,2022-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-11,123.5
M,I15,CP01,DK,2022-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2022-12,121.2
M,I15,CP01,DK,2023-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-01,124.3
M,I15,CP01,DK,2023-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-02,127.2
M,I15,CP01,DK,2023-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-03,128.3
M,I15,CP01,DK,2023-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-04,127.6
M,I15,CP01,DK,2023-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-05,128.3
M,I15,CP01,DK,2023-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-06,129.7
M,I15,CP01,DK,2023-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-07,131.0
M,I15,CP01,DK,2023-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-08,129.2
M,I15,CP01,DK,2023-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-09,128.4
M,I15,CP01,DK,2023-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-10,127.4
M,I15,CP01,DK,2023-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-11,127.4
M,I15,CP01,DK,2023-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2023-12,123.9
M,I15,CP01,DK,2024-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-01,127.0
M,I15,CP01,DK,2024-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-02,126.5
M,I15,CP01,DK,2024-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-03,127.3
M,I15,CP01,DK,2024-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-04,128.8
M,I15,CP01,DK,2024-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-05,129.2
M,I15,CP01,DK,2024-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-06,130.5
M,I15,CP01,DK,2024-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-07,132.0
M,I15,CP01,DK,2024-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-08,131.5
M,I15,CP01,DK,2024-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-09,131.9
M,I15,CP01,DK,2024-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-10,132.4
M,I15,CP01,DK,2024-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-11,132.4
M,I15,CP01,DK,2024-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2024-12,129.7
M,I15,CP01,DK,2025-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-01,132.6
M,I15,CP01,DK,2025-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-02,133.7
M,I15,CP01,DK,2025-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-03,133.7
M,I15,CP01,DK,2025-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-04,133.6
M,I15,CP01,DK,2025-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-05,135.9
M,I15,CP01,DK,2025-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-06,137.3
M,I15,CP01,DK,2025-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-07,140.6
M,I15,CP01,DK,2025-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-08,139.1
M,I15,CP01,DK,2025-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-09,138.9
M,I15,CP01,DK,2025-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-10,138.3
M,I15,CP01,DK,2025-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-11,137.1
M,I15,CP01,DK,2025-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Denmark,2025-12,134.3
M,I15,CP01,FI,2015-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-01,101.89
M,I15,CP01,FI,2015-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-02,100.89
M,I15,CP01,FI,2015-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-03,100.92
M,I15,CP01,FI,2015-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-04,100.56
