VAREGR,ENHED,ContentsCode,Tid,VAREGR_label,ENHED_label,ContentsCode_label,Tid_label,value
01,100,PRIS07,2018M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M04,75.49
01,100,PRIS07,2018M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M05,75.51
01,100,PRIS07,2018M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M06,75.51
01,100,PRIS07,2018M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M07,76.04
01,100,PRIS07,2018M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M08,75.25
01,100,PRIS07,2018M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M09,75.67
01,100,PRIS07,2018M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M10,75.54
01,100,PRIS07,2018M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M11,75.71
01,100,PRIS07,2018M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2018M12,75.4
01,100,PRIS07,2019M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M01,76.42
01,100,PRIS07,2019M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M02,76.67
01,100,PRIS07,2019M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M03,76.44
01,100,PRIS07,2019M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M04,75.95
01,100,PRIS07,2019M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M05,76.47
01,100,PRIS07,2019M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M06,77.03
01,100,PRIS07,2019M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M07,77.73
01,100,PRIS07,2019M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M08,76.94
01,100,PRIS07,2019M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M09,76.65
01,100,PRIS07,2019M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M10,76.47
01,100,PRIS07,2019M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M11,76.62
01,100,PRIS07,2019M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2019M12,76.03
01,100,PRIS07,2020M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M01,76.4
01,100,PRIS07,2020M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M02,76.99
01,100,PRIS07,2020M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M03,77.3
01,100,PRIS07,2020M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M04,77.16
01,100,PRIS07,2020M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M05,77.33
01,100,PRIS07,2020M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M06,77.62
01,100,PRIS07,2020M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M07,78.23
01,100,PRIS07,2020M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M08,77.41
01,100,PRIS07,2020M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M09,76.72
01,100,PRIS07,2020M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M10,76.92
01,100,PRIS07,2020M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M11,77.01
01,100,PRIS07,2020M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2020M12,76.21
01,100,PRIS07,2021M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M01,76.62
01,100,PRIS07,2021M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M02,77.03
01,100,PRIS07,2021M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M03,76.44
