freq,na_item,ppp_cat,geo,time,freq_label,na_item_label,ppp_cat_label,geo_label,time_label,value
A,PLI_EU27_2020,A0101,NO,2015,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2015,162.5
A,PLI_EU27_2020,A0101,NO,2016,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2016,162.2
A,PLI_EU27_2020,A0101,NO,2017,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2017,164.6
A,PLI_EU27_2020,A0101,NO,2018,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2018,161.5
A,PLI_EU27_2020,A0101,NO,2019,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2019,157.4
A,PLI_EU27_2020,A0101,NO,2020,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2020,145.4
A,PLI_EU27_2020,A0101,NO,2021,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2021,150.0
A,PLI_EU27_2020,A0101,NO,2022,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2022,145.6
A,PLI_EU27_2020,A0101,NO,2023,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2023,129.6
A,PLI_EU27_2020,A0101,NO,2024,Annual,Price level indices (EU27_2020=100),Food and non-alcoholic beverages,Norway,2024,131.2
