Marked,NaringUtenriks,ContentsCode,Tid,Marked_label,NaringUtenriks_label,ContentsCode_label,Tid_label,value
01,SNN10,Indeksnivo,2020M04,Domestic market,Food products,Producer price index (2021=100),2020M04,97.5
01,SNN10,Indeksnivo,2020M05,Domestic market,Food products,Producer price index (2021=100),2020M05,97.5
01,SNN10,Indeksnivo,2020M06,Domestic market,Food products,Producer price index (2021=100),2020M06,97.6
01,SNN10,Indeksnivo,2020M07,Domestic market,Food products,Producer price index (2021=100),2020M07,98.3
01,SNN10,Indeksnivo,2020M08,Domestic market,Food products,Producer price index (2021=100),2020M08,97.8
01,SNN10,Indeksnivo,2020M09,Domestic market,Food products,Producer price index (2021=100),2020M09,97.2
01,SNN10,Indeksnivo,2020M10,Domestic market,Food products,Producer price index (2021=100),2020M10,97
01,SNN10,Indeksnivo,2020M11,Domestic market,Food products,Producer price index (2021=100),2020M11,97.1
01,SNN10,Indeksnivo,2020M12,Domestic market,Food products,Producer price index (2021=100),2020M12,96.9
01,SNN10,Indeksnivo,2021M01,Domestic market,Food products,Producer price index (2021=100),2021M01,96.8
01,SNN10,Indeksnivo,2021M02,Domestic market,Food products,Producer price index (2021=100),2021M02,97.4
01,SNN10,Indeksnivo,2021M03,Domestic market,Food products,Producer price index (2021=100),2021M03,97.8
01,SNN10,Indeksnivo,2021M04,Domestic market,Food products,Producer price index (2021=100),2021M04,98.7
01,SNN10,Indeksnivo,2021M05,Domestic market,Food products,Producer price index (2021=100),2021M05,98.5
01,SNN10,Indeksnivo,2021M06,Domestic market,Food products,Producer price index (2021=100),2021M06,98.6
01,SNN10,Indeksnivo,2021M07,Domestic market,Food products,Producer price index (2021=100),2021M07,100.4
01,SNN10,Indeksnivo,2021M08,Domestic market,Food products,Producer price index (2021=100),2021M08,101
01,SNN10,Indeksnivo,2021M09,Domestic market,Food products,Producer price index (2021=100),2021M09,101
01,SNN10,Indeksnivo,2021M10,Domestic market,Food products,Producer price index (2021=100),2021M10,102.3
01,SNN10,Indeksnivo,2021M11,Domestic market,Food products,Producer price index (2021=100),2021M11,103.4
01,SNN10,Indeksnivo,2021M12,Domestic market,Food products,Producer price index (2021=100),2021M12,104.1
01,SNN10,Indeksnivo,2022M01,Domestic market,Food products,Producer price index (2021=100),2022M01,104.7
01,SNN10,Indeksnivo,2022M02,Domestic market,Food products,Producer price index (2021=100),2022M02,106.1
01,SNN10,Indeksnivo,2022M03,Domestic market,Food products,Producer price index (2021=100),2022M03,107.8
01,SNN10,Indeksnivo,2022M04,Domestic market,Food products,Producer price index (2021=100),2022M04,108.6
