year,reporter,reporter_label,partner,partner_label,product,product_label,flow,value_eur,quantity_100kg,quantity_kg,quantity_tonnes,source_url
2022,NL,Netherlands,SE,Sweden,1806,Chocolate and other food preparations containing cocoa,EXPORT,50763390,94734.19,9473419,9473.419,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,DK,Denmark,1801,"Cocoa beans, whole or broken, raw or roasted",EXPORT,142159,296.15,29615,29.615,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,DK,Denmark,1802,"Cocoa shells, husks, skins and other cocoa waste",EXPORT,14503,886.98,88698,88.698,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,DK,Denmark,1803,"Cocoa paste, whether or not defatted",EXPORT,123425,329.05,32905,32.905,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,DK,Denmark,1804,"Cocoa butter, fat and oil",EXPORT,371877,607.26,60726,60.726,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,DK,Denmark,1805,"Cocoa powder, not containing added sugar or other sweetening matter",EXPORT,3162299,10817.24,1081724,1081.724,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,DK,Denmark,1806,Chocolate and other food preparations containing cocoa,EXPORT,48455983,87084.47,8708447,8708.447,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,FI,Finland,1801,"Cocoa beans, whole or broken, raw or roasted",EXPORT,47315,87.77,8777,8.777,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,FI,Finland,1802,"Cocoa shells, husks, skins and other cocoa waste",EXPORT,1737,97.08,9708,9.708,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,NL,Netherlands,FI,Finland,1803,"Cocoa paste, whether or not defatted",EXPORT,8666223,23168.00,2316800,2316.800,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
