code,description,classification,year,country,flow,indicator,kg,product_key,url,error
120110,"Soybeans, seed",Classification of Products CN6,2018,AA All countries together,Imports by countries of origin,V3 Quantity kg,1,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2018&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2019,AA All countries together,Imports by countries of origin,V3 Quantity kg,,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2019&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2020,AA All countries together,Imports by countries of origin,V3 Quantity kg,,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2020&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2021,AA All countries together,Imports by countries of origin,V3 Quantity kg,754,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2021&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2022,AA All countries together,Imports by countries of origin,V3 Quantity kg,18,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2022&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2023,AA All countries together,Imports by countries of origin,V3 Quantity kg,,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2023&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2024,AA All countries together,Imports by countries of origin,V3 Quantity kg,,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2024&Country=AA&Flow=1&Indicators=V3,
120110,"Soybeans, seed",Classification of Products CN6,2025,AA All countries together,Imports by countries of origin,V3 Quantity kg,,"120110 (2012--.) Soya bean seed, for sowing",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120110&Year=2025&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2015,AA All countries together,Imports by countries of origin,V3 Quantity kg,2212058,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2015&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2016,AA All countries together,Imports by countries of origin,V3 Quantity kg,70868467,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2016&Country=AA&Flow=1&Indicators=V3,
