country,theme,source_name,dataset_or_table_id,status,fetch_type,fetch_url,output_file,content_type,http_status,payload_kind,variable_count,list_length,updated,reason,error
FI,trade,StatFin international trade goods and services,statfin_tpulk_pxt_12gq.px,ready,json,https://pxdata.stat.fi/PxWeb/api/v1/en/StatFin/tpulk/statfin_tpulk_pxt_12gq.px,research/data/nordic/registry-metadata/fi-trade-statfin-international-trade-goods-and-services-statfin-tpulk-pxt-12gq-px.json,application/json; charset=utf-8,200,dict,4,,,,
FI,trade,Luke agri food foreign trade,Luke_maa_Ukaup_kk.px,ready,json,https://statdb.luke.fi/PXWeb/api/v1/en/LUKE/maa/05%20Maataloustuotteiden%20ulkomaankauppa/Luke_maa_Ukaup_kk.px,research/data/nordic/registry-metadata/fi-trade-luke-agri-food-foreign-trade-luke-maa-ukaup-kk-px.json,application/json; charset=utf-8,200,dict,5,,,,
FI,trade,Finnish Customs Uljas API,,query_required,manual,,,,,,,,,Uljas requires ifile and query parameters,
FI,agriculture,StatFin ag producer prices,statfin_mthi_pxt_11fp.px,ready,json,https://pxdata.stat.fi/PxWeb/api/v1/en/StatFin/mthi/statfin_mthi_pxt_11fp.px,research/data/nordic/registry-metadata/fi-agriculture-statfin-ag-producer-prices-statfin-mthi-pxt-11fp-px.json,application/json; charset=utf-8,200,dict,3,,,,
FI,agriculture,StatFin ag input purchase prices,statfin_ttohi_pxt_11gv.px,ready,json,https://pxdata.stat.fi/PxWeb/api/v1/en/StatFin/ttohi/statfin_ttohi_pxt_11gv.px,research/data/nordic/registry-metadata/fi-agriculture-statfin-ag-input-purchase-prices-statfin-ttohi-pxt-11gv-px.json,application/json; charset=utf-8,200,dict,3,,,,
FI,agriculture,StatFin economic accounts for agriculture,statfin_eaa_pxt_12d7.px,ready,json,https://pxdata.stat.fi/PxWeb/api/v1/en/StatFin/eaa/statfin_eaa_pxt_12d7.px,research/data/nordic/registry-metadata/fi-agriculture-statfin-economic-accounts-for-agriculture-statfin-eaa-pxt-12d7-px.json,application/json; charset=utf-8,200,dict,3,,,,
FI,agriculture,Luke food commodity balance,02_Ravintotase.px,ready,json,https://statdb.luke.fi/PXWeb/api/v1/en/LUKE/maa/02%20Ravintotase/02_Ravintotase.px,research/data/nordic/registry-metadata/fi-agriculture-luke-food-commodity-balance-02-ravintotase-px.json,application/json; charset=utf-8,200,dict,3,,,,
FI,waste,StatFin municipal waste treatment,statfin_jate_pxt_12cv.px,ready,json,https://pxdata.stat.fi/PxWeb/api/v1/en/StatFin/jate/statfin_jate_pxt_12cv.px,research/data/nordic/registry-metadata/fi-waste-statfin-municipal-waste-treatment-statfin-jate-pxt-12cv-px.json,application/json; charset=utf-8,200,dict,3,,,,
FI,waste,StatFin waste generation by industry,statfin_jate_pxt_12qw.px,ready,json,https://pxdata.stat.fi/PxWeb/api/v1/en/StatFin/jate/statfin_jate_pxt_12qw.px,research/data/nordic/registry-metadata/fi-waste-statfin-waste-generation-by-industry-statfin-jate-pxt-12qw-px.json,application/json; charset=utf-8,200,dict,4,,,,
FI,register,PRH companies API,/companies,query_required,manual,,,,,,,,,endpoint requires search parameters or path values,
FI,register,PRH financial statements API,/financials,query_required,manual,,,,,,,,,endpoint requires search parameters or path values,
FI,register,PRH registered notices API,/{businessId},query_required,manual,,,,,,,,,endpoint requires search parameters or path values,
FI,regulation,Finlex open data service,,query_required,manual,,,,,,,,,Finlex needs document path under API root,
IS,prices,Statistics Iceland CPI,VIS01000.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Efnahagur/visitolur/1_vnv/1_vnv/VIS01000.px,research/data/nordic/registry-metadata/is-prices-statistics-iceland-cpi-vis01000-px.json,application/json; charset=utf-8,200,dict,3,,,,
IS,prices,Statistics Iceland HICP by countries and months,VIS02502.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Efnahagur/visitolur/2_samraemdvnv/samraemdvnv/VIS02502.px,research/data/nordic/registry-metadata/is-prices-statistics-iceland-hicp-by-countries-and-months-vis02502-px.json,application/json; charset=utf-8,200,dict,3,,,,
IS,trade,Statistics Iceland exports and imports by countries,UTA06003.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Efnahagur/utanrikisverslun/1_voruvidskipti/01_voruskipti/UTA06003.px,research/data/nordic/registry-metadata/is-trade-statistics-iceland-exports-and-imports-by-countries-uta06003-px.json,application/json; charset=utf-8,200,dict,3,,,,
IS,trade,Statistics Iceland imports by SITC and countries,UTA06201.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Efnahagur/utanrikisverslun/1_voruvidskipti/01_voruskipti/UTA06201.px,research/data/nordic/registry-metadata/is-trade-statistics-iceland-imports-by-sitc-and-countries-uta06201-px.json,application/json; charset=utf-8,200,dict,4,,,,
IS,agriculture,Statistics Iceland agricultural output,LAN1101.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landbhagreikn/afkomalandbundadarins/LAN1101.px,research/data/nordic/registry-metadata/is-agriculture-statistics-iceland-agricultural-output-lan1101-px.json,application/json; charset=utf-8,200,dict,4,,,,
IS,agriculture,Statistics Iceland meat production,LAN10201.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur/landframleidsla/LAN10201.px,research/data/nordic/registry-metadata/is-agriculture-statistics-iceland-meat-production-lan10201-px.json,application/json; charset=utf-8,200,dict,3,,,,
IS,fisheries,Statistics Iceland aquaculture production,SJA07001.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/sjavarutvegur/fiskeldi/SJA07001.px,research/data/nordic/registry-metadata/is-fisheries-statistics-iceland-aquaculture-production-sja07001-px.json,application/json; charset=utf-8,200,dict,2,,,,
IS,waste,Statistics Iceland waste collection and allocation,UMH04105.px,ready,json,https://px.hagstofa.is/pxen/api/v1/en/Umhverfi/3_efnisflaedi/2_urgangur/UMH04105.px,research/data/nordic/registry-metadata/is-waste-statistics-iceland-waste-collection-and-allocation-umh04105-px.json,application/json; charset=utf-8,200,dict,4,,,,
