node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
matprodusenten-as,MATPRODUSENTEN AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.610 (Produksjon av kornvarer). produksjon av forskjellige matprodukter, samt virksomhet i forbindelse med dette. Produksjon og salg av forskjellige matprodukter, samt virksomhet i forbindelse med dette.",,2026,991988777,https://data.brreg.no/enhetsregisteret/api/enheter/991988777,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.610; ingen Company-rad funnet i lokal DB ved pre-dedup.
m-llehuset-as,MØLLEHUSET AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.610 (Produksjon av kornvarer). Skape aktivitet i gjenstående bygninger etter AS Bjørn, Tøsse Mølle, som i 1993 ble oppkjøpt av Orkla/Nora konsernet. Det taes sikte på fortsatt produksjon av matprodukter ev. dyrefor, men annen aktivitet kan også bli aktuelt. Skape aktivitet i gjenstående bygninger etter AS Bjørn, Tøsse Mølle, som i 1993 ble oppkjøpt av Orkla/Nora konsernet. Det taes sikte på fortsatt produksjon av matprodukter ev. dyrefor, men anne",,2026,968410199,https://data.brreg.no/enhetsregisteret/api/enheter/968410199,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.610; ingen Company-rad funnet i lokal DB ved pre-dedup.
staur-fjellbakeri-as,STAUR FJELLBAKERI AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.720 (Produksjon av kavringer, kjeks og konserverte konditorvarer). Utvikling, produksjon og salg av næringsmidler og hva som dertil naturlig hører til. Utvikling, produksjon og salg av næringsmidler og hva som dertil naturlig hører til.",,2026,989283642,https://data.brreg.no/enhetsregisteret/api/enheter/989283642,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.720; ingen Company-rad funnet i lokal DB ved pre-dedup.
art-cake-as,ART CAKE AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.710 (Produksjon av brød og ferske konditorvarer). Produksjon og salg av konditorvarer, videresalg av konditorvarer og konditorutstyr, pastry kurs. Produksjon og salg av konditorvarer, videresalg av konditorvarer og konditorutstyr, pastry kurs.",,2026,929077334,https://data.brreg.no/enhetsregisteret/api/enheter/929077334,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.710; ingen Company-rad funnet i lokal DB ved pre-dedup.
gullimunn-as,GULLIMUNN AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.610 (Produksjon av kornvarer). Foredle og utvikle korn av gamle kornsorter og selge mel, kornprodukter, og andre produkter eller tjenester som naturlig hører til kjernevirksomheten til. Foredle og utvikle korn av gamle kornsorter og selge mel, kornprodukter og andre produkter eller tjenester som naturlig hører til kjernevirksomheten.",,2026,915590314,https://data.brreg.no/enhetsregisteret/api/enheter/915590314,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.610; ingen Company-rad funnet i lokal DB ved pre-dedup.
norsk-spelt-as,NORSK SPELT AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.610 (Produksjon av kornvarer). Produksjon, salg og utvikling av spelt og andre kornprodukter, omsetning av is og kjøtt samt eventuelle andre landsbruksprodukter. Produksjon, salg og utvikling av spelt og andre kornprodukter, omsetning av is og kjøtt samt eventuelle andre landsbruksprodukter, herunder tilknyttet virksomhet og deltagelse i andre selskaper.",,2026,992316691,https://data.brreg.no/enhetsregisteret/api/enheter/992316691,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.610; ingen Company-rad funnet i lokal DB ved pre-dedup.
as-elje,AS ELJE,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.710 (Produksjon av brød og ferske konditorvarer). Agenturvirksomhet, samt å eie og forvalte verdi- papirer og andre formuegjenstander. Agenturvirksomhet, samt å eie og forvalte verdi- papirer og andre formuegjenstander.",,2026,930507075,https://data.brreg.no/enhetsregisteret/api/enheter/930507075,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.710; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-westre-as,A. WESTRE AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.710 (Produksjon av brød og ferske konditorvarer). Handel og det som står i samband med dette, medrekna å delta i andre selskap med liknande verksemd. Bakeriverksemd, handel og det som står i samband med dette, medrekna å delta i andre selskap med liknande verksemd.",,2026,937665660,https://data.brreg.no/enhetsregisteret/api/enheter/937665660,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.710; ingen Company-rad funnet i lokal DB ved pre-dedup.
agamat-as,AGAMAT AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.710 (Produksjon av brød og ferske konditorvarer). Selskapets formål er handel samt produksjon av varer for salg Selskapets formål er handel samt produksjon av varer for salg,,2026,919796065,https://data.brreg.no/enhetsregisteret/api/enheter/919796065,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.710; ingen Company-rad funnet i lokal DB ved pre-dedup.
agatas-s-te-saker-as,AGATAS SØTE SAKER AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,"Brreg-registrert aktor i foredling-industri/korn-molle-bakeri med 10.710 (Produksjon av brød og ferske konditorvarer). Korttidsutleie av hus, hytte, leilighet eller rom. Produksjon og salg av bakevarer. Konditori. Utleige av bygning, sal av eigenprodusert konditorvarer og kafèdrift.",,2026,933702944,https://data.brreg.no/enhetsregisteret/api/enheter/933702944,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.710; ingen Company-rad funnet i lokal DB ved pre-dedup; flagges for etterkontroll fordi aktivitet ogsaa omtaler investerings-/holding-/utleierolle.
