source_path,source_top_folder,filename,ext,size_bytes,modified_at,sha256,priority,project_fit,candidate_model,typed_layer_candidate,import_file_path,proposed_title,proposed_year,proposed_country,proposed_theme,proposed_doc_type,review_status,action,final_title,final_year,final_country,final_theme,final_doc_type,final_url,notes
"Food Research Process 20.04.26/00_Working_Files/Framstillinger av mat, makt og beredskap i norsk offentlighet.docx",00_Working_Files,"Framstillinger av mat, makt og beredskap i norsk offentlighet.docx",.docx,25957,2026-04-20T05:57:50.740Z,aa478581d2b2f3e9fc9ab7e2f2698b96b588a7a8cfe5930da1a7fcd9292b9027,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/aa478581d2-framstillinger-av-mat-makt-og-beredskap-i-norsk-offentlighet.docx,"Framstillinger av mat, makt og beredskap i norsk offentlighet",,,working-files,report,pending,hold,,,,,,,
"Food Research Process 20.04.26/00_Working_Files/Makt, fryktkultur og svak enforcement i norsk og nordisk dagligvare.docx",00_Working_Files,"Makt, fryktkultur og svak enforcement i norsk og nordisk dagligvare.docx",.docx,25930,2026-04-20T05:58:33.097Z,6edc2b998f93453a7e239d5bf2777ffca7c7a4284022b28fdf8b91a24df11ec5,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/6edc2b998f-makt-fryktkultur-og-svak-enforcement-i-norsk-og-nordisk-dagligvare.docx,"Makt, fryktkultur og svak enforcement i norsk og nordisk dagligvare",,nordic,working-files,report,pending,hold,,,,,,,
"Food Research Process 20.04.26/00_Working_Files/Nordisk analyse av HORECA, offentlige måltider og institusjonelle innkjøp i matsystemet.docx",00_Working_Files,"Nordisk analyse av HORECA, offentlige måltider og institusjonelle innkjøp i matsystemet.docx",.docx,26085,2026-04-20T05:58:14.699Z,4252750542bdd5f5ff2668b615ac22d9e0ba9f91b9ecbc5b4fe169c9b053f4b7,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/4252750542-nordisk-analyse-av-horeca-offentlige-maltider-og-institusjonelle-innkj-p-i-matsystemet.docx,"Nordisk analyse av HORECA, offentlige måltider og institusjonelle innkjøp i matsystemet",,nordic,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/Nordiske dagligvarecase som mislyktes og hva de avslører om etableringsbarrierer.docx,00_Working_Files,Nordiske dagligvarecase som mislyktes og hva de avslører om etableringsbarrierer.docx,.docx,24282,2026-04-20T05:58:05.910Z,5bd81db33c767981d05bdd364bd9e11464fe19375c1856b61a58596abbbdc65a,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/5bd81db33c-nordiske-dagligvarecase-som-mislyktes-og-hva-de-avsl-rer-om-etableringsbarrierer.docx,Nordiske dagligvarecase som mislyktes og hva de avslører om etableringsbarrierer,,nordic,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/Nordiske og internasjonale benchmark-case for matsystemomstilling.docx,00_Working_Files,Nordiske og internasjonale benchmark-case for matsystemomstilling.docx,.docx,23872,2026-04-20T05:57:43.277Z,b8be157b90243fb297401ee260b79ce9a2b5e270d4fd10b8fdc1bc4470c71e22,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/b8be157b90-nordiske-og-internasjonale-benchmark-case-for-matsystemomstilling.docx,Nordiske og internasjonale benchmark case for matsystemomstilling,,nordic,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/Research-Report-Norges-matrevolusjon-2026.pdf,00_Working_Files,Research-Report-Norges-matrevolusjon-2026.pdf,.pdf,307946,2026-04-20T05:57:15.297Z,dd85bf13db3b9608515133344fe2a10bfafc3ef3a6ae963454c9f0dcaa811d74,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/dd85bf13db-research-report-norges-matrevolusjon-2026.pdf,Research Report,2026,no,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/00_Working_Files/URL-MANIFEST.numbers,00_Working_Files,URL-MANIFEST.numbers,.numbers,441635,2026-04-20T13:41:01.839Z,f23bf9f51f56d5dd8a2e6f33b19c0d586a39f5596d9e3a87be5640fa31ecea3b,P3,maybe,working-file,none,incoming/food-research-process-2026-04-20/00-working-files/f23bf9f51f-url-manifest.numbers,URL MANIFEST,,,working-files,report,pending,hold,,,,,,,
Food Research Process 20.04.26/01_Data_And_Archives/cei_pc035_esmsip2.sdmx.zip,01_Data_And_Archives,cei_pc035_esmsip2.sdmx.zip,.zip,54580,2026-04-20T13:15:26.428Z,5abbe4fab489c702b2e11b68dcb726c938e3aabd6656be268093ad1bb473f464,P3,maybe,data-archive,none,incoming/food-research-process-2026-04-20/01-data-and-archives/5abbe4fab4-cei-pc035-esmsip2-sdmx.zip,cei pc035 esmsip2 sdmx,,,data-archives,,pending,hold,,,,,,,
Food Research Process 20.04.26/01_Data_And_Archives/cellar_d34251c8-d865-11ef-be2a-01aa75ed71a1.xml,01_Data_And_Archives,cellar_d34251c8-d865-11ef-be2a-01aa75ed71a1.xml,.xml,1756320,2026-04-20T13:16:07.373Z,858020aa39318a62505ebbfbfa8d3a964d9e9e318ed9fc805c7f9730e89d9771,P3,maybe,data-archive,none,incoming/food-research-process-2026-04-20/01-data-and-archives/858020aa39-cellar-d34251c8-d865-11ef-be2a-01aa75ed71a1.xml,cellar d34251c8 d865 11ef be2a 01aa75ed71a1,,,data-archives,,pending,hold,,,,,,,
Food Research Process 20.04.26/01_Data_And_Archives/Engrosforbruk per innbygger 1999-2024.xlsx,01_Data_And_Archives,Engrosforbruk per innbygger 1999-2024.xlsx,.xlsx,14545,2026-04-20T13:43:11.277Z,e582f429a06fee063f4b8af28f57dbe1c7a180e5be357724847903976900a261,P3,maybe,data-archive,none,incoming/food-research-process-2026-04-20/01-data-and-archives/e582f429a0-engrosforbruk-per-innbygger-1999-2024.xlsx,Engrosforbruk per innbygger 1999 2024,1999,,data-archives,,pending,hold,,,,,,,
