target,status,operation,confidence,document_id,typed_id,existing_id,source_path,import_file_path,filename,document_title,promoted_title,review_action,title_remediation_status,current_target_links,reason_codes,reason_summary,payload_preview
Report,skip,none,low,,report-food-ecf14c8fb9cd,,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Growing_vegetables_in_the_circular_econo.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/2c18f02796-growing-vegetables-in-the-circular-econo.pdf,Growing_vegetables_in_the_circular_econo.pdf,Growing vegetables in the circular econo,Growing vegetables in the circular economy; cultivation of tomatoes on green waste compost and food waste digestate,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,low,,report-food-c50d08581779,,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Norways-Food-Waste-Reduction-Governance-2022.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/fa2d4406db-norways-food-waste-reduction-governance-2022.pdf,Norways-Food-Waste-Reduction-Governance-2022.pdf,Norway's Food Waste Reduction Governance: From Industry Self‐Regulation to Governmental Regulation?,Norway's Food Waste Reduction Governance: From Industry Self-Regulation to Governmental Regulation?,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,low,,report-food-529195da7ded,,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/NPHarvest – We recover value from your wastewater.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/577e8f49cb-npharvest-we-recover-value-from-your-wastewater.pdf,NPHarvest – We recover value from your wastewater.pdf,NPHarvest – We recover value from your wastewater,NPHarvest – We recover value from your wastewater,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,updated,update,low,cmoh2g6yo0012n60dqi8nh1te,report-food-54a184653597,matsvinnutvalget-2024,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/54a1846535-rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31-12-23.pdf,rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,Matsvinnutvalgets anbefalinger,Matsvinnutvalgets anbefalinger,import,clear,,exact-existing-report-match,exact-existing-report-match,"{""id"":""report-food-54a184653597"",""title"":""Matsvinnutvalgets anbefalinger"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2024"",""year"":2024,""sourceUrl"":""https://www.regjeringen.no/contentassets/5a5cadf8907a4f4c94740d23d7c4c6e4/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf"",""reportCategory"":""sirkularitet"",""country"":""no"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename uses rapport language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""food-waste-circularity"",""04_Food_Waste_And_Circularity""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g6yo0012n60dqi8nh1te""}"
Report,skip,none,low,cmoh2g7140017n60dhxtns400,report-food-7977a8583e97,,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7977a8583e-zero-waste-solutions-in-hospitality-technology-alignment-and-agile-management-practices-for-responsible-consumption-and-production-of-food.pdf,Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,Zero waste solutions in hospitality: technology alignment and agile management practices for respons,Zero waste solutions in hospitality: technology alignment and agile management practices for respons,import,blocked,,unresolved-title-remediation,unresolved-title-remediation,{}
Report,updated,update,low,cmoh2g71v0018n60drztj5ii3,report-food-b3c4abd38609,report-food-b3c4abd38609,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/b3c4abd386-2023-danish-action-plan-for-plant-based-foods.pdf,2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,Danish Action Plan for Plant-based Foods,Danish Action Plan for Plant-based Foods,import,clear,,stable-id-match,stable-id-match,"{""id"":""report-food-b3c4abd38609"",""title"":""Danish Action Plan for Plant-based Foods"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2023"",""year"":2023,""sourceUrl"":""https://fvm.dk/Media/638507727168382898/Danish-Action-Plan-for-Plant-based-Foods.pdf"",""reportCategory"":""food-process-intake"",""country"":""dk"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename uses action plan language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""foodtech-alt-protein"",""05_Foodtech_Alt_Protein_And_Innovation""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmoh2g71v0018n60drztj5ii3""}"
Report,skip,none,low,,report-food-719bb5ac47c0,,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Agrifoodtech funding is flat. The real story is where it isn't_.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/6d3115f8f6-agrifoodtech-funding-is-flat-the-real-story-is-where-it-isn-t.pdf,Agrifoodtech funding is flat. The real story is where it isn't_.pdf,Agrifoodtech funding is flat. The real story is where it isn't.,Agrifoodtech funding is flat. The real story is where it isn't.,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,low,,report-food-f2959908df7a,,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Foodrise_ Rising up for fair and resilient food systems.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/1280935094-foodrise-rising-up-for-fair-and-resilient-food-systems.pdf,Foodrise_ Rising up for fair and resilient food systems.pdf,Foodrise: Rising up for fair and resilient food systems,Foodrise: Rising up for fair and resilient food systems,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,low,,report-food-66665a95b9f6,,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Industry Consolidation_ 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/7f1fc1c9f2-industry-consolidation-40-major-alternative-protein-companies-have-shut-or-been-acquired-in-past-year.pdf,Industry Consolidation_ 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year.pdf,Industry Consolidation: 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year,Industry Consolidation: 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,low,,report-food-f17a95bc66a0,,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Plantagon's Fall_ Lessons for AgTech Innovators.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/ef3221497b-plantagon-s-fall-lessons-for-agtech-innovators.pdf,Plantagon's Fall_ Lessons for AgTech Innovators.pdf,Plantagon's Fall: Lessons for AgTech Innovators,Plantagon's Fall: Lessons for AgTech Innovators,skip,clear,,missing-batch-document,missing-batch-document,{}
Report,skip,none,low,,report-food-bf09ec5c133e,,"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/PROMYC, mycoproteins.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/6c9ac395e8-promyc-mycoproteins.pdf,"PROMYC, mycoproteins.pdf","PROMYC, mycoproteins","PROMYC, mycoproteins",skip,clear,,missing-batch-document,missing-batch-document,{}
