target,status,operation,confidence,document_id,typed_id,existing_id,source_path,import_file_path,filename,document_title,promoted_title,review_action,title_remediation_status,current_target_links,reason_codes,reason_summary,payload_preview
Report,updated,update,low,cmo7cfjqy0015zo0d702u1tab,report-food-20d75deedabf,report-food-20d75deedabf,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Redistribution in the Nordic Region.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/20d75deeda-food-redistribution-in-the-nordic-region.pdf,Food Redistribution in the Nordic Region.pdf,Food Redistribution in the Nordic Region,Food Redistribution in the Nordic Region,import,clear,Report:report-food-20d75deedabf,document-already-linked-to-report,document-already-linked-to-report,"{""id"":""report-food-20d75deedabf"",""title"":""Food Redistribution in the Nordic Region"",""fullTitle"":null,""author"":null,""institution"":null,""date"":""2014"",""year"":2014,""sourceUrl"":""https://www.norden.org/en/publication/food-redistribution-in-the-nordic-region"",""reportCategory"":""sirkularitet"",""country"":""nordic"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""food-waste-circularity"",""04_Food_Waste_And_Circularity""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmo7cfjqy0015zo0d702u1tab""}"
Report,updated,update,low,cmo7cfjv7001fzo0dkn88upjj,report-food-54a184653597,matsvinnutvalget-2024,Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/54a1846535-rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31-12-23.pdf,rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23,Matsvinnutvalgets anbefalinger,import,clear,,exact-existing-report-match,exact-existing-report-match,"{""id"":""report-food-54a184653597"",""title"":""Matsvinnutvalgets anbefalinger"",""fullTitle"":""rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23"",""author"":null,""institution"":null,""date"":""2024"",""year"":2024,""sourceUrl"":""https://www.regjeringen.no/contentassets/5a5cadf8907a4f4c94740d23d7c4c6e4/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf"",""reportCategory"":""sirkularitet"",""country"":""no"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename uses rapport language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""food-waste-circularity"",""04_Food_Waste_And_Circularity""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmo7cfjv7001fzo0dkn88upjj""}"
Report,updated,update,low,cmo7cfjya001lzo0dm607zlx3,report-food-b3c4abd38609,report-food-b3c4abd38609,Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/b3c4abd386-2023-danish-action-plan-for-plant-based-foods.pdf,2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,2023 Danish Action Plan for Plant based Foods,Danish Action Plan for Plant-based Foods,import,clear,Report:report-food-b3c4abd38609,document-already-linked-to-report,document-already-linked-to-report,"{""id"":""report-food-b3c4abd38609"",""title"":""Danish Action Plan for Plant-based Foods"",""fullTitle"":""2023 Danish Action Plan for Plant based Foods"",""author"":null,""institution"":null,""date"":""2023"",""year"":2023,""sourceUrl"":""https://fvm.dk/Media/638507727168382898/Danish-Action-Plan-for-Plant-based-Foods.pdf"",""reportCategory"":""food-process-intake"",""country"":""dk"",""keyFindings"":[],""recommendations"":[],""relevance"":""Report-oriented signals lead this recommendation: title/filename uses action plan language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source."",""tags"":[""batch:food-research-process-2026-04-20"",""foodtech-alt-protein"",""05_Foodtech_Alt_Protein_And_Innovation""],""doi"":null,""isbn"":null,""issn"":null,""publisher"":null,""documentId"":""cmo7cfjya001lzo0dm607zlx3""}"
